scenario,method,arm,far_target,threshold,first_eligible_day,far_d504,far_alarms,far_lo,far_hi,trunc_mean_valid_days,far_d63,detect_d63,detect_d63_lo,detect_d63_hi,far_d126,detect_d126,detect_d126_lo,detect_d126_hi,far_d252,detect_d252,detect_d252_lo,detect_d252_hi,detect_d504,detect_d504_lo,detect_d504_hi,trunc_mean_detect_days,trunc_mean_detect_se,median_detect_days,median_detect_note,undetected_at_H,n_test_valid,n_test_invalid,covered_by_guarantee
gaussian,ewma_student_t,C_unified,0.05,-2.9295472492107932,1,0.0268,268,0.023811791444583907,0.03015162461342442,499.9122,0.0,0.0,0.0,0.00038399837067659573,0.0003,0.0023,0.001533154495882851,0.0034490774822886323,0.0052,0.0485,0.04446021495496292,0.05288653557375803,0.247,0.23864554349277825,0.2555487596827841,465.0706,0.8356903250582356,,not reached within 504d,0.753,10000,10000,True
gaussian,binary_gaussian,C_unified,0.15,-1.401444376765194,1,0.1316,1316,0.12511546325626732,0.13836746674324718,472.0173,0.0012,0.0081,0.006522289905863053,0.010055487691208582,0.0187,0.0826,0.07736361281194307,0.08815694902789778,0.0694,0.2817,0.27296865699375966,0.2905989966948777,0.5562,0.5464425463167266,0.5659142922664093,368.3948,1.5003997244832201,435,,0.4438,10000,10000,True
gaussian,binary_student_t,C_unified,0.15,-1.7093797208677137,1,0.137,1370,0.13039995958322761,0.1438788232338836,471.3358,0.0013,0.0073,0.005810351168746254,0.009168040825718465,0.0187,0.0761,0.0710642235407037,0.08146133027795592,0.0681,0.2674,0.2588156683457719,0.27616296769626686,0.536,0.5262136573514795,0.5457586947658317,374.7883,1.4836335751018566,460,,0.46399999999999997,10000,10000,True
gaussian,trailing_sharpe_252,C_unified,0.15,-1.0216678503228327,252,0.1373,1373,0.1306936472901703,0.14418490512791848,482.6091,0.0,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0,0.00038399837067659573,0.022,0.1542,0.14725467911898385,0.16141089415417606,0.5237,0.513903969819835,0.533477828657395,409.2893,1.0683430985636706,482,,0.47629999999999995,10000,10000,True
gaussian,known_vol_rolling_252,C_unified,0.15,-1.0138173399256876,252,0.1377,1377,0.13108524770141053,0.1445929975179817,482.6125,0.0,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0,0.00038399837067659573,0.022,0.1561,0.14911850548040445,0.16334560859894687,0.527,0.5172059841889513,0.5367732798990322,408.6864,1.0681661871658081,478,,0.473,10000,10000,True
gaussian,ewma_gaussian,C_unified,0.15,-1.7486128807272068,1,0.097,970,0.09135313525265308,0.10295636743411225,482.514,0.0003,0.0015,0.0009092618255931228,0.002473584549971443,0.0091,0.0443,0.040439129328723934,0.0485108467863107,0.0438,0.2056,0.19779277691866448,0.21363332132198987,0.476,0.4662225671707549,0.4857958647510375,398.6589,1.3628955145194916,,not reached within 504d,0.524,10000,10000,True
gaussian,ewma_student_t,C_unified,0.15,-1.8676400867598089,1,0.1242,1242,0.11787978793565485,0.13080882523974569,475.116,0.0009,0.0045,0.003364971291591769,0.006015571093748737,0.0156,0.0627,0.05811447249316934,0.06762137248182443,0.0591,0.2355,0.22728620307744749,0.24391693206064038,0.5085,0.49870021318988383,0.5182932588378144,385.4766,1.4324482664472058,493,,0.49150000000000005,10000,10000,True
jump_k5,binary_gaussian,A_nominal,0.05,-1.9561761090311194,1,0.0464,464,0.04244851437936254,0.050699848942515245,495.5521,0.0,0.0006,0.0002750134763309977,0.001308524096300786,0.0022,0.0137,0.011601223967326633,0.016172252847993424,0.0145,0.115,0.10889457697171259,0.12140110177370839,0.367,0.35760598555726153,0.37649615800933833,434.6176,1.1231123519753115,,not reached within 504d,0.633,10000,10000,True
jump_k5,binary_student_t,A_nominal,0.05,-2.2085988169675015,1,0.0523,523,0.04810587403933279,0.05683795810177102,494.2461,0.0,0.0,0.0,0.00038399837067659573,0.0018,0.0163,0.013997437725809895,0.018974042297982642,0.0153,0.1293,0.12286577010271402,0.1360189262893056,0.399,0.38944274665982415,0.4086348210110524,426.9911,1.1674815730457333,,not reached within 504d,0.601,10000,10000,True
jump_k5,trailing_sharpe_252,A_nominal,0.05,-1.5025983972963748,252,0.0463,463,0.04235277568717738,0.05059566443437455,497.4155,0.0,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0,0.00038399837067659573,0.0066,0.0676,0.06284353350164895,0.07268854828931215,0.3033,0.2943673107291008,0.3123837542299233,453.3319,0.8873485070570061,,not reached within 504d,0.6967,10000,10000,True
jump_k5,known_vol_rolling_252,A_nominal,0.05,-1.5299754578932023,252,0.0439,439,0.04005666463531619,0.04809361867841499,497.5287,0.0,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0,0.00038399837067659573,0.0067,0.0638,0.059175411817862796,0.06875958836071547,0.2866,0.2778208397427062,0.29554305076189846,455.6005,0.877337507510769,,not reached within 504d,0.7134,10000,10000,True
jump_k5,ewma_gaussian,A_nominal,0.05,-2.383879273089507,1,0.0503,503,0.04618626511967923,0.05475910301490729,495.0108,0.0,0.0,0.0,0.00038399837067659573,0.0011,0.0082,0.006611596600786796,0.010166104196610706,0.0139,0.1059,0.10001959598229367,0.11208307153347362,0.3513,0.3420023156745737,0.36071188544086547,438.9193,1.0829252843424364,,not reached within 504d,0.6487,10000,10000,True
jump_k5,ewma_student_t,A_nominal,0.05,-2.496730525833864,1,0.0528,528,0.0485860568347076,0.05735739130802554,494.2541,0.0,0.0001,1.765267360112231e-05,0.0005662688974013381,0.002,0.0145,0.012336538166067392,0.017036324251859584,0.0164,0.1211,0.11485081518327375,0.12764017878202497,0.3789,0.3694401707137088,0.38845283369166894,432.2252,1.137891799896118,,not reached within 504d,0.6211,10000,10000,True
jump_k5,binary_gaussian,A_nominal,0.15,-1.3014436590067344,1,0.1502,1502,0.14333206733321915,0.15733657792690617,465.7435,0.0046,0.0149,0.012704886505102705,0.017467668714127728,0.0277,0.1064,0.10050688495767493,0.11259539855972167,0.083,0.3262,0.3170795291658585,0.3354539486677886,0.5894,0.5797255606934492,0.599005780397874,353.7107,1.563072192836595,399,,0.41059999999999997,10000,10000,True
jump_k5,binary_student_t,A_nominal,0.15,-1.4875621419177167,1,0.1579,1579,0.15088457671059974,0.1651781549746172,462.8948,0.0042,0.0163,0.013997437725809895,0.018974042297982642,0.0307,0.1203,0.11406936286416848,0.12682224549852333,0.0918,0.3483,0.33902197525593747,0.3576945298497257,0.6134,0.6038137380540953,0.622899171115435,345.1981,1.5779097330175622,372,,0.38660000000000005,10000,10000,True
jump_k5,trailing_sharpe_252,A_nominal,0.15,-0.9661296131720775,252,0.1464,1464,0.1396071761595279,0.15346438748821462,481.2244,0.0,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0,0.00038399837067659573,0.0236,0.1687,0.1614877203714469,0.17616671694896338,0.549,0.5392303909520956,0.5587319772075782,404.5235,1.076981510376278,459,,0.45099999999999996,10000,10000,True
jump_k5,known_vol_rolling_252,A_nominal,0.15,-0.9643569761333336,252,0.1455,1455,0.13872519752102694,0.15254705732378274,481.2195,0.0,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0,0.00038399837067659573,0.0239,0.1652,0.15805028371660543,0.1726068415923996,0.5416,0.5318200451460827,0.551348006189477,405.5465,1.076392812092125,466,,0.45840000000000003,10000,10000,True
jump_k5,ewma_gaussian,A_nominal,0.15,-1.6006119442291353,1,0.1494,1494,0.14254774927324945,0.15652151038426895,467.3711,0.0013,0.0071,0.005633116021239761,0.008945429572573226,0.0232,0.0947,0.08911584918956159,0.10059541988970888,0.0777,0.3082,0.29922496165088863,0.31732234012410276,0.5741,0.5643817603659657,0.5837613310755002,360.5354,1.5322359444233575,415,,0.42589999999999995,10000,10000,True
