day,n_paths,mean,se,median,q10,q90,theoretical_mean
126,5000,342.2773590235254,3.9341081159566795,262.0333166877299,104.78003198444038,658.3989227028076,342.50351038583966
252,5000,688.068452737931,6.2158821405411215,579.6302644072864,278.1454388029883,1221.2976374907366,685.0070207716793
504,5000,1380.7663183596228,9.43475352482899,1236.2073173042927,699.3786403005024,2242.1287212682014,1370.0140415433586
