detector,far_target,n_replications,sd_simulated,sd_simulated_se,sd_analytic,z_vs_analytic,mean_far_simulated,mean_far_analytic
binary_gaussian,0.05,100,0.0042379716894292,0.0003011795333603673,0.004366079896684539,-0.42535495631456355,0.0498399999999999,0.05018996200759848
binary_student_t,0.05,100,0.0043366844850913,0.0003081947462765756,0.004366079896684539,-0.09537934033067422,0.050106,0.05018996200759848
trailing_sharpe_252,0.05,100,0.0039579052719101,0.00028127607974629345,0.004366079896684539,-1.451152992258021,0.049306,0.05018996200759848
known_vol_rolling_252,0.05,100,0.0039273086885745,0.0002791016752512322,0.004366079896684539,-1.5720837494618434,0.049522,0.05018996200759848
binary_gaussian,0.15,100,0.0078795221103102,0.0005599732528193353,0.007143687477494269,1.3140531786316123,0.14974,0.15016996600679863
binary_student_t,0.15,100,0.0070670585940486,0.0005022339849260782,0.007143687477494269,-0.15257606164773616,0.1504539999999999,0.15016996600679863
trailing_sharpe_252,0.15,100,0.0073836444971711,0.0005247327653706799,0.007143687477494269,0.45729376077234585,0.149376,0.15016996600679863
known_vol_rolling_252,0.15,100,0.0077579295373875,0.0005513320449357881,0.007143687477494269,1.1141054932962764,0.149528,0.15016996600679863
