scenario,method,true_state,day,n_paths,mean_q,median_q,q10,q90
gaussian_ctrl,binary_gaussian,valid,63,10000,0.470424321434489,0.46852354547197805,0.3171968425781875,0.6283610387292026
gaussian_ctrl,binary_gaussian,valid,126,10000,0.44290497633149833,0.4376690768754923,0.2389132886600555,0.6565639567554886
gaussian_ctrl,binary_gaussian,valid,252,10000,0.3982023357339295,0.37950781057239946,0.14406346496152284,0.6863453780181696
gaussian_ctrl,binary_gaussian,valid,504,10000,0.322713178941528,0.26428619351946847,0.056767235631082394,0.6895048864194229
gaussian_ctrl,binary_gaussian,invalid,63,10000,0.5310104104719436,0.5325834042397106,0.37559103591489423,0.6841762408932821
gaussian_ctrl,binary_gaussian,invalid,126,10000,0.5563257054071551,0.5664037834776943,0.3387008640408727,0.7587538979552483
gaussian_ctrl,binary_gaussian,invalid,252,10000,0.6023767350834827,0.6240944181739496,0.3175373565026557,0.856798535508231
gaussian_ctrl,binary_gaussian,invalid,504,10000,0.6744555115783999,0.7324469394312193,0.3008400745275712,0.9440670621703211
gaussian_ctrl,binary_student_t,valid,63,10000,0.4667457915227502,0.46204133087503746,0.2852273277330464,0.6558086173539696
gaussian_ctrl,binary_student_t,valid,126,10000,0.43740447384701947,0.42552652676902114,0.20244515055369822,0.6912900259440413
gaussian_ctrl,binary_student_t,valid,252,10000,0.3906257283101042,0.3589023039696729,0.10857083128541782,0.7273654186356483
gaussian_ctrl,binary_student_t,valid,504,10000,0.31428111825555705,0.23764523240020408,0.03462117848577185,0.7324078031736736
gaussian_ctrl,binary_student_t,invalid,63,10000,0.5343872658704028,0.5364080606329336,0.35136871455785945,0.7142820073882798
gaussian_ctrl,binary_student_t,invalid,126,10000,0.5618576450363502,0.5729971222891022,0.30822189333811395,0.795635235142894
gaussian_ctrl,binary_student_t,invalid,252,10000,0.6103587638263567,0.6440914855375408,0.2771346530231756,0.8917876542618832
gaussian_ctrl,binary_student_t,invalid,504,10000,0.6813347727905013,0.7598554085842386,0.25958981549116494,0.96580015424387
gaussian_ctrl,ewma_gaussian,valid,63,10000,0.46898680957871475,0.4664806686436036,0.3048447487876636,0.6399187160419534
gaussian_ctrl,ewma_gaussian,valid,126,10000,0.4405175236023507,0.4341946511422824,0.22021013259147681,0.6716785286366272
gaussian_ctrl,ewma_gaussian,valid,252,10000,0.39493898757877294,0.36851686128035444,0.12755105568541417,0.7032441623160544
gaussian_ctrl,ewma_gaussian,valid,504,10000,0.31893768388511246,0.2548703635124722,0.04591766962578833,0.7104803633075146
gaussian_ctrl,ewma_gaussian,invalid,63,10000,0.5322623971182627,0.5346538645838492,0.3642283822358098,0.698038723477809
gaussian_ctrl,ewma_gaussian,invalid,126,10000,0.5584986036085582,0.5687098900539493,0.3226765656196786,0.7749662091623054
gaussian_ctrl,ewma_gaussian,invalid,252,10000,0.6056625123468883,0.632653463207404,0.29670319255730376,0.8731413866765706
gaussian_ctrl,ewma_gaussian,invalid,504,10000,0.6777702468940326,0.7459605324018707,0.28147373156717714,0.9543629782840704
gaussian_ctrl,ewma_student_t,valid,63,10000,0.4661876541427313,0.4614373734774213,0.2792288620115446,0.6612625556117077
gaussian_ctrl,ewma_student_t,valid,126,10000,0.4366082952632205,0.42520303562323736,0.19469984062464166,0.6976702067410857
gaussian_ctrl,ewma_student_t,valid,252,10000,0.3898592533620207,0.3548634936634443,0.10176947170736324,0.7371483255580321
gaussian_ctrl,ewma_student_t,valid,504,10000,0.31403809623892465,0.23213649953478538,0.031580541176153346,0.7489311773971418
gaussian_ctrl,ewma_student_t,invalid,63,10000,0.5350896422884686,0.5382491155666591,0.3453125152926712,0.7214439091068403
gaussian_ctrl,ewma_student_t,invalid,126,10000,0.562772685510089,0.5758864782678479,0.3002347044097526,0.8031750480961407
gaussian_ctrl,ewma_student_t,invalid,252,10000,0.6114568533439441,0.6457741858768872,0.26809323077770914,0.8977981787507023
gaussian_ctrl,ewma_student_t,invalid,504,10000,0.6817548786448737,0.7628595929405171,0.24546775877099322,0.968673177276368
sv_ctrl,binary_gaussian,valid,63,10000,0.4722022909349941,0.46968116517719605,0.33337351583764924,0.611755275030864
sv_ctrl,binary_gaussian,valid,126,10000,0.4453611446164699,0.4382275149769596,0.25392365440814335,0.6441451348895469
sv_ctrl,binary_gaussian,valid,252,10000,0.3976147948318398,0.37955595060552877,0.15713092979848908,0.6663353397184496
sv_ctrl,binary_gaussian,valid,504,10000,0.3238887213434602,0.27256268754617274,0.05966688361444713,0.6775785657352787
sv_ctrl,binary_gaussian,invalid,63,10000,0.5305208191316297,0.5306138394046029,0.38844715712826133,0.6714824317436334
sv_ctrl,binary_gaussian,invalid,126,10000,0.557786332921764,0.5629492304751198,0.3603564469518939,0.7507834469105021
sv_ctrl,binary_gaussian,invalid,252,10000,0.6040033400508544,0.6222376749223553,0.3300777897776399,0.847631681057917
sv_ctrl,binary_gaussian,invalid,504,10000,0.6797170420521552,0.7319597427074116,0.3195538592538332,0.9415240233827672
sv_ctrl,binary_student_t,valid,63,10000,0.4631556064612171,0.4593533920082168,0.29974797354251165,0.6299703081697535
sv_ctrl,binary_student_t,valid,126,10000,0.4292640173390833,0.4190569479393246,0.21683924962024853,0.6567334533629734
sv_ctrl,binary_student_t,valid,252,10000,0.37069176221209144,0.3408660940553282,0.12020314226792066,0.6705891207414197
sv_ctrl,binary_student_t,valid,504,10000,0.28440836529002916,0.21594847467013284,0.037856073291384434,0.650868044060912
sv_ctrl,binary_student_t,invalid,63,10000,0.5391399133389799,0.5433693994053874,0.37375850093287294,0.6981296472784125
sv_ctrl,binary_student_t,invalid,126,10000,0.5737116803448569,0.5830365490600553,0.34681022533802913,0.7853620606960835
sv_ctrl,binary_student_t,invalid,252,10000,0.6302709696976884,0.6604176916394024,0.3264580530251792,0.8823047013446823
