detector,day,bin_low,bin_high,n,mean_predicted_q,observed_invalid_frac,gap
binary_gaussian,252,0.0,0.1,246,0.07233697188465445,0.06910569105691057,0.0032312808277438765
binary_gaussian,252,0.1,0.2,849,0.15394734188506137,0.13427561837455831,0.01967172351050306
binary_gaussian,252,0.2,0.30000000000000004,1198,0.2522769206255581,0.2621035058430718,-0.009826585217513673
binary_gaussian,252,0.30000000000000004,0.4,1384,0.3502619360489847,0.35260115606936415,-0.002339220020379451
binary_gaussian,252,0.4,0.5,1386,0.4501027499827929,0.4401154401154401,0.0099873098673528
binary_gaussian,252,0.5,0.6000000000000001,1347,0.5497450716288245,0.5746102449888641,-0.024865173360039683
binary_gaussian,252,0.6000000000000001,0.7000000000000001,1381,0.6497744827194644,0.6495293265749457,0.00024515614451869894
binary_gaussian,252,0.7000000000000001,0.8,1109,0.7486960477537176,0.7538322813345356,-0.00513623358081805
binary_gaussian,252,0.8,0.9,822,0.8454458157619988,0.8394160583941606,0.006029757367838284
binary_gaussian,252,0.9,1.0,278,0.9283715426592193,0.935251798561151,-0.006880255901931753
binary_gaussian,504,0.0,0.1,1055,0.05651873461491424,0.05023696682464455,0.0062817677902696906
binary_gaussian,504,0.1,0.2,1177,0.1485036220488834,0.13254035683942225,0.015963265209461147
binary_gaussian,504,0.2,0.30000000000000004,985,0.25025579411595233,0.2598984771573604,-0.009642683041408084
binary_gaussian,504,0.30000000000000004,0.4,915,0.3482454323917956,0.3475409836065574,0.000704448785238232
binary_gaussian,504,0.4,0.5,862,0.4508015037813479,0.462877030162413,-0.012075526381065071
binary_gaussian,504,0.5,0.6000000000000001,853,0.5506298184162866,0.5556858147713951,-0.005055996355108561
binary_gaussian,504,0.6000000000000001,0.7000000000000001,960,0.6489275383120209,0.6572916666666667,-0.008364128354645839
binary_gaussian,504,0.7000000000000001,0.8,958,0.749232549940786,0.7526096033402923,-0.0033770533995062246
binary_gaussian,504,0.8,0.9,1194,0.8499655272988179,0.8458961474036851,0.004069379895132785
binary_gaussian,504,0.9,1.0,1041,0.9449197089239394,0.9433237271853987,0.0015959817385406971
binary_student_t,252,0.0,0.1,501,0.06513642648040624,0.09381237524950099,-0.028675948769094753
binary_student_t,252,0.1,0.2,1012,0.15111747024458208,0.20059288537549408,-0.049475415130912
binary_student_t,252,0.2,0.30000000000000004,1146,0.24912618187209445,0.31326352530541013,-0.06413734343331567
binary_student_t,252,0.30000000000000004,0.4,1166,0.34922005168782605,0.36620926243567753,-0.01698921074785148
binary_student_t,252,0.4,0.5,1192,0.4494811752351121,0.45302013422818793,-0.0035389589930758247
binary_student_t,252,0.5,0.6000000000000001,1198,0.5497776246974584,0.5542570951585977,-0.004479470461139279
binary_student_t,252,0.6000000000000001,0.7000000000000001,1170,0.6497382918331998,0.6188034188034188,0.03093487302978093
binary_student_t,252,0.7000000000000001,0.8,1121,0.7480868277145921,0.7234611953612846,0.024625632353307503
binary_student_t,252,0.8,0.9,966,0.8495018862607323,0.7763975155279503,0.07310437073278198
binary_student_t,252,0.9,1.0,528,0.9359349053818435,0.8996212121212122,0.036313693260631386
binary_student_t,504,0.0,0.1,1459,0.04943354923780291,0.07539410555174778,-0.025960556313944866
binary_student_t,504,0.1,0.2,1129,0.1464073649114907,0.19486271036315322,-0.048455345451662524
binary_student_t,504,0.2,0.30000000000000004,863,0.24855955767524193,0.30127462340672073,-0.0527150657314788
binary_student_t,504,0.30000000000000004,0.4,749,0.35127832509483053,0.3965287049399199,-0.04525037984508934
binary_student_t,504,0.4,0.5,738,0.4496841895824003,0.4634146341463415,-0.01373044456394118
binary_student_t,504,0.5,0.6000000000000001,773,0.5501918290663467,0.535575679172057,0.01461614989428972
binary_student_t,504,0.6000000000000001,0.7000000000000001,790,0.6491115025325175,0.589873417721519,0.05923808481099846
binary_student_t,504,0.7000000000000001,0.8,915,0.7529371968362798,0.7300546448087432,0.02288255202753664
binary_student_t,504,0.8,0.9,1132,0.8525344132618192,0.7809187279151943,0.07161568534662488
binary_student_t,504,0.9,1.0,1452,0.951050032001405,0.9221763085399449,0.02887372346146011
