scenario,sharpe_valid,method,far_target,setting,failure_kind,T_fixed,mean_T,threshold,working_prob_threshold,working_prob_threshold_note,first_eligible_day,n_paths,n_pre_failure_alarms,pre_failure_far,n_survivors,survival_rate,pre_failure_far_lo,pre_failure_far_hi,joint_detect_h63,joint_detect_h63_lo,joint_detect_h63_hi,cond_detect_h63,cond_detect_h63_lo,cond_detect_h63_hi,joint_check_h63,joint_identity_gap_h63,joint_detect_h126,joint_detect_h126_lo,joint_detect_h126_hi,cond_detect_h126,cond_detect_h126_lo,cond_detect_h126_hi,joint_check_h126,joint_identity_gap_h126,joint_detect_h252,joint_detect_h252_lo,joint_detect_h252_hi,cond_detect_h252,cond_detect_h252_lo,cond_detect_h252_hi,joint_check_h252,joint_identity_gap_h252,expected_min_delay,expected_min_delay_se,delay_cap_days,post_failure_undetected,median_post_failure_delay,median_post_failure_note
gaussian_ctrl,1.0,binary_gaussian,0.05,fixed_T126,fixed,126,126.0,-2.022952282136807,0.883185936490878,,1,10000,6,0.0006,9994,0.9994,0.0002750134763309977,0.001308524096300786,0.0091,0.0074181785377802605,0.01115883106255002,0.00910546327796678,0.0074226355105666995,0.011165522701997636,0.009099999999999999,1.734723475976807e-18,0.0336,0.030243435355678912,0.03731475832448821,0.03362017210326196,0.030261622148824344,0.037337115199068516,0.0336,0.0,0.1122,0.1061624213215819,0.11853540781471483,0.11226736041624975,0.1062263671409831,0.11860630980024944,0.1122,0.0,241.662097258355,0.35583688918277484,252,0.8877326395837503,,not reached within 252d
gaussian_ctrl,1.0,binary_gaussian,0.15,fixed_T126,fixed,126,126.0,-1.3780807542068807,0.798682584079396,,1,10000,222,0.0222,9778,0.9778,0.01949052144308665,0.0252764273999319,0.0465,0.042544258319017675,0.05080402820318598,0.047555737369605236,0.04351213891341195,0.051954697545955345,0.0465,0.0,0.1109,0.10489433287458351,0.117204494657477,0.11341787686643486,0.10728383247941303,0.11985555310295776,0.1109,0.0,0.2511,0.2426973677378872,0.2596937866510355,0.2568009817958683,0.24823853853800754,0.26555444001090195,0.25110000000000005,5.551115123125783e-17,222.5752710165678,0.618127908601614,252,0.7431990182041317,,not reached within 252d
gaussian_ctrl,1.0,binary_student_t,0.05,fixed_T126,fixed,126,126.0,-2.515810884644255,0.9252428154793239,,1,10000,6,0.0006,9994,0.9994,0.0002750134763309977,0.001308524096300786,0.0083,0.006700968940935741,0.010276655056787622,0.008304982989793876,0.006704994832897257,0.010282817938513496,0.0083,0.0,0.0315,0.02825247103929171,0.035107335434032244,0.031518911346808086,0.02826945955968222,0.03512837100518248,0.0315,0.0,0.1016,0.09583067183565595,0.10767529806609914,0.10166099659795877,0.09588838361216656,0.10773971623378095,0.1016,0.0,242.7056233740244,0.3395666771018608,252,0.8983390034020412,,not reached within 252d
gaussian_ctrl,1.0,binary_student_t,0.15,fixed_T126,fixed,126,126.0,-1.6941503401391478,0.8447691905390815,,1,10000,205,0.0205,9795,0.9795,0.017901234098931535,0.023467020338547317,0.0439,0.04005666463531619,0.04809361867841499,0.04481878509443594,0.040896650917729,0.049097810420032584,0.0439,0.0,0.1025,0.09670715796861107,0.1085981207360768,0.10464522715671261,0.09873760394227638,0.11086283376782383,0.10250000000000001,1.3877787807814457e-17,0.2378,0.22955740639191557,0.24624396235366725,0.24277692700357326,0.23438778043204694,0.25136775289541524,0.2378,0.0,224.16038795303726,0.6037853081288014,252,0.7572230729964268,,not reached within 252d
gaussian_ctrl,1.0,trailing_sharpe_252,0.05,fixed_T126,fixed,126,126.0,-1.5750924007815563,,not applicable: the statistic is not a log-odds,252,10000,0,0.0,10000,1.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0196,0.017061812083451283,0.022507133551094786,0.0196,0.017061812083451283,0.022507133551094786,0.0196,0.0,0.1336,0.12707226342302283,0.14040913058300894,0.1336,0.12707226342302283,0.14040913058300894,0.1336,0.0,242.6916,0.2832874055079257,252,0.8664000000000001,,not reached within 252d
gaussian_ctrl,1.0,trailing_sharpe_252,0.15,fixed_T126,fixed,126,126.0,-1.0096286942203367,,not applicable: the statistic is not a log-odds,252,10000,0,0.0,10000,1.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0684,0.06361635022048961,0.07351511717307843,0.0684,0.06361635022048961,0.07351511717307843,0.0684,0.0,0.304,0.29506118713988244,0.3130893402214227,0.304,0.29506118713988244,0.3130893402214227,0.304,0.0,228.6361,0.42383191364986045,252,0.696,,not reached within 252d
gaussian_ctrl,1.0,ewma_student_t,0.05,fixed_T126,fixed,126,126.0,-2.6382573986973794,0.9332835425973557,,1,10000,5,0.0005,9995,0.9995,0.00021358842616382576,0.0011700259461420934,0.0087,0.007059092062941591,0.010718224736085231,0.008704352176088044,0.007062625991931626,0.010723580495401706,0.0087,0.0,0.0301,0.02692738200873219,0.03363349966002967,0.030115057528764384,0.02694087321530162,0.03365029240281486,0.030100000000000002,3.469446951953614e-18,0.0982,0.0925208132697518,0.10418776782092391,0.09824912456228115,0.09256723783199983,0.10423970894529108,0.09820000000000001,1.3877787807814457e-17,243.02141070535268,0.33450172070550044,252,0.9017508754377188,,not reached within 252d
gaussian_ctrl,1.0,ewma_student_t,0.15,fixed_T126,fixed,126,126.0,-1.7886632867338625,0.8567633133673043,,1,10000,187,0.0187,9813,0.9813,0.016223869902920365,0.02154576692869293,0.0411,0.03738202482749099,0.04517040887711597,0.04188321614185264,0.03809572820648566,0.04602923828960187,0.0411,0.0,0.1002,0.09446753521313658,0.10623950988405642,0.10210944665239988,0.09627339837507329,0.10825689451425463,0.1002,0.0,0.2344,0.2262000950437709,0.24280388489073249,0.2388668093345562,0.23053365975707454,0.24740432859710723,0.2344,0.0,225.0322021807806,0.5931916863111695,252,0.7611331906654438,,not reached within 252d
gaussian_ctrl,1.0,ewma_trunc_student_t,0.05,fixed_T126,fixed,126,126.0,-2.6382573986973794,0.9332835425973557,,1,10000,5,0.0005,9995,0.9995,0.00021358842616382576,0.0011700259461420934,0.0087,0.007059092062941591,0.010718224736085231,0.008704352176088044,0.007062625991931626,0.010723580495401706,0.0087,0.0,0.0301,0.02692738200873219,0.03363349966002967,0.030115057528764384,0.02694087321530162,0.03365029240281486,0.030100000000000002,3.469446951953614e-18,0.0987,0.09300742492262351,0.10470077216968152,0.09874937468734367,0.0930540940780091,0.10475296856682345,0.0987,0.0,243.01010505252626,0.33456693613029564,252,0.9012506253126563,,not reached within 252d
gaussian_ctrl,1.0,ewma_trunc_student_t,0.15,fixed_T126,fixed,126,126.0,-1.7890463835489592,0.8568103205595133,,1,10000,187,0.0187,9813,0.9813,0.016223869902920365,0.02154576692869293,0.0411,0.03738202482749099,0.04517040887711597,0.04188321614185264,0.03809572820648566,0.04602923828960187,0.0411,0.0,0.1002,0.09446753521313658,0.10623950988405642,0.10210944665239988,0.09627339837507329,0.10825689451425463,0.1002,0.0,0.2345,0.22629882892333297,0.24290507421149626,0.23896871496993785,0.23063429185428186,0.24750742801663977,0.23450000000000001,2.7755575615628914e-17,225.0321002751452,0.5931704400919826,252,0.7610312850300621,,not reached within 252d
