scenario,method,arm,far_target,threshold,first_eligible_day,far_alarms,far_lo,far_hi,far_d63,detect_d63,far_d126,detect_d126,far_d252,detect_d252,far_d504,detect_d504,trunc_mean_detect_days,trunc_mean_detect_se,median_detect_days,median_detect_note,undetected_at_H,n_test_valid,n_test_invalid
gaussian_ctrl,ewma_trunc_gaussian,per_scenario,0.15,-1.5107211658148543,1,1465,0.13970517933802817,0.15356630751004013,0.0023,0.007,0.0241,0.0782,0.0739,0.2789,0.1465,0.5451,371.5925,1.4948499262485182,447,,0.45489999999999997,10000,10000
gaussian_ctrl,ewma_trunc_student_t,per_scenario,0.15,-1.7689146292603888,1,1448,0.13803927661919602,0.15183351582333265,0.0022,0.0044,0.022,0.0727,0.0727,0.2616,0.1448,0.5257,378.119,1.4734688985382405,471,,0.47430000000000005,10000,10000
jump_ctrl,ewma_gaussian,legacy_threshold,0.05,-2.716929175661829,1,311,0.027873685933108745,0.034686427738911764,0.0002,0.0,0.0003,0.0015,0.0055,0.0566,0.0311,0.2634,461.4188,0.8718708944228234,,not reached within 504d,0.7365999999999999,10000,10000
jump_ctrl,ewma_student_t,legacy_threshold,0.05,-2.9295472492107932,1,274,0.02437738667154232,0.030785568588421196,0.0,0.0,0.0004,0.0033,0.0057,0.0614,0.0274,0.2776,458.902,0.8982431873843343,,not reached within 504d,0.7223999999999999,10000,10000
jump_ctrl,ewma_trunc_gaussian,legacy_threshold,0.05,-2.716929175661829,1,340,0.03062309409181081,0.03773479238965977,0.0002,0.0,0.0003,0.0029,0.0077,0.0659,0.034,0.2822,457.2769,0.9137661842632121,,not reached within 504d,0.7178,10000,10000
jump_ctrl,ewma_trunc_student_t,legacy_threshold,0.05,-2.9295472492107932,1,292,0.02607654313265518,0.0326850297331739,0.0,0.0,0.0004,0.0036,0.0066,0.0677,0.0292,0.2948,455.416,0.9293209338758133,,not reached within 504d,0.7052,10000,10000
jump_ctrl,ewma_gaussian,legacy_threshold,0.15,-1.7486128807272068,1,1261,0.119736905786346,0.13275024819524595,0.0013,0.0028,0.0141,0.0601,0.061,0.256,0.1261,0.529,380.221,1.444884329270858,470,,0.471,10000,10000
jump_ctrl,ewma_student_t,legacy_threshold,0.15,-1.8676400867598089,1,1219,0.11563235769275071,0.12845802187515493,0.0016,0.0056,0.0171,0.0668,0.0606,0.2716,0.1219,0.5493,374.3893,1.4676292474980905,450,,0.4507,10000,10000
jump_ctrl,ewma_trunc_gaussian,legacy_threshold,0.15,-1.7486128807272068,1,1331,0.12658301640861294,0.13989876159578954,0.0019,0.0044,0.0167,0.0685,0.0655,0.2705,0.1331,0.5436,374.4807,1.4716322614370378,452,,0.45640000000000003,10000,10000
jump_ctrl,ewma_trunc_student_t,legacy_threshold,0.15,-1.8676400867598089,1,1293,0.12286577010271402,0.1360189262893056,0.0017,0.0056,0.0186,0.0725,0.0646,0.2861,0.1293,0.5627,369.2856,1.4832262265979275,432,,0.4373,10000,10000
jump_ctrl,binary_gaussian,per_scenario,0.05,-2.0274187852534773,1,454,0.041491366286706785,0.04965776503191237,0.0,0.0003,0.0009,0.009,0.0127,0.0973,0.0454,0.3387,442.7501,1.0569982448083595,,not reached within 504d,0.6613,10000,10000
jump_ctrl,binary_student_t,per_scenario,0.05,-2.339495462968957,1,412,0.03747746616189304,0.045274890743039795,0.0,0.0001,0.0007,0.0104,0.0118,0.1026,0.0412,0.3582,439.0461,1.0753603663287703,,not reached within 504d,0.6417999999999999,10000,10000
jump_ctrl,trailing_sharpe_252,per_scenario,0.05,-1.5589404144211225,252,430,0.03919645311021771,0.04715452140058068,0.0,0.0,0.0,0.0,0.0049,0.0579,0.043,0.2783,458.3202,0.8515805341461333,,not reached within 504d,0.7217,10000,10000
jump_ctrl,known_vol_rolling_252,per_scenario,0.05,-1.5726246916030633,252,445,0.04063039538203104,0.048719427133655326,0.0,0.0,0.0,0.0,0.0049,0.0544,0.0445,0.2664,460.1088,0.8412183908439647,,not reached within 504d,0.7336,10000,10000
jump_ctrl,ewma_gaussian,per_scenario,0.05,-2.4949259413850577,1,441,0.04024788569805465,0.04830224401632825,0.0002,0.0,0.0003,0.0045,0.0107,0.0837,0.0441,0.3154,448.5666,0.9971619074307658,,not reached within 504d,0.6846,10000,10000
jump_ctrl,ewma_student_t,per_scenario,0.05,-2.662218130765669,1,401,0.036427958323164145,0.04412524337818417,0.0001,0.0001,0.0008,0.0083,0.0116,0.0903,0.0401,0.3343,444.6094,1.0315104093204555,,not reached within 504d,0.6657,10000,10000
jump_ctrl,ewma_trunc_gaussian,per_scenario,0.05,-2.5521450806252566,1,445,0.04063039538203104,0.048719427133655326,0.0002,0.0,0.0005,0.0054,0.0113,0.085,0.0445,0.3187,447.8606,1.0063463469705676,,not reached within 504d,0.6813,10000,10000
jump_ctrl,ewma_trunc_student_t,per_scenario,0.05,-2.692954973884227,1,414,0.03766836746394034,0.04548383584164423,0.0001,0.0001,0.0008,0.0081,0.0119,0.0951,0.0414,0.3448,442.5265,1.0445267221963919,,not reached within 504d,0.6552,10000,10000
jump_ctrl,binary_gaussian,per_scenario,0.15,-1.3811597759262642,1,1345,0.12795298623966514,0.14132771656929946,0.0037,0.0101,0.0218,0.0864,0.0714,0.2853,0.1345,0.5568,367.9116,1.5106513248551199,436,,0.44320000000000004,10000,10000
