day,path_index,return,true_variance,forecast_variance,ratio_forecast_over_true,qlike
1,0,0.004808757706530939,4.810597016245127e-05,3.968253968253968e-05,0.8248984387703623,0.01977544334755943
2,0,-0.0008097359672404291,4.412210382746421e-05,3.857690416722015e-05,0.8743215037540345,0.009436912046636659
3,0,0.008170670183243,2.810015634359679e-05,3.6323271741110426e-05,1.2926359304540826,0.03029652139363881
4,0,0.00397468351678738,2.068847352786721e-05,3.795728880090977e-05,1.8347070773385772,0.1519309721444535
5,0,-0.002062683183129406,2.343006749872054e-05,3.6535464750477674e-05,1.559340994321625,0.08555984251489801
6,0,0.01153446440032608,2.5279399091918404e-05,3.4650090140580616e-05,1.3706848811789176,0.04487281762432316
7,0,0.010606366328393256,2.0245173290969827e-05,4.028144882345298e-05,1.989681601857177,0.1905676040898181
8,0,-0.006507783236974838,2.420779692985934e-05,4.4364091819875336e-05,1.8326364827174346,0.15141758272364392
9,0,-0.006796582701320964,1.9436636970996563e-05,4.440063014611132e-05,2.2843782189463195,0.26384975416946466
10,0,-0.0014460635279275895,1.6203408274742184e-05,4.4672389975882345e-05,2.7569749041945397,0.37685042501968713
11,0,-0.0007867345172965351,1.4473352441025957e-05,4.215430470086931e-05,2.9125459960043067,0.4123698285986035
12,0,0.0032023263190128094,1.8989055527946093e-05,3.968327732101433e-05,2.089797318387566,0.21558238885360703
13,0,-0.00980694862763259,2.5551764208183724e-05,3.7843690504155085e-05,1.4810597888984316,0.06795009348581904
14,0,-0.0003354518628036337,2.483030289840924e-05,4.157950438978915e-05,1.6745468051641428,0.11271906447094171
15,0,0.00251589500798624,2.0345857806514113e-05,3.9101834808585165e-05,1.9218572733790544,0.1736220509343842
16,0,0.0018998717017515282,3.179630527710732e-05,3.707796817538123e-05,1.1661093278682473,0.011225372965605995
17,0,-0.0021115345296568925,2.736814345580959e-05,3.5026987849260915e-05,1.2798452297583796,0.02808363205180031
18,0,-0.002411555210240019,2.5289726255339604e-05,3.3245519950093246e-05,1.3145859948987735,0.03421754900721474
19,0,0.009729035307691297,2.4308543023015112e-05,3.165950470213947e-05,1.3024023970570566,0.03202241141818618
20,0,-0.002499534130263448,2.785483124503142e-05,3.5209900459240654e-05,1.2640500367605418,0.025428804658565785
21,0,0.003738823256622765,2.619022532362004e-05,3.353404145710803e-05,1.2804029382238595,0.028178967301230706
22,0,0.004339994138809444,2.538643616669026e-05,3.227406938492266e-05,1.2713115449922712,0.026638334357397486
23,0,0.0035737036631842667,1.7934424409528336e-05,3.136678703147363e-05,1.7489709351814404,0.1307923682376244
24,0,0.004976016015278058,1.5909459168657496e-05,3.0168335155397325e-05,1.896251458681298,0.16723524017689106
25,0,0.0013901169967847082,1.4435150531708292e-05,2.9727764653272858e-05,2.059401084039461,0.2079932728085372
26,0,-0.002769932005664941,1.2456546984459402e-05,2.8029308322161986e-05,2.250166788366866,0.25541584266825756
27,0,-0.004941167388499097,1.2767804440275748e-05,2.6876214039765812e-05,2.104998879445976,0.21937457011565775
28,0,-0.002716392510294765,1.275897560126046e-05,2.6848558205566678e-05,2.104287918139314,0.21919726918282367
29,0,0.000904056203904123,1.0751332112233738e-05,2.5747410077515167e-05,2.3948111553746605,0.29087383782624654
30,0,0.003981648151584581,1.0048830728032111e-05,2.423244143827479e-05,2.411468766279069,0.2949210394127817
31,0,0.0045008485437088045,1.14942201234402e-05,2.36372671816265e-05,2.0564481041582754,0.20725561283204263
32,0,0.00013737806483036754,1.2939000173338245e-05,2.332968840290224e-05,1.803051865705572,0.14409592616798728
33,0,0.001830432542947129,1.1581690420161822e-05,2.1930130612317896e-05,1.8935172515180632,0.16655379202341125
34,0,0.0019539583115455996,1.1386442194818401e-05,2.077413210195607e-05,1.8244620880269082,0.14939195521262594
35,0,-0.004010115972068223,1.230984979998964e-05,1.9712600599826116e-05,1.6013680849170642,0.09532436535550914
36,0,0.0003888245589773199,1.2711903246957175e-05,1.9592547378052144e-05,1.5412756844843023,0.08142363427208021
37,0,-0.00184925733397939,1.065403471265189e-05,1.8419169935967636e-05,1.728844558211781,0.1258743009861667
38,0,-0.004988402745726044,1.0287904360530004e-05,1.7565596893502973e-05,1.7074028177102964,0.12065826745050456
39,0,0.0013291435357476046,8.832380399258365e-06,1.8125844346986168e-05,2.0522037692701907,0.206195271485055
40,0,-4.491533657871674e-05,7.09310295237877e-06,1.7115006819757003e-05,2.412908276485293,0.29527040886356026
