method,threshold,rank,far_target,n_calibration_paths,n_rules,delta_per_rule,population,coverage
binary_gaussian,-1.3383273024271087,1417,0.15,10000,5,0.01,"the mixed A~U(0,1), kappa~U(0,8) population","a cumulative false-alarm budget for the WHOLE mixture; it is not the same guarantee at every parameter point, and it is not an at-least-one-alarm guarantee across a portfolio of monitored strategies"
binary_student_t,-1.4697273002237727,1417,0.15,10000,5,0.01,"the mixed A~U(0,1), kappa~U(0,8) population","a cumulative false-alarm budget for the WHOLE mixture; it is not the same guarantee at every parameter point, and it is not an at-least-one-alarm guarantee across a portfolio of monitored strategies"
trailing_sharpe_252,-0.941581385178416,1417,0.15,10000,5,0.01,"the mixed A~U(0,1), kappa~U(0,8) population","a cumulative false-alarm budget for the WHOLE mixture; it is not the same guarantee at every parameter point, and it is not an at-least-one-alarm guarantee across a portfolio of monitored strategies"
ewma_student_t,-1.776416490308955,1417,0.15,10000,5,0.01,"the mixed A~U(0,1), kappa~U(0,8) population","a cumulative false-alarm budget for the WHOLE mixture; it is not the same guarantee at every parameter point, and it is not an at-least-one-alarm guarantee across a portfolio of monitored strategies"
ewma_trunc_student_t,-1.8125466099916974,1417,0.15,10000,5,0.01,"the mixed A~U(0,1), kappa~U(0,8) population","a cumulative false-alarm budget for the WHOLE mixture; it is not the same guarantee at every parameter point, and it is not an at-least-one-alarm guarantee across a portfolio of monitored strategies"
