detector,day,bin_low,bin_high,n,mean_predicted_q,observed_invalid_frac,gap,scenario
ewma_student_t,63,0.0,0.1,110,0.070639433595189,0.03636363636363636,0.034275797231552635,sv_jump
ewma_student_t,63,0.1,0.2,654,0.1603979589614259,0.15749235474006115,0.002905604221364738,sv_jump
ewma_student_t,63,0.2,0.30000000000000004,1652,0.2555294955827715,0.25181598062953997,0.0037135149532315226,sv_jump
ewma_student_t,63,0.30000000000000004,0.4,3185,0.3538118320742151,0.363265306122449,-0.009453474048233879,sv_jump
ewma_student_t,63,0.4,0.5,4380,0.45087376742133256,0.44452054794520546,0.006353219476127103,sv_jump
ewma_student_t,63,0.5,0.6000000000000001,4335,0.5479849481445329,0.5476355247981546,0.0003494233463783303,sv_jump
ewma_student_t,63,0.6000000000000001,0.7000000000000001,3167,0.6449101447180348,0.6441427218187559,0.0007674228992788912,sv_jump
ewma_student_t,63,0.7000000000000001,0.8,1731,0.7428945902913396,0.7417677642980935,0.0011268259932460944,sv_jump
ewma_student_t,63,0.8,0.9,686,0.8392133401973537,0.8469387755102041,-0.007725435312850415,sv_jump
ewma_student_t,63,0.9,1.0,100,0.9278031775345965,0.94,-0.012196822465403434,sv_jump
ewma_student_t,126,0.0,0.1,927,0.0570429346552556,0.06472491909385113,-0.007681984438595524,sv_jump
ewma_student_t,126,0.1,0.2,1535,0.15468188398596222,0.1771986970684039,-0.02251681308244169,sv_jump
ewma_student_t,126,0.2,0.30000000000000004,2135,0.2515337865574633,0.26885245901639343,-0.01731867245893015,sv_jump
ewma_student_t,126,0.30000000000000004,0.4,2513,0.3513811729855806,0.3426183844011142,0.008762788584466386,sv_jump
ewma_student_t,126,0.4,0.5,2824,0.45053126027732,0.4557365439093484,-0.005205283632028435,sv_jump
ewma_student_t,126,0.5,0.6000000000000001,2848,0.5485867007778533,0.5456460674157303,0.002940633362123024,sv_jump
ewma_student_t,126,0.6000000000000001,0.7000000000000001,2593,0.6485603716406165,0.6351716158889318,0.013388755751684744,sv_jump
ewma_student_t,126,0.7000000000000001,0.8,2071,0.7478762097407864,0.7397392563978754,0.00813695334291098,sv_jump
ewma_student_t,126,0.8,0.9,1626,0.8461139870715926,0.8308733087330873,0.015240678338505287,sv_jump
ewma_student_t,126,0.9,1.0,928,0.9416504168789668,0.9288793103448276,0.012771106534139154,sv_jump
ewma_student_t,252,0.0,0.1,2795,0.0437302028281024,0.05652951699463327,-0.012799314166530872,sv_jump
ewma_student_t,252,0.1,0.2,1996,0.14833054988309716,0.17334669338677355,-0.025016143503676397,sv_jump
ewma_student_t,252,0.2,0.30000000000000004,1771,0.2505012267012942,0.2941840767927724,-0.04368285009147821,sv_jump
ewma_student_t,252,0.30000000000000004,0.4,1738,0.34921219469845444,0.357307249712313,-0.008095055013858543,sv_jump
ewma_student_t,252,0.4,0.5,1687,0.45009668620272447,0.44931831653823356,0.0007783696644909077,sv_jump
ewma_student_t,252,0.5,0.6000000000000001,1696,0.5501256545088411,0.5341981132075472,0.015927541301293924,sv_jump
ewma_student_t,252,0.6000000000000001,0.7000000000000001,1745,0.6510097834935269,0.636676217765043,0.014333565728483877,sv_jump
ewma_student_t,252,0.7000000000000001,0.8,1803,0.7518950741948655,0.7304492512479202,0.021445822946945303,sv_jump
ewma_student_t,252,0.8,0.9,1986,0.8515245511756595,0.8277945619335347,0.02372998924212477,sv_jump
ewma_student_t,252,0.9,1.0,2783,0.9563176426314723,0.9407114624505929,0.015606180180879448,sv_jump
ewma_student_t,504,0.0,0.1,5451,0.02906933937744567,0.04035956705191708,-0.01129022767447141,sv_jump
ewma_student_t,504,0.1,0.2,1643,0.1458836766542132,0.17224589166159465,-0.02636221500738145,sv_jump
ewma_student_t,504,0.2,0.30000000000000004,1144,0.24777520168758657,0.2736013986013986,-0.025826196913812022,sv_jump
ewma_student_t,504,0.30000000000000004,0.4,908,0.3502106531842143,0.36784140969163,-0.01763075650741569,sv_jump
ewma_student_t,504,0.4,0.5,838,0.4496665544235918,0.47613365155131265,-0.02646709712772083,sv_jump
ewma_student_t,504,0.5,0.6000000000000001,848,0.5510876141901445,0.5577830188679245,-0.006695404677779959,sv_jump
ewma_student_t,504,0.6000000000000001,0.7000000000000001,916,0.651436729685473,0.6320960698689956,0.019340659816477368,sv_jump
ewma_student_t,504,0.7000000000000001,0.8,1188,0.751476988174859,0.7196969696969697,0.03178001847788925,sv_jump
ewma_student_t,504,0.8,0.9,1601,0.8540006820891494,0.8176139912554653,0.036386690833684066,sv_jump
ewma_student_t,504,0.9,1.0,5463,0.9710093932786018,0.958264689730917,0.012744703547684755,sv_jump
ewma_gaussian,63,0.0,0.1,113,0.05962361423439924,0.23893805309734514,-0.1793144388629459,sv_jump
ewma_gaussian,63,0.1,0.2,567,0.1589336091451803,0.2204585537918871,-0.061524944646706825,sv_jump
ewma_gaussian,63,0.2,0.30000000000000004,1738,0.25761984168603186,0.2911392405063291,-0.03351939882029725,sv_jump
ewma_gaussian,63,0.30000000000000004,0.4,3230,0.3529885033059522,0.3811145510835913,-0.028126047777639107,sv_jump
ewma_gaussian,63,0.4,0.5,4396,0.45117819134522713,0.4533666969972702,-0.0021885056520430934,sv_jump
ewma_gaussian,63,0.5,0.6000000000000001,4355,0.5494762997770883,0.5469575200918485,0.002518779685239836,sv_jump
ewma_gaussian,63,0.6000000000000001,0.7000000000000001,3174,0.6468231716003948,0.6323251417769377,0.01449802982345716,sv_jump
ewma_gaussian,63,0.7000000000000001,0.8,1747,0.7428862596156108,0.6983400114481969,0.04454624816741393,sv_jump
ewma_gaussian,63,0.8,0.9,586,0.8393827889886035,0.7593856655290102,0.07999712345959331,sv_jump
ewma_gaussian,63,0.9,1.0,94,0.9365092185984489,0.6808510638297872,0.2556581547686617,sv_jump
ewma_gaussian,126,0.0,0.1,968,0.054914532425421624,0.1518595041322314,-0.09694497170680977,sv_jump
ewma_gaussian,126,0.1,0.2,1578,0.15260908805364556,0.22813688212927757,-0.07552779407563201,sv_jump
ewma_gaussian,126,0.2,0.30000000000000004,2181,0.25170591886952326,0.31132508023842276,-0.0596191613688995,sv_jump
ewma_gaussian,126,0.30000000000000004,0.4,2497,0.3507820552583615,0.3840608730476572,-0.0332788177892957,sv_jump
ewma_gaussian,126,0.4,0.5,2804,0.4512861637392103,0.4557774607703281,-0.00449129703111778,sv_jump
ewma_gaussian,126,0.5,0.6000000000000001,2786,0.5493390133222266,0.5362526920315865,0.013086321290640024,sv_jump
ewma_gaussian,126,0.6000000000000001,0.7000000000000001,2551,0.648612867390897,0.6338690709525676,0.014743796438329348,sv_jump
ewma_gaussian,126,0.7000000000000001,0.8,2077,0.7485431644258295,0.6807896003851709,0.06775356404065858,sv_jump
ewma_gaussian,126,0.8,0.9,1611,0.8467745136228843,0.7690875232774674,0.07768699034541682,sv_jump
ewma_gaussian,126,0.9,1.0,947,0.9450040441266719,0.8585005279831045,0.08650351614356744,sv_jump
ewma_gaussian,252,0.0,0.1,2830,0.044026152922469135,0.12014134275618374,-0.0761151898337146,sv_jump
ewma_gaussian,252,0.1,0.2,1965,0.14899016211155847,0.23460559796437658,-0.08561543585281811,sv_jump
ewma_gaussian,252,0.2,0.30000000000000004,1758,0.24889527848247722,0.3122866894197952,-0.06339141093731798,sv_jump
ewma_gaussian,252,0.30000000000000004,0.4,1718,0.3491600533162502,0.4086146682188591,-0.05945461490260889,sv_jump
ewma_gaussian,252,0.4,0.5,1649,0.45019341174427574,0.46634323832625835,-0.016149826581982607,sv_jump
ewma_gaussian,252,0.5,0.6000000000000001,1773,0.5491659957430091,0.5115623237450648,0.03760367199794423,sv_jump
ewma_gaussian,252,0.6000000000000001,0.7000000000000001,1701,0.6500341864760052,0.6396237507348619,0.010410435741143309,sv_jump
ewma_gaussian,252,0.7000000000000001,0.8,1830,0.7507406482061229,0.6868852459016394,0.0638554023044835,sv_jump
ewma_gaussian,252,0.8,0.9,2033,0.8510084653899891,0.7594687653713723,0.09153970001861678,sv_jump
ewma_gaussian,252,0.9,1.0,2743,0.9564648127945307,0.8687568355814801,0.08770797721305057,sv_jump
ewma_gaussian,504,0.0,0.1,5213,0.029808410319624522,0.094571264147324,-0.06476285382769947,sv_jump
ewma_gaussian,504,0.1,0.2,1654,0.1469698895836926,0.2587666263603386,-0.111796736776646,sv_jump
ewma_gaussian,504,0.2,0.30000000000000004,1178,0.24898502235496558,0.31069609507640067,-0.061711072721435084,sv_jump
ewma_gaussian,504,0.30000000000000004,0.4,996,0.3501005711305078,0.4066265060240964,-0.05652593489358859,sv_jump
ewma_gaussian,504,0.4,0.5,1036,0.4507313440663557,0.4613899613899614,-0.010658617323605735,sv_jump
ewma_gaussian,504,0.5,0.6000000000000001,901,0.5497650638254542,0.5504994450610433,-0.00073438123558911,sv_jump
ewma_gaussian,504,0.6000000000000001,0.7000000000000001,1007,0.649653257534507,0.6127110228401191,0.03694223469438784,sv_jump
ewma_gaussian,504,0.7000000000000001,0.8,1200,0.7515389327139799,0.6616666666666666,0.08987226604731324,sv_jump
ewma_gaussian,504,0.8,0.9,1600,0.8533742915457472,0.7675,0.08587429154574722,sv_jump
ewma_gaussian,504,0.9,1.0,5215,0.9705550343727661,0.900287631831256,0.0702674025415101,sv_jump
binary_student_t,63,0.0,0.1,1,0.0995094072938803,0.0,0.0995094072938803,sv_jump
binary_student_t,63,0.1,0.2,122,0.1718327245706964,0.26229508196721313,-0.09046235739651673,sv_jump
binary_student_t,63,0.2,0.30000000000000004,1030,0.26307649871193683,0.23009708737864076,0.03297941133329607,sv_jump
binary_student_t,63,0.30000000000000004,0.4,3285,0.3570473932674061,0.31841704718417047,0.03863034608323562,sv_jump
binary_student_t,63,0.4,0.5,5582,0.45228189121907275,0.41902543891078464,0.03325645230828811,sv_jump
binary_student_t,63,0.5,0.6000000000000001,5459,0.5473574226328204,0.577944678512548,-0.03058725587972766,sv_jump
binary_student_t,63,0.6000000000000001,0.7000000000000001,3354,0.6432478224881503,0.6845557543231962,-0.041307931835045886,sv_jump
