detector,far_target,n_replications,mean_test_far,sd_test_far,sd_test_far_se,min_test_far,max_test_far,frac_replications_above_target,binomial_se_single_run,sd_inflation_vs_binomial,calibration_only_sd,calibration_excess_var_is_negative,p_value_no_calibration_excess,sd_threshold,mean_threshold
binary_gaussian,0.05,100,0.04983999999999999,0.004237971689429277,0.0003011795333603728,0.0408,0.0622,0.44,0.0030822070014844883,1.3749795803423117,0.0029086773695967106,False,2.1393264708867583e-07,0.03082049217598678,-1.952459604184434
binary_student_t,0.05,100,0.050106000000000005,0.004336684485091384,0.00030819474627658157,0.0406,0.0608,0.48,0.0030822070014844883,1.407006240334507,0.0030507101342527325,False,2.3219606620798142e-08,0.039506345663434625,-2.3958933548567516
trailing_sharpe_252,0.05,100,0.04930600000000001,0.0039579052719101475,0.00028127607974629687,0.0408,0.0594,0.42,0.0030822070014844883,1.2841140358204024,0.002482944651298965,False,5.147958319491326e-05,0.02462228238834634,-1.5104040057923394
known_vol_rolling_252,0.05,100,0.049522000000000004,0.003927308688574599,0.00027910167525123917,0.0396,0.0584,0.46,0.0030822070014844883,1.2741871933595257,0.0024338762366549246,False,8.70010783015258e-05,0.024911253742823013,-1.5001337323711061
binary_gaussian,0.15,100,0.14974,0.007879522110310287,0.0005599732528193415,0.1324,0.1654,0.48,0.005049752469181039,1.5603778914708222,0.0060487080179877,False,7.440859624166716e-14,0.02164953982427517,-1.3229502912762228
binary_student_t,0.15,100,0.15045399999999998,0.007067058594048671,0.0005022339849260832,0.1362,0.1668,0.46,0.005049752469181039,1.3994861405938963,0.004944018322348449,False,3.963589552840691e-08,0.02155562624833277,-1.6283174912792682
trailing_sharpe_252,0.15,100,0.14937600000000004,0.007383644497171168,0.0005247327653706847,0.1316,0.1688,0.45,0.005049752469181039,1.4621794914174548,0.0053868549322035825,False,3.585915811446209e-10,0.018764829439495683,-0.965554734144656
known_vol_rolling_252,0.15,100,0.149528,0.007757929537387583,0.0005513320449357941,0.1318,0.168,0.47,0.005049752469181039,1.5362989740060966,0.005889437214799962,False,6.735418593242768e-13,0.01913300617561085,-0.9608285781536838
