threshold,alt_sharpe,level,mean_days,median_days,mean_years,median_years
0.8,1.0,1.3862943611198908,698.692358004425,414.3246166355762,2.772588722239782,1.6441453041094294
0.9,1.0,2.1972245773362196,1107.4011869774547,770.3739750594777,4.394449154672439,3.057039583569356
0.95,1.0,2.9444389791664394,1483.9972454998856,1117.0532237896628,5.88887795833288,4.432750888054217
0.8,0.6,1.3862943611198908,1940.812105567847,1150.9017128766004,7.701635339554949,4.567070289192859
0.9,0.6,2.1972245773362196,3076.1144082707074,2139.9277084985492,12.206803207423443,8.49177662102599
0.95,0.6,2.9444389791664394,4122.214570833015,3102.9256216379517,16.357994328702443,12.313196911261713
