detector,detector_label,role,statistic,far_target,threshold,first_eligible_day,n_calibration_paths,calibration_far,n_test_valid_paths,n_test_invalid_paths,far_d126,far_d126_lo,far_d126_hi,detect_d126,detect_d126_lo,detect_d126_hi,far_d252,far_d252_lo,far_d252_hi,detect_d252,detect_d252_lo,detect_d252_hi,far_d504,far_d504_lo,far_d504_hi,detect_d504,detect_d504_lo,detect_d504_hi,undetected_at_H,undetected_at_H_lo,undetected_at_H_hi,trunc_mean_detect_days,trunc_mean_detect_days_se,trunc_mean_detect_years,trunc_mean_detect_years_se,median_detect_days,median_detect_note,trunc_mean_valid_days,trunc_mean_valid_days_se,scenario,arm
trailing_sharpe_252,Trailing 12m Sharpe,fixed scale,calibrated here,0.15,-0.9618405333857858,252,5000,0.15,5000,5000,0.0,0.0,0.0007677019450571243,0.0,0.0,0.0007677019450571243,0.021,0.017377941132514303,0.02535751733085043,0.1568,0.14698527209700052,0.1671416785180867,0.1462,0.13667862572267922,0.15626460017364321,0.5282,0.5143466680565779,0.5420100335537209,0.4718,0.4579899664462791,0.4856533319434222,407.4594,1.519893498103441,1.616902380952381,0.006031323405172385,477,,480.5926,0.9107815268470971,gaussian,per_scenario
known_vol_rolling_252,Rolling / fixed sigma_0,fixed scale,calibrated here,0.15,-0.955738645532081,252,5000,0.15,5000,5000,0.0,0.0,0.0007677019450571243,0.0,0.0,0.0007677019450571243,0.0212,0.01755941437195323,0.025575737010633478,0.1558,0.14601223491327492,0.16611625110570244,0.147,0.13745589028312957,0.1570861072900808,0.5338,0.5199520002284775,0.5475961031200368,0.4662,0.45240389687996335,0.4800479997715226,406.7506,1.5178140438875785,1.6140896825396827,0.006023071602728486,470,,480.5406,0.9115397584714857,gaussian,per_scenario
ewma_gaussian,EWMA Gaussian,forecast scale,calibrated here,0.15,-1.4535707722600968,1,5000,0.15,5000,5000,0.0256,0.02157299196762935,0.03035540363784086,0.0908,0.08314692350146155,0.09908136377037322,0.0826,0.0752865003877144,0.0905543771960193,0.3006,0.2880477732398053,0.31345838629588346,0.1516,0.14192707512979888,0.161807859585517,0.5676,0.5538214881107262,0.5812747185863021,0.4324,0.41872528141369797,0.4461785118892739,363.619,2.163926099253994,1.4429325396825399,0.008587008330372991,425,,465.5398,1.4407423471579428,gaussian,per_scenario
ewma_student_t,EWMA Student-t (nu=5),forecast scale,calibrated here,0.15,-1.706496621992804,1,5000,0.15,5000,5000,0.0232,0.019378981328847723,0.02775309924595875,0.0832,0.07586093314234772,0.0911790231990519,0.0792,0.0720336673776816,0.08701243057927849,0.2842,0.27186761704613077,0.296863723113356,0.1518,0.14212154729235207,0.16201308034218573,0.5486,0.5347745209514538,0.5623508584194865,0.4514,0.43764914158051355,0.4652254790485461,369.633,2.1428217282806887,1.466797619047619,0.00850326082651067,448,,466.8504,1.4142162230271207,gaussian,per_scenario
binary_gaussian,Fixed Gaussian,fixed scale,Gaussian-calibrated,0.05,-1.9602589794329301,1,0,0.05,5000,5000,0.001,0.00042721349110879964,0.002338953050058211,0.009,0.00673322861097761,0.01202065469906849,0.0152,0.012161871202107252,0.01898249260382014,0.1114,0.10297572349198639,0.12042093445971203,0.048,0.042413931418707994,0.05428007113962365,0.367,0.3537471041019262,0.380457104615459,0.633,0.619542895384541,0.6462528958980738,436.2046,1.55746553334111,1.730970634920635,0.006180418783099643,,not reached within the 504-day horizon,495.0762,0.6521356414818762,jump,gaussian_transfer
binary_student_t,Fixed Student-t (nu=5),fixed scale,Gaussian-calibrated,0.05,-2.387299393589915,1,0,0.05,5000,5000,0.0008,0.00031114697610156274,0.00205532664584347,0.0062,0.0043713883985244135,0.008786794042414002,0.0092,0.0069047385482477065,0.012248837681020369,0.0952,0.08737294742283017,0.1036485840718881,0.0356,0.030810226818122823,0.041102814748446244,0.34,0.3269970026518126,0.35324866197060584,0.66,0.6467513380293943,0.6730029973481875,442.8484,1.4716261686325236,1.7573349206349207,0.005839786383462395,,not reached within the 504-day horizon,497.845,0.5305524782586897,jump,gaussian_transfer
trailing_sharpe_252,Trailing 12m Sharpe,fixed scale,Gaussian-calibrated,0.05,-1.5187780290418438,252,0,0.05,5000,5000,0.0,0.0,0.0007677019450571243,0.0,0.0,0.0007677019450571243,0.0058,0.004041457970253664,0.008317338632240798,0.0658,0.05925568920703122,0.07301098316205637,0.0468,0.04128549558366106,0.053010349459338725,0.3078,0.29515741145341334,0.3207376931742667,0.6922,0.6792623068257333,0.7048425885465868,452.4882,1.2604117818093994,1.7955880952380954,0.005001634054799204,,not reached within the 504-day horizon,497.2178,0.4994072828452062,jump,gaussian_transfer
known_vol_rolling_252,Rolling / fixed sigma_0,fixed scale,Gaussian-calibrated,0.05,-1.5212128432379501,252,0,0.05,5000,5000,0.0,0.0,0.0007677019450571243,0.0,0.0,0.0007677019450571243,0.006,0.004206136160498105,0.008552353361218335,0.0632,0.05678516000428789,0.07028550441491403,0.0496,0.04392008579235035,0.05597146011975712,0.3008,0.2882452132866382,0.3136606391682727,0.6992,0.6863393608317275,0.7117547867133619,453.6638,1.2490996292885437,1.8002531746031745,0.004956744560668824,,not reached within the 504-day horizon,496.7828,0.5195625793749751,jump,gaussian_transfer
ewma_gaussian,EWMA Gaussian,forecast scale,Gaussian-calibrated,0.05,-2.1652822221606454,1,0,0.05,5000,5000,0.0026,0.0015201269998326155,0.004443582895110212,0.017,0.013769889061235687,0.020971711017689503,0.021,0.017377941132514303,0.02535751733085043,0.1492,0.13959387965587444,0.1593447400287777,0.0666,0.06001647553764848,0.07384896850832705,0.4208,0.4071818522822425,0.4345397517058546,0.5792,0.5654602482941454,0.5928181477177575,420.39,1.7114790247299023,1.6682142857142856,0.006791583431467866,,not reached within the 504-day horizon,490.9232,0.7948546402530632,jump,gaussian_transfer
ewma_student_t,EWMA Student-t (nu=5),forecast scale,Gaussian-calibrated,0.05,-2.5468626259433758,1,0,0.05,5000,5000,0.0012,0.0005500831677591556,0.002615776292629832,0.0096,0.007248675096817013,0.012704286970895016,0.013,0.010213148925363891,0.01653459276912175,0.1076,0.0993101339918606,0.11649235849462024,0.0474,0.04184958432057469,0.05364533948009102,0.3592,0.3460145693662013,0.3726016155015269,0.6408,0.6273983844984733,0.6539854306337988,437.4028,1.5440733087870477,1.735725396825397,0.0061272750348692374,,not reached within the 504-day horizon,495.3518,0.6378544810690006,jump,gaussian_transfer
