scenario,method,arm,far_target,threshold,first_eligible_day,far_alarms,far_lo,far_hi,in_stage2c_coverage,far_d63,detect_d63,detect_d63_lo,detect_d63_hi,far_d126,detect_d126,detect_d126_lo,detect_d126_hi,far_d252,detect_d252,detect_d252_lo,detect_d252_hi,far_d504,detect_d504,detect_d504_lo,detect_d504_hi,trunc_mean_detect_days,trunc_mean_detect_se,median_detect_days,median_detect_note,undetected_at_H,n_test_valid,n_test_invalid
gaussian_ctrl,binary_gaussian,diagnostic,0.05,-2.0189450034021927,1,440,0.040152272336549465,0.04819793417750757,True,0.0,0.0,0.0,0.00038399837067659573,0.0018,0.0106,0.008772350992874956,0.012803506612343295,0.0135,0.1039,0.09807086253470189,0.11003334097454813,0.044,0.35,0.3407107849472953,0.35940441456390754,439.7595,1.0779685559401813,,not reached within 504d,0.65,10000,10000
gaussian_ctrl,binary_student_t,diagnostic,0.05,-2.4882649287138916,1,423,0.03852772656784895,0.046423785540668394,True,0.0,0.0,0.0,0.00038399837067659573,0.001,0.0064,0.005015442801028862,0.008163640390503074,0.0118,0.0877,0.08231320933706052,0.09340343571939941,0.0423,0.3223,0.3132097092827907,0.3315267637381476,447.3102,1.0152626622817085,,not reached within 504d,0.6777,10000,10000
gaussian_ctrl,trailing_sharpe_252,diagnostic,0.05,-1.5426326928227332,252,439,0.04005666463531619,0.04809361867841499,True,0.0,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0,0.00038399837067659573,0.0045,0.0638,0.059175411817862796,0.06875958836071547,0.0439,0.2897,0.28089124601182425,0.2986702637028823,455.7026,0.8720283932739045,,not reached within 504d,0.7102999999999999,10000,10000
gaussian_ctrl,known_vol_rolling_252,diagnostic,0.05,-1.5400814008690076,252,446,0.04072603677221204,0.0488237089438002,True,0.0,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0,0.00038399837067659573,0.0045,0.0636,0.058982483333002836,0.0685526704449237,0.0446,0.2898,0.2809902997942909,0.29877113312074144,455.5783,0.8733892991088108,,not reached within 504d,0.7101999999999999,10000,10000
gaussian_ctrl,ewma_gaussian,diagnostic,0.05,-2.240686187116846,1,442,0.0403435047015169,0.048406548213191875,True,0.0,0.0,0.0,0.00038399837067659573,0.0013,0.0077,0.006165744043271591,0.009612340752496585,0.0118,0.093,0.08746286373620066,0.09884971093753009,0.0442,0.3294,0.3202553061381045,0.3386757141059703,444.6772,1.035094006347345,,not reached within 504d,0.6706,10000,10000
gaussian_ctrl,ewma_student_t,diagnostic,0.05,-2.6224331314416314,1,414,0.03766836746394034,0.04548383584164423,True,0.0,0.0001,1.765267360112231e-05,0.0005662688974013381,0.001,0.0058,0.004489676579576177,0.007489867410000569,0.011,0.0819,0.076684721274765,0.08743637816279476,0.0414,0.3093,0.300315619413292,0.318430837565284,450.1547,0.9910245353945458,,not reached within 504d,0.6907,10000,10000
gaussian_ctrl,binary_gaussian,diagnostic,0.15,-1.3855392797324528,1,1374,0.13079154559496972,0.14428693002344492,True,0.003,0.0091,0.0074181785377802605,0.01115883106255002,0.0231,0.0861,0.08075976788838678,0.09175810596285928,0.0705,0.2912,0.2823771077383787,0.30018324998121576,0.1374,0.5578,0.5480455282758712,0.5675100815124785,366.4387,1.5193407003853299,433,,0.44220000000000004,10000,10000
gaussian_ctrl,binary_student_t,diagnostic,0.15,-1.6960263956623136,1,1384,0.13177059442962216,0.1453071131920511,True,0.0021,0.0067,0.00527963331754198,0.00849921947496755,0.0197,0.0769,0.07183895992246529,0.08228597949880125,0.0721,0.2742,0.26554435542895904,0.2830290582352384,0.1384,0.5383,0.5285161308922501,0.5480544548325561,373.6138,1.495745770676638,459,,0.4617,10000,10000
gaussian_ctrl,trailing_sharpe_252,diagnostic,0.15,-1.0154360614436155,252,1372,0.13059575018587788,0.14408287903188505,True,0.0,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0,0.00038399837067659573,0.021,0.1542,0.14725467911898385,0.16141089415417606,0.1372,0.5193,0.5095019498307741,0.5290832278321177,410.8478,1.0651015480444879,487,,0.4807,10000,10000
gaussian_ctrl,known_vol_rolling_252,diagnostic,0.15,-1.004374440620404,252,1385,0.13186850586777127,0.14540912495422792,True,0.0,0.0,0.0,0.00038399837067659573,0.0,0.0,0.0,0.00038399837067659573,0.0215,0.1544,0.14745085379944609,0.1616145658743656,0.1385,0.5233,0.5135037547508811,0.5330783509250453,410.1496,1.0670172138055956,484,,0.4767,10000,10000
