detector,day,bin_low,bin_high,n,mean_predicted_q,observed_invalid_frac,gap,scenario,sharpe_valid
binary_gaussian,63,0.0,0.1,10,0.0769221667547452,0.2,-0.12307783324525481,sv_jump,1.0
binary_gaussian,63,0.1,0.2,134,0.1686500604413141,0.29850746268656714,-0.12985740224525305,sv_jump,1.0
binary_gaussian,63,0.2,0.30000000000000004,794,0.2620208137082319,0.3198992443324937,-0.057878430624261845,sv_jump,1.0
binary_gaussian,63,0.30000000000000004,0.4,2764,0.3581727814451027,0.32054992764109985,0.03762285380400282,sv_jump,1.0
binary_gaussian,63,0.4,0.5,6198,0.45439942020758683,0.42320103259115843,0.031198387616428402,sv_jump,1.0
binary_gaussian,63,0.5,0.6000000000000001,6404,0.5448844722055904,0.5733916302311055,-0.028507158025515067,sv_jump,1.0
binary_gaussian,63,0.6000000000000001,0.7000000000000001,2791,0.6402388118524923,0.6743102830526693,-0.03407147120017695,sv_jump,1.0
binary_gaussian,63,0.7000000000000001,0.8,742,0.7405999759616607,0.7169811320754716,0.023618843886189067,sv_jump,1.0
binary_gaussian,63,0.8,0.9,155,0.8359053510627863,0.6774193548387096,0.15848599622407666,sv_jump,1.0
binary_gaussian,63,0.9,1.0,8,0.9312282480670565,0.5,0.4312282480670565,sv_jump,1.0
binary_gaussian,126,0.0,0.1,78,0.07577128782859534,0.16666666666666666,-0.09089537883807132,sv_jump,1.0
binary_gaussian,126,0.1,0.2,506,0.1602366086505127,0.22529644268774704,-0.06505983403723434,sv_jump,1.0
binary_gaussian,126,0.2,0.30000000000000004,1625,0.2570318420937169,0.24861538461538463,0.008416457478332251,sv_jump,1.0
binary_gaussian,126,0.30000000000000004,0.4,3314,0.3546235656466382,0.31985515992757996,0.03476840571905826,sv_jump,1.0
binary_gaussian,126,0.4,0.5,4484,0.4514710286642579,0.41636931311329173,0.035101715550966195,sv_jump,1.0
binary_gaussian,126,0.5,0.6000000000000001,4512,0.5493235610175579,0.5782358156028369,-0.028912254585279018,sv_jump,1.0
binary_gaussian,126,0.6000000000000001,0.7000000000000001,3272,0.6450821216268505,0.6919315403422983,-0.04684941871544779,sv_jump,1.0
binary_gaussian,126,0.7000000000000001,0.8,1584,0.7413860461837011,0.7468434343434344,-0.00545738815973329,sv_jump,1.0
binary_gaussian,126,0.8,0.9,541,0.8409381077542981,0.7874306839186691,0.05350742383562901,sv_jump,1.0
binary_gaussian,126,0.9,1.0,84,0.9272162130720416,0.7142857142857143,0.2129304987863273,sv_jump,1.0
binary_gaussian,252,0.0,0.1,450,0.06851762375035722,0.12,-0.051482376249642775,sv_jump,1.0
binary_gaussian,252,0.1,0.2,1504,0.15583634705799787,0.1589095744680851,-0.003073227410087226,sv_jump,1.0
binary_gaussian,252,0.2,0.30000000000000004,2346,0.2510069802819097,0.21270247229326514,0.03830450798864457,sv_jump,1.0
binary_gaussian,252,0.30000000000000004,0.4,2748,0.3514271761287212,0.31513828238719066,0.03628889374153055,sv_jump,1.0
binary_gaussian,252,0.4,0.5,2982,0.4500360707174583,0.4379610999329309,0.012074970784527406,sv_jump,1.0
binary_gaussian,252,0.5,0.6000000000000001,2905,0.550162165479333,0.5604130808950086,-0.010250915415675577,sv_jump,1.0
binary_gaussian,252,0.6000000000000001,0.7000000000000001,2776,0.6488880050638569,0.6873198847262247,-0.03843187966236783,sv_jump,1.0
binary_gaussian,252,0.7000000000000001,0.8,2295,0.7481972230228664,0.7856209150326797,-0.037423692009813325,sv_jump,1.0
binary_gaussian,252,0.8,0.9,1488,0.8435765680818756,0.842741935483871,0.0008346325980046476,sv_jump,1.0
binary_gaussian,252,0.9,1.0,506,0.9338884038318763,0.8754940711462451,0.05839433268563121,sv_jump,1.0
binary_gaussian,504,0.0,0.1,1981,0.05650854600029741,0.07370015143866734,-0.017191605438369936,sv_jump,1.0
binary_gaussian,504,0.1,0.2,2264,0.1495721174945156,0.12897526501766785,0.020596852476847755,sv_jump,1.0
binary_gaussian,504,0.2,0.30000000000000004,2085,0.24876898241514034,0.20959232613908874,0.0391766562760516,sv_jump,1.0
binary_gaussian,504,0.30000000000000004,0.4,1952,0.34971912657973125,0.3411885245901639,0.008530601989567344,sv_jump,1.0
binary_gaussian,504,0.4,0.5,1712,0.449893824708959,0.4310747663551402,0.018819058353818807,sv_jump,1.0
binary_gaussian,504,0.5,0.6000000000000001,1819,0.5500957034713663,0.5585486531061022,-0.008452949634735973,sv_jump,1.0
binary_gaussian,504,0.6000000000000001,0.7000000000000001,1896,0.6500084282263221,0.6708860759493671,-0.020877647723045012,sv_jump,1.0
binary_gaussian,504,0.7000000000000001,0.8,2020,0.7514245074968237,0.7712871287128713,-0.01986262121604765,sv_jump,1.0
binary_gaussian,504,0.8,0.9,2247,0.8506983732850291,0.8780596350689809,-0.027361261783951818,sv_jump,1.0
binary_gaussian,504,0.9,1.0,2024,0.9447456240023917,0.9397233201581028,0.005022303844288922,sv_jump,1.0
binary_student_t,63,0.0,0.1,3,0.07551775541498666,0.0,0.07551775541498666,sv_jump,1.0
binary_student_t,63,0.1,0.2,110,0.17595278563249112,0.24545454545454545,-0.06950175982205434,sv_jump,1.0
binary_student_t,63,0.2,0.30000000000000004,1094,0.2629344782515927,0.24588665447897623,0.01704782377261649,sv_jump,1.0
binary_student_t,63,0.30000000000000004,0.4,3239,0.35761386847400156,0.30966347638159925,0.047950392092402316,sv_jump,1.0
binary_student_t,63,0.4,0.5,5447,0.4524189619812785,0.42592252616118964,0.02649643582008887,sv_jump,1.0
binary_student_t,63,0.5,0.6000000000000001,5634,0.547670281380768,0.5692225772097976,-0.021552295829029622,sv_jump,1.0
binary_student_t,63,0.6000000000000001,0.7000000000000001,3312,0.6434471819245208,0.6896135265700483,-0.04616634464552749,sv_jump,1.0
binary_student_t,63,0.7000000000000001,0.8,1020,0.7370279108540041,0.7598039215686274,-0.022776010714623318,sv_jump,1.0
binary_student_t,63,0.8,0.9,141,0.828115661792899,0.8156028368794326,0.012512824913466392,sv_jump,1.0
binary_student_t,126,0.0,0.1,62,0.08410960773515815,0.06451612903225806,0.019593478702900083,sv_jump,1.0
binary_student_t,126,0.1,0.2,736,0.16072167955996153,0.1644021739130435,-0.003680494353081959,sv_jump,1.0
binary_student_t,126,0.2,0.30000000000000004,2040,0.2569361184831702,0.21519607843137256,0.041740040051797656,sv_jump,1.0
binary_student_t,126,0.30000000000000004,0.4,3248,0.35229846730848857,0.2958743842364532,0.05642408307203539,sv_jump,1.0
binary_student_t,126,0.4,0.5,3799,0.45017672341406173,0.42326928138983944,0.026907442024222294,sv_jump,1.0
binary_student_t,126,0.5,0.6000000000000001,3859,0.5494108936649489,0.5662088623995853,-0.01679796873463646,sv_jump,1.0
binary_student_t,126,0.6000000000000001,0.7000000000000001,3373,0.6476098719592972,0.6955232730506967,-0.04791340109139952,sv_jump,1.0
binary_student_t,126,0.7000000000000001,0.8,2101,0.7447759977839971,0.7981913374583531,-0.05341533967435608,sv_jump,1.0
binary_student_t,126,0.8,0.9,727,0.8370779988983079,0.8376891334250344,-0.0006111345267264534,sv_jump,1.0
binary_student_t,126,0.9,1.0,55,0.9214697107811279,0.9090909090909091,0.012378801690218877,sv_jump,1.0
binary_student_t,252,0.0,0.1,668,0.06988411329265706,0.06287425149700598,0.007009861795651079,sv_jump,1.0
binary_student_t,252,0.1,0.2,1953,0.15231085598469057,0.10599078341013825,0.046320072574552326,sv_jump,1.0
binary_student_t,252,0.2,0.30000000000000004,2408,0.2501294974643247,0.18480066445182725,0.06532883301249748,sv_jump,1.0
binary_student_t,252,0.30000000000000004,0.4,2513,0.3511655811543904,0.32073219259848784,0.030433388555902552,sv_jump,1.0
binary_student_t,252,0.4,0.5,2476,0.4504746504401775,0.42851373182552505,0.021960918614652436,sv_jump,1.0
binary_student_t,252,0.5,0.6000000000000001,2433,0.5500797607673051,0.5717221537196876,-0.02164239295238246,sv_jump,1.0
binary_student_t,252,0.6000000000000001,0.7000000000000001,2491,0.6497431786207974,0.6904857486953031,-0.04074257007450566,sv_jump,1.0
binary_student_t,252,0.7000000000000001,0.8,2392,0.749371472666062,0.8072742474916388,-0.05790277482557682,sv_jump,1.0
binary_student_t,252,0.8,0.9,1958,0.8482507246419687,0.8850868232890705,-0.0368360986471018,sv_jump,1.0
binary_student_t,252,0.9,1.0,708,0.9303904593639902,0.9378531073446328,-0.007462647980642556,sv_jump,1.0
binary_student_t,504,0.0,0.1,2843,0.052772064104415956,0.02919451283855083,0.023577551265865127,sv_jump,1.0
binary_student_t,504,0.1,0.2,2390,0.14830629777920828,0.10209205020920502,0.04621424757000327,sv_jump,1.0
binary_student_t,504,0.2,0.30000000000000004,1799,0.24585890855669307,0.20344635908838243,0.042412549468310634,sv_jump,1.0
binary_student_t,504,0.30000000000000004,0.4,1574,0.34711733004173706,0.2903430749682338,0.056774255073503255,sv_jump,1.0
binary_student_t,504,0.4,0.5,1444,0.4485270531093235,0.4182825484764543,0.030244504632869207,sv_jump,1.0
binary_student_t,504,0.5,0.6000000000000001,1333,0.550278219367182,0.5746436609152288,-0.024365441548046762,sv_jump,1.0
binary_student_t,504,0.6000000000000001,0.7000000000000001,1519,0.6508842306309446,0.6866359447004609,-0.03575171406951627,sv_jump,1.0
binary_student_t,504,0.7000000000000001,0.8,1786,0.7501798428467621,0.8107502799552072,-0.06057043710844512,sv_jump,1.0
binary_student_t,504,0.8,0.9,2374,0.8518196512016946,0.8959561920808762,-0.04413654087918162,sv_jump,1.0
binary_student_t,504,0.9,1.0,2938,0.9476746027767403,0.9741320626276379,-0.026457459850897536,sv_jump,1.0
ewma_student_t,63,0.0,0.1,110,0.07591336310283822,0.045454545454545456,0.030458817648292766,sv_jump,1.0
ewma_student_t,63,0.1,0.2,672,0.16141702525981202,0.16517857142857142,-0.0037615461687594,sv_jump,1.0
ewma_student_t,63,0.2,0.30000000000000004,1717,0.2569351040259764,0.2585905649388468,-0.0016554609128703879,sv_jump,1.0
ewma_student_t,63,0.30000000000000004,0.4,3137,0.35409041668452407,0.35894166401020083,-0.004851247325676766,sv_jump,1.0
ewma_student_t,63,0.4,0.5,4335,0.45135956382571163,0.44359861591695504,0.007760947908756588,sv_jump,1.0
ewma_student_t,63,0.5,0.6000000000000001,4349,0.5483313737346353,0.5507013106461256,-0.0023699369114903446,sv_jump,1.0
ewma_student_t,63,0.6000000000000001,0.7000000000000001,3174,0.6463172426780806,0.6408317580340265,0.005485484644054073,sv_jump,1.0
ewma_student_t,63,0.7000000000000001,0.8,1749,0.7440309303131287,0.7398513436249285,0.004179586688200176,sv_jump,1.0
ewma_student_t,63,0.8,0.9,658,0.8426094590911815,0.8677811550151976,-0.025171695924016135,sv_jump,1.0
ewma_student_t,63,0.9,1.0,99,0.9292477804296418,0.9797979797979798,-0.050550199368337934,sv_jump,1.0
ewma_student_t,126,0.0,0.1,886,0.05794379389356192,0.07223476297968397,-0.014290969086122048,sv_jump,1.0
ewma_student_t,126,0.1,0.2,1555,0.15364040584216992,0.18135048231511253,-0.027710076472942602,sv_jump,1.0
