scenario,far_target,method,reference,n_paired_paths,detect_method,detect_reference,detect_diff,detect_diff_lo,detect_diff_hi,interval_covers,exploratory
jump_k5,0.05,ewma_gaussian,binary_gaussian,10000,0.2731,0.2885,-0.0154,-0.021193395513431346,-0.009606604486568655,"test sampling only, frozen unified threshold",
jump_k5,0.05,ewma_student_t,binary_gaussian,10000,0.2825,0.2885,-0.006,-0.013457617319057353,0.001457617319057353,"test sampling only, frozen unified threshold",
jump_k5,0.15,binary_student_t,binary_gaussian,10000,0.5462,0.553,-0.0068,-0.0143240282569622,0.0007240282569622022,"test sampling only, frozen unified threshold",
jump_k5,0.15,trailing_sharpe_252,binary_gaussian,10000,0.5236,0.553,-0.0294,-0.0377051053134878,-0.021094894686512197,"test sampling only, frozen unified threshold",
jump_k5,0.15,known_vol_rolling_252,binary_gaussian,10000,0.5177,0.553,-0.0353,-0.043514832593750497,-0.0270851674062495,"test sampling only, frozen unified threshold",
jump_k5,0.15,ewma_gaussian,binary_gaussian,10000,0.5311,0.553,-0.0219,-0.028098892124229412,-0.015701107875770587,"test sampling only, frozen unified threshold",
jump_k5,0.15,ewma_student_t,binary_gaussian,10000,0.5499,0.553,-0.0031,-0.011278190185232222,0.005078190185232222,"test sampling only, frozen unified threshold",
sv_rho0,0.05,binary_student_t,binary_gaussian,10000,0.3059,0.2828,0.0231,0.015803765929269693,0.030396234070730305,"test sampling only, frozen unified threshold",
sv_rho0,0.05,trailing_sharpe_252,binary_gaussian,10000,0.2643,0.2828,-0.0185,-0.026034335261131167,-0.01096566473886883,"test sampling only, frozen unified threshold",
sv_rho0,0.05,known_vol_rolling_252,binary_gaussian,10000,0.2072,0.2828,-0.0756,-0.08305041813264978,-0.06814958186735022,"test sampling only, frozen unified threshold",
sv_rho0,0.05,ewma_gaussian,binary_gaussian,10000,0.288,0.2828,0.0052,-0.0014749524728234703,0.011874952472823469,"test sampling only, frozen unified threshold",
sv_rho0,0.05,ewma_student_t,binary_gaussian,10000,0.2747,0.2828,-0.0081,-0.015994802444590173,-0.00020519755540982475,"test sampling only, frozen unified threshold",
sv_rho0,0.15,binary_student_t,binary_gaussian,10000,0.5558,0.5638,-0.008,-0.0160562124468746,5.621244687459802e-05,"test sampling only, frozen unified threshold",
sv_rho0,0.15,trailing_sharpe_252,binary_gaussian,10000,0.5244,0.5638,-0.0394,-0.04775840944025106,-0.031041590559748936,"test sampling only, frozen unified threshold",
sv_rho0,0.15,known_vol_rolling_252,binary_gaussian,10000,0.5206,0.5638,-0.0432,-0.051486537549618586,-0.03491346245038142,"test sampling only, frozen unified threshold",
sv_rho0,0.15,ewma_gaussian,binary_gaussian,10000,0.5453,0.5638,-0.0185,-0.025472911920893297,-0.011527088079106702,"test sampling only, frozen unified threshold",
sv_rho0,0.15,ewma_student_t,binary_gaussian,10000,0.5551,0.5638,-0.0087,-0.01742226065989997,2.226065989997285e-05,"test sampling only, frozen unified threshold",
sv_rho090,0.05,binary_student_t,binary_gaussian,5000,0.3108,0.2838,0.027,0.01657345950404323,0.03742654049595677,"test sampling only, frozen unified threshold",
sv_rho090,0.05,trailing_sharpe_252,binary_gaussian,5000,0.2714,0.2838,-0.0124,-0.023230526722213214,-0.0015694732777867832,"test sampling only, frozen unified threshold",
sv_rho090,0.05,known_vol_rolling_252,binary_gaussian,5000,0.2006,0.2838,-0.0832,-0.09372946288630776,-0.07267053711369223,"test sampling only, frozen unified threshold",
sv_rho090,0.05,ewma_gaussian,binary_gaussian,5000,0.3842,0.2838,0.1004,0.08763877601884848,0.11316122398115153,"test sampling only, frozen unified threshold",
sv_rho090,0.05,ewma_student_t,binary_gaussian,5000,0.3948,0.2838,0.111,0.09759390981099056,0.12440609018900944,"test sampling only, frozen unified threshold",
sv_rho090,0.15,binary_student_t,binary_gaussian,5000,0.541,0.551,-0.01,-0.020660819974684816,0.0006608199746848155,"test sampling only, frozen unified threshold",
sv_rho090,0.15,trailing_sharpe_252,binary_gaussian,5000,0.5284,0.551,-0.0226,-0.03431150054127923,-0.010888499458720764,"test sampling only, frozen unified threshold",
sv_rho090,0.15,known_vol_rolling_252,binary_gaussian,5000,0.5054,0.551,-0.0456,-0.05694594527265538,-0.03425405472734462,"test sampling only, frozen unified threshold",
sv_rho090,0.15,ewma_gaussian,binary_gaussian,5000,0.6238,0.551,0.0728,0.060233550080077164,0.08536644991992284,"test sampling only, frozen unified threshold",
sv_rho090,0.15,ewma_student_t,binary_gaussian,5000,0.6486,0.551,0.0976,0.08431496611024518,0.11088503388975483,"test sampling only, frozen unified threshold",
sv_amp15,0.05,binary_student_t,binary_gaussian,5000,0.2804,0.2252,0.0552,0.04365823696674246,0.06674176303325755,"test sampling only, frozen unified threshold",
sv_amp15,0.05,trailing_sharpe_252,binary_gaussian,5000,0.2806,0.2252,0.0554,0.043306246711324645,0.06749375328867535,"test sampling only, frozen unified threshold",
sv_amp15,0.05,known_vol_rolling_252,binary_gaussian,5000,0.159,0.2252,-0.0662,-0.07543639211005194,-0.05696360788994804,"test sampling only, frozen unified threshold",
sv_amp15,0.05,ewma_gaussian,binary_gaussian,5000,0.7518,0.2252,0.5266,0.5109164551159143,0.5422835448840856,"test sampling only, frozen unified threshold",
sv_amp15,0.05,ewma_student_t,binary_gaussian,5000,0.7764,0.2252,0.5512,0.53560277732986,0.5667972226701401,"test sampling only, frozen unified threshold",
sv_amp15,0.15,binary_student_t,binary_gaussian,5000,0.5552,0.511,0.0442,0.0321726536830023,0.0562273463169977,"test sampling only, frozen unified threshold",
sv_amp15,0.15,trailing_sharpe_252,binary_gaussian,5000,0.542,0.511,0.031,0.018331875434501384,0.043668124565498616,"test sampling only, frozen unified threshold",
sv_amp15,0.15,known_vol_rolling_252,binary_gaussian,5000,0.416,0.511,-0.095,-0.10687717870862437,-0.08312282129137563,"test sampling only, frozen unified threshold",
sv_amp15,0.15,ewma_gaussian,binary_gaussian,5000,0.8658,0.511,0.3548,0.33966439223411915,0.36993560776588086,"test sampling only, frozen unified threshold",
sv_amp15,0.15,ewma_student_t,binary_gaussian,5000,0.8838,0.511,0.3728,0.3575908720406985,0.38800912795930154,"test sampling only, frozen unified threshold",
jump_k8,0.05,binary_student_t,binary_gaussian,5000,0.3106,0.2726,0.038,0.02624701395854157,0.04975298604145843,"test sampling only, frozen unified threshold",
jump_k8,0.05,trailing_sharpe_252,binary_gaussian,5000,0.2624,0.2726,-0.0102,-0.021194242369229666,0.0007942423692296648,"test sampling only, frozen unified threshold",
jump_k8,0.05,known_vol_rolling_252,binary_gaussian,5000,0.1932,0.2726,-0.0794,-0.08995926535519494,-0.06884073464480506,"test sampling only, frozen unified threshold",
jump_k8,0.05,ewma_gaussian,binary_gaussian,5000,0.3732,0.2726,0.1006,0.09021005579277189,0.1109899442072281,"test sampling only, frozen unified threshold",
jump_k8,0.05,ewma_student_t,binary_gaussian,5000,0.3486,0.2726,0.076,0.06314565384256306,0.08885434615743694,"test sampling only, frozen unified threshold",
jump_k8,0.15,binary_student_t,binary_gaussian,5000,0.547,0.5382,0.0088,-0.0033442174965767277,0.02094421749657673,"test sampling only, frozen unified threshold",
jump_k8,0.15,trailing_sharpe_252,binary_gaussian,5000,0.5264,0.5382,-0.0118,-0.02339184868648007,-0.00020815131351992894,"test sampling only, frozen unified threshold",
jump_k8,0.15,known_vol_rolling_252,binary_gaussian,5000,0.5096,0.5382,-0.0286,-0.0400088061819251,-0.0171911938180749,"test sampling only, frozen unified threshold",
jump_k8,0.15,ewma_gaussian,binary_gaussian,5000,0.6074,0.5382,0.0692,0.05931288762119407,0.07908711237880592,"test sampling only, frozen unified threshold",
jump_k8,0.15,ewma_student_t,binary_gaussian,5000,0.5984,0.5382,0.0602,0.04712186999375734,0.07327813000624266,"test sampling only, frozen unified threshold",
sv_rho098,0.05,ewma_student_t,ewma_gaussian,10000,0.5176,0.492,0.0256,0.01886284066715349,0.03233715933284651,"test sampling only, frozen unified threshold",True
sv_rho098,0.15,ewma_student_t,ewma_gaussian,10000,0.7289,0.6997,0.0292,0.02272445352476233,0.03567554647523767,"test sampling only, frozen unified threshold",True
