scenario,n_paths,n_days,mean,mean_se_path_level,var,var_se_path_level,p_abs_gt_2,p_abs_gt_2_se,p_abs_gt_3,p_abs_gt_3_se,p_abs_gt_4,p_abs_gt_4_se,p_abs_gt_6,p_abs_gt_6_se,abs_eps_lag1_autocorr,log_var_lag1_autocorr,true_sigma_ratio_p90_p10,mean_jumps_per_day,expected_jumps_per_day,frac_days_with_jump
gaussian,4000,504,2.9898840467738317e-05,0.0007095718679311036,1.0006581753209984,0.0009730834034765804,0.04553968253968253,0.00014435287140360676,0.0027524801587301586,3.660738273221613e-05,6.69642857142857e-05,5.709255779946504e-06,0.0,0.0,-0.0014469630628417354,,,,,
student_t,4000,504,-0.0005038774405233301,0.0007112296739293095,0.9981982912686138,0.00185401864009184,0.049239087301587305,0.0001507139959357755,0.011746031746031747,7.63410770485779e-05,0.003533730158730158,4.1583655080095425e-05,0.0005610119047619048,1.6641041711208938e-05,-0.0014234829110015145,,,,,
stoch_vol,4000,504,-0.00047351253136557094,0.0007161509540788624,1.0049492465150522,0.008055246773071904,0.05460168650793651,0.0005915461034000055,0.0153015873015873,0.0002616753397203281,0.00496031746031746,0.00012203503201126371,0.0006805555555555556,3.307648747063372e-05,0.27317892639566915,0.9802402133878461,3.618450765676215,,,
jump,4000,504,0.0003042090231684447,0.0007082735668241712,1.0006285065869858,0.0024549695962175493,0.033676091269841266,0.0001280979318450719,0.005146329365079365,4.9243006840986446e-05,0.0031195436507936505,3.900293996857884e-05,0.0015664682539682539,2.851032763515965e-05,-0.0013032524713773403,,,0.00796279761904762,0.007936507936507936,0.007929067460317461
