detector,day,bin_low,bin_high,n,mean_predicted_q,observed_invalid_frac,gap,scenario,brier
ewma_gaussian,63,0.0,0.1,121,0.060901558576395426,0.2809917355371901,-0.22009017696079466,sv_jump,0.23061451770886593
ewma_gaussian,63,0.1,0.2,570,0.16275536356200526,0.23157894736842105,-0.06882358380641579,sv_jump,0.23061451770886593
ewma_gaussian,63,0.2,0.30000000000000004,1669,0.2566465360829401,0.26003594967046134,-0.0033894135875212617,sv_jump,0.23061451770886593
ewma_gaussian,63,0.30000000000000004,0.4,3279,0.3540903999218758,0.37480939310765476,-0.020718993185778967,sv_jump,0.23061451770886593
ewma_gaussian,63,0.4,0.5,4361,0.4514117991210801,0.4583811052510892,-0.006969306130009123,sv_jump,0.23061451770886593
ewma_gaussian,63,0.5,0.6000000000000001,4365,0.548594364247419,0.5470790378006873,0.0015153264467316907,sv_jump,0.23061451770886593
ewma_gaussian,63,0.6000000000000001,0.7000000000000001,3264,0.6460332083055741,0.6271446078431373,0.01888860046243679,sv_jump,0.23061451770886593
ewma_gaussian,63,0.7000000000000001,0.8,1667,0.7433679795549332,0.713257348530294,0.03011063102463918,sv_jump,0.23061451770886593
ewma_gaussian,63,0.8,0.9,604,0.8395000137404679,0.7864238410596026,0.053076172680865286,sv_jump,0.23061451770886593
ewma_gaussian,63,0.9,1.0,100,0.9370383923606311,0.73,0.20703839236063115,sv_jump,0.23061451770886593
ewma_gaussian,126,0.0,0.1,943,0.05619727785692324,0.16436903499469777,-0.10817175713777452,sv_jump,0.21766516609287345
ewma_gaussian,126,0.1,0.2,1568,0.1519362927845499,0.22959183673469388,-0.07765554395014398,sv_jump,0.21766516609287345
ewma_gaussian,126,0.2,0.30000000000000004,2094,0.2527035126658664,0.30802292263610315,-0.055319409970236766,sv_jump,0.21766516609287345
ewma_gaussian,126,0.30000000000000004,0.4,2552,0.3509866488292305,0.36442006269592475,-0.013433413866694277,sv_jump,0.21766516609287345
ewma_gaussian,126,0.4,0.5,2862,0.45011090902124634,0.46191474493361284,-0.0118038359123665,sv_jump,0.21766516609287345
ewma_gaussian,126,0.5,0.6000000000000001,2796,0.5500340379515747,0.5522174535050072,-0.0021834155534324884,sv_jump,0.21766516609287345
ewma_gaussian,126,0.6000000000000001,0.7000000000000001,2498,0.6485729418125634,0.6188951160928743,0.029677825719689133,sv_jump,0.21766516609287345
ewma_gaussian,126,0.7000000000000001,0.8,2154,0.7482248580788632,0.6717734447539462,0.076451413324917,sv_jump,0.21766516609287345
ewma_gaussian,126,0.8,0.9,1528,0.847202183084502,0.7827225130890052,0.06447966999549681,sv_jump,0.21766516609287345
ewma_gaussian,126,0.9,1.0,1005,0.945724340167699,0.8507462686567164,0.09497807151098259,sv_jump,0.21766516609287345
ewma_gaussian,252,0.0,0.1,2763,0.04296933130736383,0.13825551936301123,-0.0952861880556474,sv_jump,0.1936779680222572
ewma_gaussian,252,0.1,0.2,1979,0.14871885989262823,0.22334512379989893,-0.0746262639072707,sv_jump,0.1936779680222572
ewma_gaussian,252,0.2,0.30000000000000004,1833,0.2495635018518063,0.32951445717403166,-0.07995095532222535,sv_jump,0.1936779680222572
ewma_gaussian,252,0.30000000000000004,0.4,1754,0.34954101722471126,0.3945267958950969,-0.04498577867038567,sv_jump,0.1936779680222572
