detector,day,bin_low,bin_high,n,mean_predicted_q,observed_invalid_frac,gap,scenario
binary_gaussian,126,0.0,0.1,12,0.08741920958994835,0.08333333333333333,0.004085876256615023,gaussian
binary_gaussian,126,0.1,0.2,309,0.16356819410132928,0.1553398058252427,0.008228388276086573,gaussian
binary_gaussian,126,0.2,0.30000000000000004,945,0.25684273472042807,0.25396825396825395,0.0028744807521741134,gaussian
binary_gaussian,126,0.30000000000000004,0.4,1655,0.35352728051777815,0.36435045317220544,-0.010823172654427282,gaussian
binary_gaussian,126,0.4,0.5,2099,0.4502142232429026,0.4592663172939495,-0.0090520940510469,gaussian
binary_gaussian,126,0.5,0.6000000000000001,2117,0.5487185662081806,0.5446386395843175,0.004079926623863139,gaussian
binary_gaussian,126,0.6000000000000001,0.7000000000000001,1601,0.6473562238532732,0.6495940037476577,-0.0022377798943845617,gaussian
binary_gaussian,126,0.7000000000000001,0.8,977,0.744393093415976,0.7256908904810645,0.018702202934911538,gaussian
binary_gaussian,126,0.8,0.9,267,0.8352594444271605,0.8426966292134831,-0.007437184786322604,gaussian
binary_gaussian,126,0.9,1.0,18,0.9188142392312226,0.9444444444444444,-0.02563020521322179,gaussian
binary_gaussian,252,0.0,0.1,251,0.07150130753903212,0.07171314741035857,-0.00021183987132644688,gaussian
binary_gaussian,252,0.1,0.2,839,0.1540972843895934,0.15256257449344457,0.001534709896148817,gaussian
binary_gaussian,252,0.2,0.30000000000000004,1202,0.2513000756481727,0.2512479201331115,5.2155515061214075e-05,gaussian
binary_gaussian,252,0.30000000000000004,0.4,1330,0.34971279647981035,0.37142857142857144,-0.02171577494876109,gaussian
binary_gaussian,252,0.4,0.5,1401,0.4501213534025651,0.44325481798715205,0.006866535415413044,gaussian
binary_gaussian,252,0.5,0.6000000000000001,1399,0.5480117800954873,0.5532523230879199,-0.005240542992432595,gaussian
binary_gaussian,252,0.6000000000000001,0.7000000000000001,1367,0.6498965467126704,0.6517922457937089,-0.0018956990810384822,gaussian
binary_gaussian,252,0.7000000000000001,0.8,1215,0.7486226108979472,0.7432098765432099,0.005412734354737325,gaussian
binary_gaussian,252,0.8,0.9,780,0.8460992440234867,0.8564102564102564,-0.01031101238676968,gaussian
binary_gaussian,252,0.9,1.0,216,0.9265953459110996,0.9305555555555556,-0.003960209644455981,gaussian
binary_gaussian,504,0.0,0.1,1080,0.05703911470884937,0.05740740740740741,-0.00036829269855803703,gaussian
binary_gaussian,504,0.1,0.2,1107,0.14989491407478509,0.14092140921409213,0.008973504860692955,gaussian
binary_gaussian,504,0.2,0.30000000000000004,1014,0.25044211099410957,0.26627218934911245,-0.015830078355002886,gaussian
binary_gaussian,504,0.30000000000000004,0.4,941,0.35014928905435383,0.35494155154091395,-0.004792262486560117,gaussian
binary_gaussian,504,0.4,0.5,880,0.44963051076051047,0.46136363636363636,-0.011733125603125893,gaussian
binary_gaussian,504,0.5,0.6000000000000001,902,0.5496966698399066,0.573170731707317,-0.023474061867410412,gaussian
binary_gaussian,504,0.6000000000000001,0.7000000000000001,924,0.6496841461694844,0.6590909090909091,-0.009406762921424616,gaussian
binary_gaussian,504,0.7000000000000001,0.8,1007,0.7521661512511261,0.7239324726911619,0.02823367855996417,gaussian
binary_gaussian,504,0.8,0.9,1115,0.8519654466824611,0.842152466367713,0.009812980314748088,gaussian
binary_gaussian,504,0.9,1.0,1030,0.9437189694405185,0.9495145631067962,-0.0057955936662776875,gaussian
binary_student_t,126,0.0,0.1,64,0.08081737795359635,0.09375,-0.01293262204640365,gaussian
binary_student_t,126,0.1,0.2,535,0.1582965371771785,0.2,-0.0417034628228215,gaussian
binary_student_t,126,0.2,0.30000000000000004,1106,0.2531578602597296,0.31374321880650996,-0.06058535854678038,gaussian
binary_student_t,126,0.30000000000000004,0.4,1599,0.352202905540648,0.3921200750469043,-0.039917169506256345,gaussian
binary_student_t,126,0.4,0.5,1729,0.4489286790125307,0.45459803354540196,-0.0056693545328712625,gaussian
binary_student_t,126,0.5,0.6000000000000001,1718,0.5493249913648401,0.5389988358556461,0.010326155509194024,gaussian
binary_student_t,126,0.6000000000000001,0.7000000000000001,1565,0.6474835912363093,0.615335463258786,0.03214812797752331,gaussian
binary_student_t,126,0.7000000000000001,0.8,1098,0.7452571271330537,0.7067395264116576,0.038517600721396095,gaussian
binary_student_t,126,0.8,0.9,518,0.8391535631902102,0.7741312741312741,0.06502228905893603,gaussian
binary_student_t,126,0.9,1.0,68,0.9213841024728332,0.8970588235294118,0.024325278943421402,gaussian
binary_student_t,252,0.0,0.1,515,0.06634819277322558,0.10097087378640776,-0.03462268101318218,gaussian
binary_student_t,252,0.1,0.2,1026,0.15142049301906835,0.195906432748538,-0.044485939729469653,gaussian
binary_student_t,252,0.2,0.30000000000000004,1153,0.2528370874481766,0.3165654813529922,-0.06372839390481555,gaussian
binary_student_t,252,0.30000000000000004,0.4,1161,0.3506487236794002,0.3832902670111972,-0.03264154333179703,gaussian
binary_student_t,252,0.4,0.5,1201,0.45093636630692147,0.4579517069109076,-0.00701534060398612,gaussian
binary_student_t,252,0.5,0.6000000000000001,1195,0.5510091890352924,0.5464435146443515,0.00456567439094091,gaussian
binary_student_t,252,0.6000000000000001,0.7000000000000001,1148,0.648523841361292,0.6263066202090593,0.02221722115223279,gaussian
binary_student_t,252,0.7000000000000001,0.8,1142,0.7494768562241401,0.6926444833625219,0.05683237286161813,gaussian
binary_student_t,252,0.8,0.9,997,0.8463268367913243,0.8044132397191575,0.0419135970721668,gaussian
binary_student_t,252,0.9,1.0,462,0.9348789346793015,0.9134199134199135,0.021459021259388034,gaussian
binary_student_t,504,0.0,0.1,1477,0.04891979990035242,0.08192281651997292,-0.033003016619620504,gaussian
binary_student_t,504,0.1,0.2,1068,0.14738635333526837,0.19756554307116106,-0.05017918973589269,gaussian
binary_student_t,504,0.2,0.30000000000000004,921,0.24824412897855266,0.2964169381107492,-0.04817280913219654,gaussian
binary_student_t,504,0.30000000000000004,0.4,822,0.34883387015713513,0.39416058394160586,-0.04532671378447073,gaussian
binary_student_t,504,0.4,0.5,770,0.44958704677413935,0.4961038961038961,-0.04651684932975675,gaussian
binary_student_t,504,0.5,0.6000000000000001,760,0.5504508268206375,0.5631578947368421,-0.012707067916204573,gaussian
binary_student_t,504,0.6000000000000001,0.7000000000000001,763,0.6502641885436595,0.6369593709043251,0.013304817639334443,gaussian
binary_student_t,504,0.7000000000000001,0.8,860,0.7482980880394684,0.6848837209302325,0.06341436710923587,gaussian
binary_student_t,504,0.8,0.9,1120,0.851351016944228,0.7696428571428572,0.0817081598013708,gaussian
binary_student_t,504,0.9,1.0,1439,0.9504869732764494,0.9200833912439194,0.03040358203253002,gaussian
ewma_gaussian,126,0.0,0.1,30,0.07945691705024217,0.13333333333333333,-0.05387641628309116,gaussian
ewma_gaussian,126,0.1,0.2,426,0.16314988314532847,0.18309859154929578,-0.019948708403967313,gaussian
ewma_gaussian,126,0.2,0.30000000000000004,996,0.2567464392979156,0.28714859437751006,-0.030402155079594484,gaussian
ewma_gaussian,126,0.30000000000000004,0.4,1646,0.3523155225740648,0.37363304981774,-0.021317527243675194,gaussian
ewma_gaussian,126,0.4,0.5,1929,0.4504157676215284,0.45308449974079834,-0.0026687321192699343,gaussian
ewma_gaussian,126,0.5,0.6000000000000001,1932,0.5488426041270654,0.5636645962732919,-0.014821992146226481,gaussian
ewma_gaussian,126,0.6000000000000001,0.7000000000000001,1574,0.6480134497108939,0.6162642947903431,0.03174915492055086,gaussian
ewma_gaussian,126,0.7000000000000001,0.8,1060,0.7455862537231357,0.7141509433962264,0.03143531032690927,gaussian
ewma_gaussian,126,0.8,0.9,374,0.8385242459553328,0.7941176470588235,0.04440659889650933,gaussian
