scenario,far_target,kind,sharpe_valid,method_a,method_b,point,lo,hi,excludes_zero,n_reps,interval_type,resampling,note
gaussian_ctrl,0.15,gain_change_with_s,0.6-1,ewma_trunc_student_t,trailing_sharpe_252,0.0052999999999999,-0.0062025,0.016905,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s","pre-specified secondary: how the gain changes with s, paired"
gaussian_ctrl,0.15,far_diff,1.0,ewma_student_t,binary_student_t,0.0015000000000000013,-0.0045999999999999,0.006,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",companion false-alarm difference at the same budget
gaussian_ctrl,0.15,far_diff,1.0,ewma_trunc_student_t,ewma_student_t,-9.999999999998899e-05,-0.0007999999999999,0.0003999999999999,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",companion false-alarm difference at the same budget
gaussian_ctrl,0.15,far_diff,1.0,ewma_trunc_student_t,trailing_sharpe_252,-0.0010000000000000009,-0.0121999999999999,0.0098,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",companion false-alarm difference at the same budget
gaussian_ctrl,0.15,far_diff,0.6,ewma_student_t,binary_student_t,0.0011000000000000176,-0.0034025,0.0076999999999999,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",companion false-alarm difference at the same budget
gaussian_ctrl,0.15,far_diff,0.6,ewma_trunc_student_t,ewma_student_t,-0.00020000000000000573,-0.0004999999999999,0.0007,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",companion false-alarm difference at the same budget
gaussian_ctrl,0.15,far_diff,0.6,ewma_trunc_student_t,trailing_sharpe_252,-0.003500000000000003,-0.0123025,0.0081025,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",companion false-alarm difference at the same budget
sv_ctrl,0.05,detection_diff,1.0,ewma_student_t,binary_student_t,0.1149999999999999,0.0942974999999999,0.1354025,True,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",pre-specified
sv_ctrl,0.05,detection_diff,0.6,ewma_student_t,binary_student_t,0.0716,0.0518949999999999,0.0916999999999999,True,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",pre-specified
sv_ctrl,0.05,gain_change_with_s,0.6-1,ewma_student_t,binary_student_t,-0.0433999999999999,-0.0606074999999999,-0.0249975,True,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s","pre-specified secondary: how the gain changes with s, paired"
sv_ctrl,0.05,detection_diff,1.0,ewma_trunc_student_t,ewma_student_t,0.0009,-0.0026999999999999,0.0027999999999999,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",pre-specified
sv_ctrl,0.05,detection_diff,0.6,ewma_trunc_student_t,ewma_student_t,-0.0023,-0.0042999999999999,0.0025999999999999,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",pre-specified
sv_ctrl,0.05,gain_change_with_s,0.6-1,ewma_trunc_student_t,ewma_student_t,-0.0032,-0.0054999999999998,0.0034999999999999,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s","pre-specified secondary: how the gain changes with s, paired"
sv_ctrl,0.05,detection_diff,1.0,ewma_trunc_student_t,trailing_sharpe_252,0.2390999999999999,0.2162975,0.261605,True,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",pre-specified
sv_ctrl,0.05,detection_diff,0.6,ewma_trunc_student_t,trailing_sharpe_252,0.1216999999999999,0.1013999999999999,0.1467025,True,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",pre-specified
sv_ctrl,0.05,gain_change_with_s,0.6-1,ewma_trunc_student_t,trailing_sharpe_252,-0.1174,-0.133,-0.0991,True,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s","pre-specified secondary: how the gain changes with s, paired"
sv_ctrl,0.05,far_diff,1.0,ewma_student_t,binary_student_t,0.003599999999999999,-0.0028,0.0095999999999999,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",companion false-alarm difference at the same budget
sv_ctrl,0.05,far_diff,1.0,ewma_trunc_student_t,ewma_student_t,-9.999999999999593e-05,-0.0007999999999999,0.0005,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",companion false-alarm difference at the same budget
sv_ctrl,0.05,far_diff,1.0,ewma_trunc_student_t,trailing_sharpe_252,0.0016000000000000042,-0.0043999999999999,0.0087049999999999,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",companion false-alarm difference at the same budget
sv_ctrl,0.05,far_diff,0.6,ewma_student_t,binary_student_t,0.0025000000000000022,-0.0034,0.0089999999999999,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",companion false-alarm difference at the same budget
sv_ctrl,0.05,far_diff,0.6,ewma_trunc_student_t,ewma_student_t,-0.00030000000000000165,-0.0008999999999999,0.001,False,2000,per-comparison; delta/J does NOT cover these,"calibration + test, shared across methods and both s",companion false-alarm difference at the same budget
