far_target,n_calibration,n_test_valid,order_statistic_rank_j,beta_a,beta_b,p_fa_mean,p_fa_sd,p_fa_mean_minus_target,test_far_sd_total,test_far_sd_binomial_only,sd_ratio_total_over_binomial,p_fa_q05,test_far_q05,p_fa_q25,test_far_q25,p_fa_q50,test_far_q50,p_fa_q75,test_far_q75,p_fa_q95,test_far_q95
0.05,5000,5000,251,251,4750,0.05018996200759848,0.0030871303494891442,0.00018996200759847925,0.004366079896684539,0.0030822070014844883,1.4165433712212376,0.045216326743341514,0.0432,0.04807607233327532,0.0472,0.05013000661891156,0.0502,0.05223850625885975,0.053,0.05536811964089101,0.0576
0.15,5000,5000,751,751,4250,0.15016996600679863,0.005051097309461703,0.0001699660067986386,0.007143687477494269,0.005049752469181039,1.4146609207268375,0.14194183100700547,0.1386,0.14673767841520816,0.1454,0.15012332972116085,0.1502,0.1535514215173416,0.155,0.15855718651776826,0.162
