detector,true_state,horizon_label,day,years,n_paths,mean_q,median_q,q10,q90
binary_gaussian,valid,stage1.1 diagnostic,126,0.5,5000,0.441686892674344,0.4369464233823056,0.2350710029459542,0.6545192230005971
binary_gaussian,valid,stage1.1 diagnostic,252,1.0,5000,0.39441562283198633,0.3753602649975448,0.1401207161802248,0.6811380823603589
binary_gaussian,valid,stage1.1 diagnostic,504,2.0,5000,0.3223177299890103,0.264032439250069,0.05538375851347227,0.691225152431066
binary_gaussian,valid,stage1.1 diagnostic,1260,5.0,5000,0.18578680444590126,0.0704188912185682,0.00417591788169715,0.5995323586069963
binary_gaussian,valid,stage1.1 diagnostic,2520,10.0,5000,0.07932634437282728,0.006306177192560552,0.00011191065482490604,0.2629445326115089
binary_gaussian,invalid,stage1.1 diagnostic,126,0.5,5000,0.5555261501618115,0.5595724150054491,0.34112238227828473,0.7665250288690912
binary_gaussian,invalid,stage1.1 diagnostic,252,1.0,5000,0.6016887189111161,0.6218703552063958,0.3129032680997209,0.8592662047533541
binary_gaussian,invalid,stage1.1 diagnostic,504,2.0,5000,0.6771015027287923,0.7315326563742528,0.3132977583586627,0.9443694350952448
binary_gaussian,invalid,stage1.1 diagnostic,1260,5.0,5000,0.8162063512009221,0.9295448804262989,0.42499919278539766,0.9960310728339871
binary_gaussian,invalid,stage1.1 diagnostic,2520,10.0,5000,0.915962084907059,0.9941498979514084,0.7268607568257404,0.9999042621745295
binary_student_t,valid,stage1.1 diagnostic,126,0.5,5000,0.436362425849333,0.425706042330841,0.19814715674924313,0.6867399687015027
binary_student_t,valid,stage1.1 diagnostic,252,1.0,5000,0.3877653265955471,0.358567877914051,0.10641192698456503,0.720152564209412
binary_student_t,valid,stage1.1 diagnostic,504,2.0,5000,0.3184097026115328,0.2352203134907791,0.03517080540355347,0.7409298191140915
binary_student_t,valid,stage1.1 diagnostic,1260,5.0,5000,0.1866375000126649,0.05025474729341772,0.0016890425769380255,0.649448377079059
binary_student_t,valid,stage1.1 diagnostic,2520,10.0,5000,0.08328224076451272,0.003146896149092859,2.299448912252775e-05,0.27554420020849296
binary_student_t,invalid,stage1.1 diagnostic,126,0.5,5000,0.561522964711193,0.5684082880231807,0.3097266824957263,0.8046730439015517
binary_student_t,invalid,stage1.1 diagnostic,252,1.0,5000,0.6094867048040162,0.6393627558277519,0.2708291846660972,0.8969869111002556
binary_student_t,invalid,stage1.1 diagnostic,504,2.0,5000,0.6855755508399054,0.7655949895428069,0.2654244890814413,0.965731678125136
binary_student_t,invalid,stage1.1 diagnostic,1260,5.0,5000,0.8188772759734763,0.951290323416264,0.3770102796886562,0.9984747115362854
binary_student_t,invalid,stage1.1 diagnostic,2520,10.0,5000,0.9148930753208235,0.9970504185967843,0.7049387961960172,0.9999816645870342
