detector,detector_label,role,statistic,far_target,threshold,first_eligible_day,n_calibration_paths,calibration_far,n_test_valid_paths,n_test_invalid_paths,far_d126,far_d126_lo,far_d126_hi,detect_d126,detect_d126_lo,detect_d126_hi,far_d252,far_d252_lo,far_d252_hi,detect_d252,detect_d252_lo,detect_d252_hi,far_d504,far_d504_lo,far_d504_hi,detect_d504,detect_d504_lo,detect_d504_hi,undetected_at_H,undetected_at_H_lo,undetected_at_H_hi,trunc_mean_detect_days,trunc_mean_detect_days_se,trunc_mean_detect_years,trunc_mean_detect_years_se,median_detect_days,median_detect_note,trunc_mean_valid_days,trunc_mean_valid_days_se,scenario,arm
trailing_sharpe_252,Trailing 12m Sharpe,baseline,annualised trailing statistic,0.05,-1.438576544709392,252,5000,0.05,5000,5000,0.0,0.0,0.0007677019450571243,0.0,0.0,0.0007677019450571243,0.0088,0.006562037439973316,0.011792152950850806,0.0806,0.07337259170799372,0.0884713566835202,0.054,0.048070671178201296,0.06061411895678967,0.336,0.32303799930113547,0.3492138069368434,0.664,0.6507861930631568,0.6769620006988647,447.166,1.3123257402679085,1.774468253968254,0.005207641826459954,,not reached within the 504-day horizon,496.0504,0.5428742344732258,gaussian,recalibrated
known_vol_rolling_252,Rolling / fixed sigma_0,diagnostic control,annualised trailing statistic,0.05,-1.420223011560903,252,5000,0.05,5000,5000,0.0,0.0,0.0007677019450571243,0.0,0.0,0.0007677019450571243,0.009,0.00673322861097761,0.01202065469906849,0.0822,0.07490361133345794,0.0901378804118318,0.0562,0.05015038614349224,0.06293102610294048,0.3428,0.32976892533637225,0.3560724401551538,0.6572,0.6439275598448463,0.6702310746636279,446.0342,1.3216793156112654,1.7699769841269841,0.005244759188933593,,not reached within the 504-day horizon,495.8028,0.5501810995303783,gaussian,recalibrated
binary_gaussian,Binary Gaussian,baseline,posterior log-odds L_t,0.15,-1.2984365998142668,1,5000,0.15,5000,5000,0.0288,0.024513740513153515,0.03380974179986833,0.1156,0.10703088700143776,0.12475932225392217,0.0756,0.06859391472633179,0.08325771068463271,0.329,0.31611227755690946,0.34215027650830016,0.145,0.13551291721422795,0.15503215116676264,0.5946,0.5809236820350474,0.6081310687569479,0.4054,0.3918689312430522,0.4190763179649526,351.0704,2.226750648918394,1.393136507936508,0.008836312098882516,390,,467.9086,1.4147792086576088,gaussian,recalibrated
binary_student_t,Binary Student-t (nu=5),baseline,posterior log-odds L_t,0.15,-1.6238368485652042,1,5000,0.15,5000,5000,0.023,0.019196646091299507,0.027535741564284996,0.0984,0.09044976166527606,0.10696685653699382,0.0706,0.06382458792359247,0.07803471450682259,0.3072,0.2945648012797203,0.32013122459029375,0.1384,0.12910566190132883,0.14824954014533653,0.5718,0.5580346333127706,0.5854551246879192,0.4282,0.41454487531208095,0.4419653666872294,360.629,2.1814594071008897,1.4310674603174605,0.008656584948813054,418,,469.664,1.3581921358834306,gaussian,recalibrated
trailing_sharpe_252,Trailing 12m Sharpe,baseline,annualised trailing statistic,0.15,-0.9688823294377916,252,5000,0.15,5000,5000,0.0,0.0,0.0007677019450571243,0.0,0.0,0.0007677019450571243,0.0232,0.019378981328847723,0.02775309924595875,0.1698,0.15964745670019553,0.18045953366432027,0.1424,0.1329880010114472,0.15236105941965772,0.5508,0.5369789165425303,0.5645430849398518,0.4492,0.4354569150601481,0.4630210834574698,403.5756,1.5253945793310433,1.6014904761904762,0.0060531530925835055,455,,481.8564,0.8850563263138396,gaussian,recalibrated
known_vol_rolling_252,Rolling / fixed sigma_0,diagnostic control,annualised trailing statistic,0.15,-0.9557989356203487,252,5000,0.15,5000,5000,0.0,0.0,0.0007677019450571243,0.0,0.0,0.0007677019450571243,0.024,0.020109114739861697,0.02862173751183269,0.1712,0.16101243117754102,0.18189240962152856,0.147,0.13745589028312957,0.1570861072900808,0.5524,0.5385822842859859,0.5661372605501721,0.4476,0.4338627394498279,0.46141771571401424,402.9786,1.527605690038122,1.5991214285714284,0.00606192734142112,453,,481.1654,0.8970731054932589,gaussian,recalibrated
binary_gaussian,Binary Gaussian,baseline,posterior log-odds L_t,0.05,-1.9580427014642785,1,0,,5000,5000,0.0014,0.0006783326019524562,0.0028872197776585087,0.0138,0.010919427213083529,0.01742708615829002,0.015,0.011983909566843724,0.01876076131986169,0.1098,0.10143191847486699,0.11876719612305559,0.0528,0.04693748851677059,0.05934914410288852,0.3696,0.35632545389934517,0.3830747627679258,0.6304,0.6169252372320743,0.6436745461006549,435.4912,1.5754069334344005,1.7281396825396824,0.006251614815215875,,not reached within the 504-day horizon,494.4362,0.6656265902617868,jump,frozen_stage1
binary_student_t,Binary Student-t (nu=5),baseline,posterior log-odds L_t,0.05,-2.4118742355913088,1,0,,5000,5000,0.0008,0.00031114697610156274,0.00205532664584347,0.008,0.005880681725099649,0.010874736988836564,0.01,0.007593772813946567,0.013158575092209418,0.1008,0.09275913562040936,0.10945379761252427,0.038,0.03304526128739777,0.04366409530983501,0.3406,0.3275909432185432,0.3538538001615411,0.6594,0.6461461998384589,0.6724090567814568,442.3996,1.4992638801773623,1.7555539682539683,0.00594945984197366,,not reached within the 504-day horizon,497.0898,0.5608734465069632,jump,frozen_stage1
trailing_sharpe_252,Trailing 12m Sharpe,baseline,annualised trailing statistic,0.05,-1.4864721900694782,252,0,,5000,5000,0.0,0.0,0.0007677019450571243,0.0,0.0,0.0007677019450571243,0.0058,0.004041457970253664,0.008317338632240798,0.066,0.05944585882604755,0.07322050646226204,0.052,0.04618252452365877,0.058505336419112416,0.3196,0.3068171757054228,0.3326598111563539,0.6804,0.6673401888436461,0.6931828242945772,450.9124,1.2745319421584993,1.7893349206349205,0.005057666437136902,,not reached within the 504-day horizon,496.608,0.5162232893786364,jump,frozen_stage1
known_vol_rolling_252,Rolling / fixed sigma_0,diagnostic control,annualised trailing statistic,0.05,-1.4701193512564792,252,0,,5000,5000,0.0,0.0,0.0007677019450571243,0.0,0.0,0.0007677019450571243,0.0064,0.004537188108410646,0.009020687251749749,0.0688,0.06211009257017858,0.07615197358723869,0.0558,0.049772048527119625,0.06250997788086914,0.322,0.30918982541568213,0.33508347647675835,0.678,0.6649165235232417,0.690810174584318,450.4424,1.2799993344167104,1.7874698412698413,0.005079362438161549,,not reached within the 504-day horizon,496.0282,0.534333775339622,jump,frozen_stage1
