scenario,sharpe_valid,method,far_target,threshold_calibrated_over,threshold,far_at_own_H,detect_at_own_H,n_test_valid,note,far_extended_to_d63,detect_extended_to_d63,far_extended_to_d126,detect_extended_to_d126,far_extended_to_d252,detect_extended_to_d252,far_extended_to_d504,detect_extended_to_d504
gaussian_ctrl,0.6,binary_gaussian,0.05,252,-1.0496438385586173,0.0425,0.1286,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0001,0.0009,0.0061,0.0185,0.0425,0.1286,0.1149,0.3395
gaussian_ctrl,0.6,binary_gaussian,0.15,63,-0.39259028813202884,0.1354,0.2043,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.1354,0.2043,0.2608,0.401,0.3885,0.5945,0.4919,0.7533
gaussian_ctrl,0.6,binary_gaussian,0.15,126,-0.5362090859506637,0.1388,0.2483,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0468,0.0857,0.1388,0.2483,0.2517,0.4566,0.3659,0.654
gaussian_ctrl,0.6,binary_gaussian,0.15,252,-0.7281279189967593,0.1395,0.303,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0068,0.0207,0.0513,0.1161,0.1395,0.303,0.2458,0.5262
gaussian_ctrl,0.6,binary_student_t,0.05,63,-0.6699123731234733,0.0374,0.0748,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0374,0.0748,0.1282,0.2307,0.2455,0.4333,0.3632,0.6354
gaussian_ctrl,0.6,binary_student_t,0.05,126,-0.9270991262144765,0.0422,0.0929,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0051,0.0138,0.0422,0.0929,0.1252,0.2685,0.2313,0.4965
gaussian_ctrl,0.6,binary_student_t,0.05,252,-1.2783596092879694,0.0417,0.123,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0002,0.0006,0.0061,0.018,0.0417,0.123,0.1164,0.3253
gaussian_ctrl,0.6,binary_student_t,0.15,63,-0.47679333257248135,0.1336,0.2041,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.1336,0.2041,0.2634,0.3976,0.3947,0.5893,0.4993,0.7453
gaussian_ctrl,0.6,binary_student_t,0.15,126,-0.6554189473236076,0.1355,0.2412,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0423,0.0814,0.1355,0.2412,0.2559,0.4432,0.3733,0.6444
gaussian_ctrl,0.6,binary_student_t,0.15,252,-0.8945261380545353,0.1362,0.2881,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0067,0.0169,0.0488,0.1042,0.1362,0.2881,0.2434,0.5126
gaussian_ctrl,0.6,ewma_student_t,0.05,63,-0.6993481800729411,0.0389,0.0734,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0389,0.0734,0.1281,0.2276,0.2453,0.4361,0.3639,0.6333
gaussian_ctrl,0.6,ewma_student_t,0.05,126,-0.9618065007443284,0.0449,0.0915,10000,no two-year guarantee is inherited by extending a short-horizon threshold,0.0058,0.0133,0.0449,0.0915,0.126,0.2698,0.2345,0.4942
