scenario,sharpe_valid,far_target,method,cutoff_H,n_paired_paths,trunc_time_B,trunc_time_A,trunc_time_diff_days,lo,hi,excludes_zero,truncation_cap_days,interval_covers
gaussian_ctrl,0.6,0.05,binary_gaussian,63,10000,61.6724,63.0,-1.3276,-1.4373026896141814,-1.2178973103858184,True,63,"test sampling only, thresholds frozen"
gaussian_ctrl,0.6,0.05,binary_gaussian,126,10000,122.6503,125.9692,-3.3189,-3.563757642620768,-3.0740423573792324,True,126,"test sampling only, thresholds frozen"
gaussian_ctrl,0.6,0.05,binary_gaussian,252,10000,242.7098,250.4025,-7.6927,-8.184615608695276,-7.200784391304724,True,252,"test sampling only, thresholds frozen"
gaussian_ctrl,0.6,0.05,binary_gaussian,504,10000,477.2455,477.2455,0.0,0.0,0.0,False,504,"test sampling only, thresholds frozen"
gaussian_ctrl,0.6,0.05,binary_student_t,63,10000,61.8166,63.0,-1.1834,-1.2843239029515219,-1.0824760970484781,True,63,"test sampling only, thresholds frozen"
gaussian_ctrl,0.6,0.05,binary_student_t,126,10000,122.8678,125.9827,-3.1149,-3.3517748482068233,-2.8780251517931768,True,126,"test sampling only, thresholds frozen"
gaussian_ctrl,0.6,0.05,binary_student_t,252,10000,243.2811,250.4675,-7.1864,-7.657871493565844,-6.7149285064341555,True,252,"test sampling only, thresholds frozen"
gaussian_ctrl,0.6,0.05,binary_student_t,504,10000,477.4259,477.4259,0.0,0.0,0.0,False,504,"test sampling only, thresholds frozen"
gaussian_ctrl,0.6,0.05,ewma_student_t,63,10000,61.8644,63.0,-1.1356,-1.2330480308785923,-1.0381519691214076,True,63,"test sampling only, thresholds frozen"
gaussian_ctrl,0.6,0.05,ewma_student_t,126,10000,122.8688,125.9874,-3.1186,-3.355546229725846,-2.881653770274154,True,126,"test sampling only, thresholds frozen"
gaussian_ctrl,0.6,0.05,ewma_student_t,252,10000,243.855,250.6415,-6.7865,-7.24573483527864,-6.327265164721361,True,252,"test sampling only, thresholds frozen"
gaussian_ctrl,0.6,0.05,ewma_student_t,504,10000,479.7708,479.7708,0.0,0.0,0.0,False,504,"test sampling only, thresholds frozen"
gaussian_ctrl,0.6,0.05,ewma_trunc_student_t,63,10000,61.8643,63.0,-1.1357,-1.2331477802762327,-1.0382522197237671,True,63,"test sampling only, thresholds frozen"
gaussian_ctrl,0.6,0.05,ewma_trunc_student_t,126,10000,122.8714,125.9874,-3.116,-3.352891103833249,-2.879108896166751,True,126,"test sampling only, thresholds frozen"
gaussian_ctrl,0.6,0.05,ewma_trunc_student_t,252,10000,243.8487,250.6426,-6.7939,-7.2534236576783,-6.3343763423217,True,252,"test sampling only, thresholds frozen"
gaussian_ctrl,0.6,0.05,ewma_trunc_student_t,504,10000,479.7797,479.7797,0.0,0.0,0.0,False,504,"test sampling only, thresholds frozen"
gaussian_ctrl,0.6,0.15,binary_gaussian,63,10000,58.3247,62.9819,-4.6572,-4.873663169411111,-4.440736830588888,True,63,"test sampling only, thresholds frozen"
gaussian_ctrl,0.6,0.15,binary_gaussian,126,10000,114.0141,125.194,-11.1799,-11.64298003957814,-10.71681996042186,True,126,"test sampling only, thresholds frozen"
gaussian_ctrl,0.6,0.15,binary_gaussian,252,10000,220.9398,239.6635,-18.7237,-19.504089163638362,-17.94331083636164,True,252,"test sampling only, thresholds frozen"
gaussian_ctrl,0.6,0.15,binary_gaussian,504,10000,423.0107,423.0107,0.0,0.0,0.0,False,504,"test sampling only, thresholds frozen"
