scenario,sharpe_valid,method,true_state,day,n_paths,median_q,q10,q90,mean_q
gaussian_ctrl,1.0,binary_gaussian,valid,63,10000,0.4681251810447739,0.3160016068625453,0.6257355135460414,0.47008457918759705
gaussian_ctrl,1.0,binary_gaussian,valid,126,10000,0.43529884816160525,0.23825789892218055,0.6582219596819885,0.44260362997907615
gaussian_ctrl,1.0,binary_gaussian,valid,252,10000,0.3735208128034849,0.14240336442752277,0.6826995319864319,0.3947437665428657
gaussian_ctrl,1.0,binary_gaussian,valid,504,10000,0.2680669713302688,0.05608915173669672,0.6901068301873818,0.32250305432321086
gaussian_ctrl,1.0,binary_gaussian,invalid,63,10000,0.5320909369478191,0.3778967910727064,0.6840900190458565,0.5309913633133801
gaussian_ctrl,1.0,binary_gaussian,invalid,126,10000,0.5640161731029457,0.34373777935926764,0.761513371125337,0.5588258587502271
gaussian_ctrl,1.0,binary_gaussian,invalid,252,10000,0.6268523389506067,0.3160743604366,0.8555280267286478,0.604429645988051
gaussian_ctrl,1.0,binary_gaussian,invalid,504,10000,0.7340949741932411,0.3165862383700542,0.943587513126006,0.6778686936256824
gaussian_ctrl,1.0,binary_student_t,valid,63,10000,0.46380959070753314,0.28651866987363567,0.6506885099588646,0.46663582578782936
gaussian_ctrl,1.0,binary_student_t,valid,126,10000,0.4252598589597424,0.19999349476141956,0.6925786208250341,0.43696327180089445
gaussian_ctrl,1.0,binary_student_t,valid,252,10000,0.35526063534666813,0.10612516497905175,0.7249447006732862,0.38762049205550386
gaussian_ctrl,1.0,binary_student_t,valid,504,10000,0.24196081748307352,0.03292231452664773,0.7353480063837092,0.31632795594550867
gaussian_ctrl,1.0,binary_student_t,invalid,63,10000,0.5372644954523558,0.3503921229980857,0.7138997552383197,0.5344819077714378
gaussian_ctrl,1.0,binary_student_t,invalid,126,10000,0.5735687277358554,0.3156457248329296,0.7964612580711075,0.5641285795801985
gaussian_ctrl,1.0,binary_student_t,invalid,252,10000,0.6410421620512413,0.28010182383573967,0.8901355024026802,0.610969406590191
gaussian_ctrl,1.0,binary_student_t,invalid,504,10000,0.758092665637921,0.26805871734277664,0.9661882146523281,0.6846243341771724
gaussian_ctrl,1.0,ewma_gaussian,valid,63,10000,0.4657003333685991,0.30360498163143973,0.6362142489152673,0.46864054436037067
gaussian_ctrl,1.0,ewma_gaussian,valid,126,10000,0.4325899899446421,0.22305089648326257,0.6752327535876289,0.4402332710500346
gaussian_ctrl,1.0,ewma_gaussian,valid,252,10000,0.36569536040802253,0.12638646120912572,0.7002705090101099,0.392022672044506
gaussian_ctrl,1.0,ewma_gaussian,valid,504,10000,0.25416358917601967,0.04428534506095521,0.7112708358057025,0.3194701782038924
gaussian_ctrl,1.0,ewma_gaussian,invalid,63,10000,0.5329787433137396,0.3670899787688815,0.6954699026169777,0.5320828935354817
gaussian_ctrl,1.0,ewma_gaussian,invalid,126,10000,0.565788433176081,0.33106758154310717,0.7797411318575219,0.5610620417955775
gaussian_ctrl,1.0,ewma_gaussian,invalid,252,10000,0.6346798429125056,0.3001959530190144,0.8721152468154123,0.6079921483224022
gaussian_ctrl,1.0,ewma_gaussian,invalid,504,10000,0.7457384429306809,0.28803645444686726,0.9538670014748204,0.6807685902399159
gaussian_ctrl,1.0,ewma_student_t,valid,63,10000,0.46274590027242213,0.27996362272179404,0.6549841926984293,0.46587457960042683
gaussian_ctrl,1.0,ewma_student_t,valid,126,10000,0.42280976747706783,0.1917251894084959,0.7004400500362008,0.435951413647198
gaussian_ctrl,1.0,ewma_student_t,valid,252,10000,0.3514719778545974,0.09826408274258784,0.73559392730781,0.38688122070537495
gaussian_ctrl,1.0,ewma_student_t,valid,504,10000,0.23789201753177353,0.029834495649513522,0.7485259964785175,0.3160301488702042
gaussian_ctrl,1.0,ewma_student_t,invalid,63,10000,0.537791296792137,0.3450553746634085,0.7219998405143095,0.5347903520752356
gaussian_ctrl,1.0,ewma_student_t,invalid,126,10000,0.5746759979440852,0.3070507186831678,0.806699773315637,0.5650197734791944
gaussian_ctrl,1.0,ewma_student_t,invalid,252,10000,0.6451128715034051,0.26773734220491574,0.8981824095353466,0.6125053301586215
gaussian_ctrl,1.0,ewma_student_t,invalid,504,10000,0.7650354541695465,0.2557325698649256,0.9696039479817282,0.6850181113827027
gaussian_ctrl,1.0,ewma_trunc_gaussian,valid,63,10000,0.4656449914396219,0.3035847293545314,0.6362203457983693,0.4686306229107344
