scenario,sharpe_valid,method,true_state,level,n_paths,not_a_far_control,reached_by_d63,reached_by_d126,reached_by_d252,reached_by_d504
jump_ctrl,1.0,binary_student_t,valid,0.9,10000,True,0.0,0.002,0.0168,0.0549
jump_ctrl,1.0,binary_student_t,invalid,0.9,10000,True,0.0003,0.0174,0.1312,0.4033
jump_ctrl,1.0,ewma_gaussian,valid,0.9,10000,True,0.0,0.0019,0.0233,0.0662
jump_ctrl,1.0,ewma_gaussian,invalid,0.9,10000,True,0.0,0.0181,0.1361,0.4023
jump_ctrl,1.0,ewma_student_t,valid,0.9,10000,True,0.0004,0.006,0.0307,0.0792
jump_ctrl,1.0,ewma_student_t,invalid,0.9,10000,True,0.0017,0.0324,0.1817,0.4557
jump_ctrl,1.0,ewma_trunc_gaussian,valid,0.9,10000,True,0.0001,0.0031,0.0267,0.0717
jump_ctrl,1.0,ewma_trunc_gaussian,invalid,0.9,10000,True,0.0002,0.0215,0.1486,0.4187
jump_ctrl,1.0,ewma_trunc_student_t,valid,0.9,10000,True,0.0004,0.0063,0.0338,0.0844
jump_ctrl,1.0,ewma_trunc_student_t,invalid,0.9,10000,True,0.0018,0.035,0.1911,0.4715
jump_ctrl,0.6,binary_gaussian,valid,0.9,10000,True,0.0,0.0,0.0,0.0025
jump_ctrl,0.6,binary_gaussian,invalid,0.9,10000,True,0.0,0.0,0.0007,0.0231
jump_ctrl,0.6,binary_student_t,valid,0.9,10000,True,0.0,0.0,0.0005,0.0078
jump_ctrl,0.6,binary_student_t,invalid,0.9,10000,True,0.0,0.0,0.0034,0.0611
jump_ctrl,0.6,ewma_gaussian,valid,0.9,10000,True,0.0,0.0,0.0006,0.0113
jump_ctrl,0.6,ewma_gaussian,invalid,0.9,10000,True,0.0,0.0,0.0048,0.0691
jump_ctrl,0.6,ewma_student_t,valid,0.9,10000,True,0.0,0.0001,0.0018,0.017
jump_ctrl,0.6,ewma_student_t,invalid,0.9,10000,True,0.0,0.0001,0.0098,0.0969
jump_ctrl,0.6,ewma_trunc_gaussian,valid,0.9,10000,True,0.0,0.0,0.001,0.0134
jump_ctrl,0.6,ewma_trunc_gaussian,invalid,0.9,10000,True,0.0,0.0,0.0065,0.0761
jump_ctrl,0.6,ewma_trunc_student_t,valid,0.9,10000,True,0.0,0.0001,0.002,0.0186
jump_ctrl,0.6,ewma_trunc_student_t,invalid,0.9,10000,True,0.0,0.0001,0.0116,0.1047
sv_jump,1.0,binary_gaussian,valid,0.9,10000,True,0.001,0.0044,0.0142,0.0348
sv_jump,1.0,binary_gaussian,invalid,0.9,10000,True,0.0013,0.0104,0.0648,0.2778
sv_jump,1.0,binary_student_t,valid,0.9,10000,True,0.0,0.0014,0.0096,0.0279
sv_jump,1.0,binary_student_t,invalid,0.9,10000,True,0.0,0.0084,0.0999,0.3941
sv_jump,1.0,ewma_gaussian,valid,0.9,10000,True,0.0023,0.0221,0.0697,0.1341
sv_jump,1.0,ewma_gaussian,invalid,0.9,10000,True,0.0091,0.1143,0.338,0.6317
sv_jump,1.0,ewma_student_t,valid,0.9,10000,True,0.0005,0.0141,0.0454,0.0867
sv_jump,1.0,ewma_student_t,invalid,0.9,10000,True,0.0163,0.1288,0.3692,0.6754
sv_jump,1.0,ewma_trunc_gaussian,valid,0.9,10000,True,0.004,0.0282,0.0803,0.1457
sv_jump,1.0,ewma_trunc_gaussian,invalid,0.9,10000,True,0.0127,0.1301,0.3566,0.6541
sv_jump,1.0,ewma_trunc_student_t,valid,0.9,10000,True,0.0007,0.0159,0.0516,0.0927
sv_jump,1.0,ewma_trunc_student_t,invalid,0.9,10000,True,0.0171,0.1435,0.3961,0.7008
sv_jump,0.6,binary_gaussian,valid,0.9,10000,True,0.0,0.0002,0.0006,0.0054
sv_jump,0.6,binary_gaussian,invalid,0.9,10000,True,0.0001,0.0002,0.0037,0.0289
sv_jump,0.6,binary_student_t,valid,0.9,10000,True,0.0,0.0,0.0003,0.0031
sv_jump,0.6,binary_student_t,invalid,0.9,10000,True,0.0,0.0,0.0015,0.0422
sv_jump,0.6,ewma_gaussian,valid,0.9,10000,True,0.0003,0.0037,0.021,0.065
sv_jump,0.6,ewma_gaussian,invalid,0.9,10000,True,0.0004,0.0134,0.0839,0.2695
sv_jump,0.6,ewma_student_t,valid,0.9,10000,True,0.0,0.0012,0.0109,0.0358
sv_jump,0.6,ewma_student_t,invalid,0.9,10000,True,0.0003,0.0141,0.0781,0.2738
sv_jump,0.6,ewma_trunc_gaussian,valid,0.9,10000,True,0.0006,0.0054,0.0267,0.0772
sv_jump,0.6,ewma_trunc_gaussian,invalid,0.9,10000,True,0.0007,0.0189,0.0996,0.2956
sv_jump,0.6,ewma_trunc_student_t,valid,0.9,10000,True,0.0,0.0015,0.0124,0.0436
sv_jump,0.6,ewma_trunc_student_t,invalid,0.9,10000,True,0.0003,0.0175,0.0928,0.3042
sv_jump_big,1.0,binary_gaussian,valid,0.9,10000,True,0.0007,0.0036,0.0118,0.0355
sv_jump_big,1.0,binary_gaussian,invalid,0.9,10000,True,0.0012,0.0091,0.0674,0.2769
sv_jump_big,1.0,binary_student_t,valid,0.9,10000,True,0.0,0.0007,0.0063,0.0183
sv_jump_big,1.0,binary_student_t,invalid,0.9,10000,True,0.0002,0.0074,0.0971,0.3989
sv_jump_big,1.0,ewma_gaussian,valid,0.9,10000,True,0.012,0.0484,0.116,0.1986
sv_jump_big,1.0,ewma_gaussian,invalid,0.9,10000,True,0.0211,0.1696,0.4217,0.6917
sv_jump_big,1.0,ewma_student_t,valid,0.9,10000,True,0.0014,0.0164,0.0463,0.0853
sv_jump_big,1.0,ewma_student_t,invalid,0.9,10000,True,0.0227,0.1594,0.427,0.7282
sv_jump_big,1.0,ewma_trunc_gaussian,valid,0.9,10000,True,0.0156,0.0605,0.1323,0.216
sv_jump_big,1.0,ewma_trunc_gaussian,invalid,0.9,10000,True,0.027,0.1899,0.4558,0.7246
sv_jump_big,1.0,ewma_trunc_student_t,valid,0.9,10000,True,0.0016,0.0212,0.0567,0.0959
sv_jump_big,1.0,ewma_trunc_student_t,invalid,0.9,10000,True,0.0241,0.1912,0.4848,0.7705
sv_jump_big,0.6,binary_gaussian,valid,0.9,10000,True,0.0,0.0001,0.0007,0.0044
sv_jump_big,0.6,binary_gaussian,invalid,0.9,10000,True,0.0001,0.0001,0.0022,0.0265
sv_jump_big,0.6,binary_student_t,valid,0.9,10000,True,0.0,0.0,0.0001,0.0015
sv_jump_big,0.6,binary_student_t,invalid,0.9,10000,True,0.0,0.0,0.0006,0.0336
sv_jump_big,0.6,ewma_gaussian,valid,0.9,10000,True,0.0026,0.0161,0.0544,0.1253
sv_jump_big,0.6,ewma_gaussian,invalid,0.9,10000,True,0.0035,0.0354,0.1428,0.3645
sv_jump_big,0.6,ewma_student_t,valid,0.9,10000,True,0.0,0.0022,0.0126,0.0413
sv_jump_big,0.6,ewma_student_t,invalid,0.9,10000,True,0.0,0.0196,0.1081,0.3317
sv_jump_big,0.6,ewma_trunc_gaussian,valid,0.9,10000,True,0.0038,0.0244,0.0681,0.1458
sv_jump_big,0.6,ewma_trunc_gaussian,invalid,0.9,10000,True,0.0057,0.0491,0.1724,0.4061
sv_jump_big,0.6,ewma_trunc_student_t,valid,0.9,10000,True,0.0,0.0029,0.0186,0.0533
sv_jump_big,0.6,ewma_trunc_student_t,invalid,0.9,10000,True,0.0,0.0253,0.1379,0.3896
