scenario,method,true_state,day,n_paths,mean_q,median_q,q10,q90
gaussian_ctrl,binary_gaussian,valid,63,10000,0.4713075405949903,0.4693699080071045,0.316918900034743,0.6258422095702224
gaussian_ctrl,binary_gaussian,valid,126,10000,0.4466779427997661,0.4416398956086834,0.2415408325653243,0.6611659824286656
gaussian_ctrl,binary_gaussian,valid,252,10000,0.39915867591924126,0.37706279064975023,0.14443213847533592,0.6903361736428659
gaussian_ctrl,binary_gaussian,valid,504,10000,0.32954622639584075,0.2744032361298125,0.05618487478594168,0.6962032154655006
gaussian_ctrl,binary_gaussian,invalid,63,10000,0.5276505124099344,0.5297754419989351,0.3740074071477686,0.6808492691086339
gaussian_ctrl,binary_gaussian,invalid,126,10000,0.5541146570726613,0.5609026826065002,0.3416479310167376,0.7555241821002338
gaussian_ctrl,binary_gaussian,invalid,252,10000,0.5966898745935793,0.6156278765515555,0.30951767254232215,0.8505028307629824
gaussian_ctrl,binary_gaussian,invalid,504,10000,0.6699156707264557,0.7264958676813282,0.30505533070522034,0.9406449825167368
gaussian_ctrl,binary_student_t,valid,63,10000,0.4680739458790568,0.4639362317335951,0.28792548580187144,0.651097038392474
gaussian_ctrl,binary_student_t,valid,126,10000,0.4417840472823823,0.4338403680040259,0.20168384928563843,0.6926435615251654
gaussian_ctrl,binary_student_t,valid,252,10000,0.3919519969800949,0.3595580229121107,0.10918142170394077,0.7279825713455319
gaussian_ctrl,binary_student_t,valid,504,10000,0.321195488341627,0.24466206371306876,0.0359167943564162,0.7412825109464481
gaussian_ctrl,binary_student_t,invalid,63,10000,0.530921624058476,0.5348313530998201,0.34792032828591324,0.7089559158701222
gaussian_ctrl,binary_student_t,invalid,126,10000,0.5590337480857426,0.5691192475994425,0.30867495855618154,0.7929994638649179
gaussian_ctrl,binary_student_t,invalid,252,10000,0.6027841975890522,0.6295783726225841,0.26696329901229804,0.886908326018473
gaussian_ctrl,binary_student_t,invalid,504,10000,0.6760780738071464,0.7480228055322743,0.2553796265365724,0.9639229737992095
gaussian_ctrl,ewma_gaussian,valid,63,10000,0.4697299821298571,0.46630220574541104,0.303937970851024,0.6377602905232564
gaussian_ctrl,ewma_gaussian,valid,126,10000,0.44380951910281347,0.4362034713224201,0.22515026601807347,0.6756326378888126
gaussian_ctrl,ewma_gaussian,valid,252,10000,0.3949598458140465,0.36977435167022865,0.12860066867507045,0.7095951463250992
gaussian_ctrl,ewma_gaussian,valid,504,10000,0.325424196049561,0.2634007941449922,0.0458523802576162,0.7155508463387178
gaussian_ctrl,ewma_gaussian,invalid,63,10000,0.5289248134307079,0.5329814376295623,0.3606520659400475,0.6926182273626372
gaussian_ctrl,ewma_gaussian,invalid,126,10000,0.5568871583551022,0.5668211771449863,0.326519619504455,0.7738035363573644
gaussian_ctrl,ewma_gaussian,invalid,252,10000,0.599939363653146,0.6252855630077876,0.2933209983887706,0.8697796335497864
gaussian_ctrl,ewma_gaussian,invalid,504,10000,0.6729240048623513,0.7353009732302045,0.2821772833827973,0.9522828437599554
gaussian_ctrl,ewma_student_t,valid,63,10000,0.4674674656470964,0.46202749963456613,0.2810892003666453,0.6570682621555423
gaussian_ctrl,ewma_student_t,valid,126,10000,0.44055387234228527,0.4308560144522837,0.19584995616673445,0.7026138574290551
gaussian_ctrl,ewma_student_t,valid,252,10000,0.39061598013065785,0.3580876243440374,0.10215591649109886,0.7414505565028674
gaussian_ctrl,ewma_student_t,valid,504,10000,0.3205040729134188,0.23994674178517209,0.03249826898984273,0.7568825672439042
gaussian_ctrl,ewma_student_t,invalid,63,10000,0.5315752130272624,0.5352629574276263,0.339398428751827,0.7162038288369096
gaussian_ctrl,ewma_student_t,invalid,126,10000,0.5602542340866352,0.5711179999228224,0.299869584904159,0.8012005928514238
gaussian_ctrl,ewma_student_t,invalid,252,10000,0.6038197863727317,0.6347685776765557,0.2598822218491308,0.894640176614962
gaussian_ctrl,ewma_student_t,invalid,504,10000,0.6761822378393779,0.7511940829153886,0.24693915772040587,0.9682126619180527
gaussian_ctrl,ewma_trunc_gaussian,valid,63,10000,0.46971900502442476,0.4663166560022135,0.3039302892337086,0.6377602905232564
gaussian_ctrl,ewma_trunc_gaussian,valid,126,10000,0.44379262897384086,0.4361416334387702,0.22503516780842803,0.6756326378888126
gaussian_ctrl,ewma_trunc_gaussian,valid,252,10000,0.39494232823372194,0.36949069766622844,0.12859514910339975,0.7095951463250992
gaussian_ctrl,ewma_trunc_gaussian,valid,504,10000,0.32540206012848205,0.2633177423473359,0.04578674851769914,0.7155638696565549
gaussian_ctrl,ewma_trunc_gaussian,invalid,63,10000,0.528927130922386,0.5329814376295623,0.3606520659400475,0.6926182273626372
