scenario,far_target,contrast,method_a,method_b,n_reps,detect_diff,detect_diff_lo,detect_diff_hi,far_diff_lo,far_diff_hi,detect_excludes_zero,covers
sv_jump,0.05,pair,ewma_trunc_gaussian,ewma_gaussian,2000,-0.009000000000000008,-0.021600000000000008,0.003599999999999992,-0.003700000000000002,0.003799999999999998,False,calibration + test sampling
sv_jump,0.05,pair,ewma_trunc_student_t,ewma_trunc_gaussian,2000,0.18750000000000006,0.1637975,0.21190000000000003,-0.010700000000000001,0.004500000000000004,True,calibration + test sampling
sv_jump,0.05,interaction,ewma_trunc_student_t-ewma_student_t,ewma_trunc_gaussian-ewma_gaussian,2000,0.024700000000000055,0.011497499999999956,0.03940250000000003,-0.004299999999999998,0.004902499999999988,True,calibration + test sampling
sv_jump,0.15,pair,ewma_trunc_student_t,ewma_student_t,2000,0.00649999999999995,0.0013999999999999568,0.011900000000000022,-0.005402500000000016,0.00520000000000001,True,calibration + test sampling
sv_jump,0.15,pair,ewma_trunc_gaussian,ewma_gaussian,2000,0.010000000000000009,0.0026000000000000467,0.015900000000000025,-0.0012999999999999956,0.008099999999999996,True,calibration + test sampling
sv_jump,0.15,pair,ewma_trunc_student_t,ewma_trunc_gaussian,2000,0.11919999999999997,0.10630000000000006,0.13249999999999995,-0.016000000000000014,0.0063,True,calibration + test sampling
sv_jump,0.15,interaction,ewma_trunc_student_t-ewma_student_t,ewma_trunc_gaussian-ewma_gaussian,2000,-0.0035000000000000586,-0.01100000000000001,0.005600000000000049,-0.010602500000000025,0.0040000000000000036,False,calibration + test sampling
sv_jump_big,0.05,pair,ewma_trunc_student_t,ewma_student_t,2000,0.03320000000000001,0.01879750000000004,0.041100000000000025,-0.0038000000000000048,0.0040999999999999995,True,calibration + test sampling
sv_jump_big,0.05,pair,ewma_trunc_gaussian,ewma_gaussian,2000,-0.007399999999999962,-0.020500000000000018,0.010702499999999974,-0.003499999999999996,0.004400000000000001,False,calibration + test sampling
sv_jump_big,0.05,pair,ewma_trunc_student_t,ewma_trunc_gaussian,2000,0.351,0.31799499999999997,0.37600249999999996,-0.009899999999999999,0.007302499999999987,True,calibration + test sampling
sv_jump_big,0.05,interaction,ewma_trunc_student_t-ewma_student_t,ewma_trunc_gaussian-ewma_gaussian,2000,0.04059999999999997,0.016097500000000004,0.053607499999999995,-0.005699999999999997,0.004902499999999988,True,calibration + test sampling
sv_jump_big,0.15,pair,ewma_trunc_student_t,ewma_student_t,2000,0.012399999999999967,0.006500000000000061,0.01869999999999994,-0.006599999999999995,0.004399999999999987,True,calibration + test sampling
sv_jump_big,0.15,pair,ewma_trunc_gaussian,ewma_gaussian,2000,0.01100000000000001,0.0004975000000000536,0.01769999999999994,-0.0026025000000000184,0.0076025000000000086,True,calibration + test sampling
sv_jump_big,0.15,pair,ewma_trunc_student_t,ewma_trunc_gaussian,2000,0.22840000000000005,0.21209749999999997,0.246,-0.009200000000000014,0.013899999999999996,True,calibration + test sampling
sv_jump_big,0.15,interaction,ewma_trunc_student_t-ewma_student_t,ewma_trunc_gaussian-ewma_gaussian,2000,0.0013999999999999568,-0.006902500000000014,0.013202500000000084,-0.0107025,0.003302499999999997,False,calibration + test sampling
