scenario,method,far_target,n_test_valid,far_total,far_on_jump_day,far_within_window,far_elsewhere,window_days
sv_jump,ewma_student_t,0.15,10000,0.1353,0.0019,0.0117,0.1217,20
sv_jump,ewma_trunc_gaussian,0.05,10000,0.045,0.0183,0.0062,0.0205,20
sv_jump,ewma_trunc_gaussian,0.15,10000,0.1397,0.0464,0.0186,0.0747,20
sv_jump,ewma_trunc_student_t,0.05,10000,0.0414,0.0002,0.005,0.0362,20
sv_jump,ewma_trunc_student_t,0.15,10000,0.134,0.0014,0.0152,0.1174,20
sv_jump_big,binary_gaussian,0.05,10000,0.0382,0.0076,0.009,0.0216,20
sv_jump_big,binary_gaussian,0.15,10000,0.1334,0.0327,0.0258,0.0749,20
sv_jump_big,binary_student_t,0.05,10000,0.0369,0.0003,0.0055,0.0311,20
sv_jump_big,binary_student_t,0.15,10000,0.1311,0.0013,0.0175,0.1123,20
sv_jump_big,trailing_sharpe_252,0.05,10000,0.0442,0.0026,0.0081,0.0335,20
sv_jump_big,trailing_sharpe_252,0.15,10000,0.1403,0.012,0.024,0.1043,20
sv_jump_big,known_vol_rolling_252,0.05,10000,0.0436,0.0055,0.0079,0.0302,20
sv_jump_big,known_vol_rolling_252,0.15,10000,0.1409,0.0175,0.0254,0.098,20
sv_jump_big,ewma_gaussian,0.05,10000,0.0422,0.0299,0.0014,0.0109,20
sv_jump_big,ewma_gaussian,0.15,10000,0.1301,0.0744,0.0066,0.0491,20
sv_jump_big,ewma_student_t,0.05,10000,0.0409,0.0003,0.0024,0.0382,20
sv_jump_big,ewma_student_t,0.15,10000,0.1361,0.0006,0.008,0.1275,20
sv_jump_big,ewma_trunc_gaussian,0.05,10000,0.043,0.0288,0.0049,0.0093,20
sv_jump_big,ewma_trunc_gaussian,0.15,10000,0.1332,0.0756,0.013,0.0446,20
sv_jump_big,ewma_trunc_student_t,0.05,10000,0.0416,0.0004,0.0042,0.037,20
sv_jump_big,ewma_trunc_student_t,0.15,10000,0.1353,0.0006,0.0144,0.1203,20
