scenario,sharpe_valid,method,far_target,arm,cutoff_H,threshold_calibrated_over,threshold,working_prob_threshold,detect,detect_lo,detect_hi,far,far_lo,far_hi,expected_min_tau_H,expected_min_tau_H_se,undetected_at_H,median_first_alarm,median_note,truncation_cap_days,n_test_valid,n_test_invalid
gaussian_ctrl,0.6,binary_student_t,0.15,B,504,504,-1.2060058615975522,0.7695914694136325,0.3557,0.34637421376992733,0.3651366081598499,0.1365,0.12991050416292352,0.1433686626525584,428.4459,1.2294131010267857,0.6443,,not reached within 504d,504,10000,10000
gaussian_ctrl,0.6,ewma_student_t,0.15,B,504,504,-1.2681557083803576,0.7804268721382092,0.3478,0.33852529140756327,0.3571915976964706,0.137,0.13039995958322761,0.1438788232338836,430.7104,1.2115480502447291,0.6522,,not reached within 504d,504,10000,10000
gaussian_ctrl,0.6,ewma_trunc_student_t,0.15,B,504,504,-1.2681557083803576,0.7804268721382092,0.3484,0.3391213133843893,0.3577951149215997,0.137,0.13039995958322761,0.1438788232338836,430.6262,1.21197426355412,0.6516,,not reached within 504d,504,10000,10000
gaussian_ctrl,1.0,binary_gaussian,0.05,A,63,504,-2.0820612857231775,0.8891473655602092,0.0002,5.484892732085772e-05,0.0007289958440074673,0.0,0.0,0.00038399837067659573,62.9993,0.000499975997023617,0.9998,,not reached within 63d,63,10000,10000
gaussian_ctrl,1.0,binary_student_t,0.05,A,63,504,-2.526856588881281,0.9260032512226124,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573,63.0,0.0,1.0,,not reached within 63d,63,10000,10000
gaussian_ctrl,1.0,ewma_student_t,0.05,A,63,504,-2.686599084431972,0.9362312401458265,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573,63.0,0.0,1.0,,not reached within 63d,63,10000,10000
gaussian_ctrl,1.0,ewma_trunc_student_t,0.05,A,63,504,-2.686599084431972,0.9362312401458265,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573,63.0,0.0,1.0,,not reached within 63d,63,10000,10000
gaussian_ctrl,1.0,binary_gaussian,0.05,A,126,504,-2.0820612857231775,0.8891473655602092,0.0074,0.005899086359582839,0.009279228835207744,0.0011,0.0006143506542303221,0.0019688029200307855,125.8552,0.021625680636833157,0.9926,,not reached within 126d,126,10000,10000
gaussian_ctrl,1.0,binary_student_t,0.05,A,126,504,-2.526856588881281,0.9260032512226124,0.0066,0.005191478817931518,0.008387450774252148,0.0007,0.0003391263316879597,0.0014443344412696886,125.8666,0.01979847574850641,0.9934,,not reached within 126d,126,10000,10000
gaussian_ctrl,1.0,ewma_student_t,0.05,A,126,504,-2.686599084431972,0.9362312401458265,0.0051,0.003881311083561614,0.00669877050373408,0.0009,0.00047357706058500574,0.0017097301130243718,125.8989,0.01770308501142929,0.9949,,not reached within 126d,126,10000,10000
gaussian_ctrl,1.0,ewma_trunc_student_t,0.05,A,126,504,-2.686599084431972,0.9362312401458265,0.0051,0.003881311083561614,0.00669877050373408,0.0009,0.00047357706058500574,0.0017097301130243718,125.8989,0.01770308501142929,0.9949,,not reached within 126d,126,10000,10000
gaussian_ctrl,1.0,binary_gaussian,0.05,A,252,504,-2.0820612857231775,0.8891473655602092,0.0942,0.08862961792177163,0.1000820351558695,0.0098,0.008048716055211168,0.011927755947400165,246.3984,0.2146955452768319,0.9057999999999999,,not reached within 252d,252,10000,10000
gaussian_ctrl,1.0,binary_student_t,0.05,A,252,504,-2.526856588881281,0.9260032512226124,0.0883,0.08289589326583381,0.09402029099258129,0.0093,0.007598063501358217,0.011378792499623794,246.7563,0.20824516233459925,0.9117,,not reached within 252d,252,10000,10000
gaussian_ctrl,1.0,ewma_student_t,0.05,A,252,504,-2.686599084431972,0.9362312401458265,0.0782,0.07309825843498588,0.08362568259051689,0.0104,0.008591159114003776,0.012584852090562745,247.4516,0.19161925147999553,0.9218,,not reached within 252d,252,10000,10000
gaussian_ctrl,1.0,ewma_trunc_student_t,0.05,A,252,504,-2.686599084431972,0.9362312401458265,0.0783,0.07319514536363607,0.08372871886219256,0.0104,0.008591159114003776,0.012584852090562745,247.4499,0.19164316243782586,0.9217,,not reached within 252d,252,10000,10000
gaussian_ctrl,1.0,binary_gaussian,0.05,A,504,504,-2.0820612857231775,0.8891473655602092,0.3346,0.3254169722612255,0.3439100543997942,0.0395,0.03585582726190139,0.04349783523749174,444.4368,1.0410119169140744,0.6654,,not reached within 504d,504,10000,10000
gaussian_ctrl,1.0,binary_student_t,0.05,A,504,504,-2.526856588881281,0.9260032512226124,0.3165,0.3074559440392215,0.3256849833628167,0.0404,0.03671411143577194,0.04443885986655398,447.4699,1.0222783548048302,0.6835,,not reached within 504d,504,10000,10000
gaussian_ctrl,1.0,ewma_student_t,0.05,A,504,504,-2.686599084431972,0.9362312401458265,0.2982,0.28931267410254535,0.3072423076398597,0.0395,0.03585582726190139,0.04349783523749174,451.8804,0.980654249906554,0.7018,,not reached within 504d,504,10000,10000
gaussian_ctrl,1.0,ewma_trunc_student_t,0.05,A,504,504,-2.686599084431972,0.9362312401458265,0.2983,0.28941177190154505,0.3073431330411858,0.0395,0.03585582726190139,0.04349783523749174,451.8642,0.9807369679664543,0.7017,,not reached within 504d,504,10000,10000
gaussian_ctrl,1.0,binary_gaussian,0.05,B,63,63,-0.8693616317341702,0.7046128494813646,0.1121,0.10606486666730497,0.11843303926866594,0.043,0.03919645311021771,0.04715452140058068,61.0491,0.06800008323621387,0.8879,,not reached within 63d,63,10000,10000
gaussian_ctrl,1.0,binary_student_t,0.05,B,63,63,-1.070352110712225,0.7446638717813597,0.1013,0.09553854164064352,0.10736765866013401,0.0378,0.03423609837226937,0.04171886972158407,61.2922,0.06271933742896806,0.8987,,not reached within 63d,63,10000,10000
