eval_year,rule,branch,A,rho,loss,rv21_component,acf_abs_component
2020,rolling3y,sv_only,0.6,0.9,2.3915342256165406,2.2877786952517,2.4952897559813807
2020,rolling3y,sv_only,0.6,0.94,2.0551731007428033,2.064169751355462,2.046176450130145
2020,rolling3y,sv_only,0.6,0.96,1.8931478582344514,1.9084362940523125,1.8778594224165903
2020,rolling3y,sv_only,0.6,0.98,1.8433440223060957,1.8060000185191158,1.8806880260930758
2020,rolling3y,sv_only,0.6,0.99,2.086526919788588,1.8891648670308376,2.2838889725463387
2020,rolling3y,sv_only,0.8,0.9,1.4099952079021096,1.4069238997956084,1.413066516008611
2020,rolling3y,sv_only,0.8,0.94,1.0248909470072318,1.1436062593590612,0.9061756346554022
2020,rolling3y,sv_only,0.8,0.96,0.8544742884372285,0.9853427169172354,0.7236058599572217
2020,rolling3y,sv_only,0.8,0.98,0.8937653672527857,0.9176781411290863,0.869852593376485
2020,rolling3y,sv_only,0.8,0.99,1.1723523834188523,1.063013822649692,1.2816909441880129
2020,rolling3y,sv_only,1.0,0.9,0.7339940731074172,0.725850522117939,0.7421376240968953
2020,rolling3y,sv_only,1.0,0.94,0.42339329041115215,0.5533920946761384,0.293394486146166
2020,rolling3y,sv_only,1.0,0.96,0.347583075285675,0.4887159524973485,0.20645019807400145
2020,rolling3y,sv_only,1.0,0.98,0.5133907789503561,0.5336745439200025,0.4931070139807098
2020,rolling3y,sv_only,1.0,0.99,0.8124104452225531,0.6513198282857869,0.9735010621593194
2020,rolling3y,sv_only,1.2,0.9,0.4487994677566629,0.40127036327506677,0.496328572238259
2020,rolling3y,sv_only,1.2,0.94,0.30926547069774635,0.4665101870754702,0.15202075432002252
2020,rolling3y,sv_only,1.2,0.96,0.3808955353397995,0.5742501876047608,0.18754088307483816
2020,rolling3y,sv_only,1.2,0.98,0.7845639253315504,0.8326765906000878,0.7364512600630131
2020,rolling3y,sv_only,1.2,0.99,1.1427879736034794,1.049270286421397,1.236305660785562
2020,rolling3y,sv_only,1.4,0.9,0.5568231864274787,0.5858296076967849,0.5278167651581726
2020,rolling3y,sv_only,1.4,0.94,0.6920796398728204,1.0653304931979923,0.31882878654764857
2020,rolling3y,sv_only,1.4,0.96,0.9885756983512557,1.4689839045721722,0.5081674921303393
2020,rolling3y,sv_only,1.4,0.98,1.734188850880833,2.1207989852091487,1.3475787165525173
