eval_year,rule,branch,acf_abs_component_fixed_baseline,acf_abs_component_recalibrated,loss_fixed_baseline,loss_recalibrated,loss_mc_se_fixed_baseline,loss_mc_se_recalibrated,rv21_component_fixed_baseline,rv21_component_recalibrated,loss_difference,recalibration_helped,A,rho,window_start,window_end,window_n_returns,sigma_annual,on_grid_boundary
2020,expanding,sv_jump,7.3171578087844775,5.584578836244015,8.001766282802274,7.359951418134225,0.08504768712345351,0.07844546751352793,8.68637475682007,9.135324000024434,-0.6418148646680493,True,1.2,0.96,2017-01-01,2019-12-31,753,0.12800611779874022,False
2020,expanding,sv_only,5.41793872557819,4.052339022513278,6.641827792306381,6.068379308795063,0.08749511985192703,0.06221444526408682,7.865716859034571,8.084419595076847,-0.573448483511318,True,1.2,0.94,2017-01-01,2019-12-31,753,0.12800611779874022,False
2020,rolling3y,sv_jump,7.2219754444295985,5.6670623972417555,8.017073717817842,7.5124117637062735,0.08725512430674882,0.07779452864450881,8.812171991206085,9.357761130170791,-0.5046619541115689,True,1.2,0.96,2017-01-01,2019-12-31,753,0.12800611779874022,False
2020,rolling3y,sv_only,5.3617939626868765,3.9932649412239485,6.569534093054399,6.082437851793901,0.07815011010052557,0.06710454504215771,7.777274223421922,8.171610762363853,-0.487096241260498,True,1.2,0.94,2017-01-01,2019-12-31,753,0.12800611779874022,False
2021,expanding,sv_jump,1.1447867801175378,1.7635531046766146,1.0112646643827157,1.4370577532931321,0.025823626718947213,0.04018699956439392,0.8777425486478935,1.1105624019096494,0.42579308891041645,False,1.6,0.98,2017-01-01,2020-12-31,1006,0.20491959836521506,False
2021,expanding,sv_only,1.3505824136684876,2.6895336579147164,1.14125859389745,1.7674599314782125,0.031733520364892374,0.04981088082173699,0.9319347741264125,0.8453862050417084,0.6262013375807625,False,1.6,0.98,2017-01-01,2020-12-31,1006,0.20491959836521506,False
2021,rolling3y,sv_jump,1.1347417936835023,1.6985707182470413,1.4103467951354332,1.4543559841398412,0.026949453754942877,0.04235362329986296,1.6859517965873643,1.2101412500326412,0.04400918900440809,False,1.6,0.98,2018-01-01,2020-12-31,756,0.23331492211399943,False
2021,rolling3y,sv_only,1.3534482804241752,2.8638757340941625,1.5238855043987192,1.8793522963856377,0.03493104632160297,0.04478548036418394,1.694322728373263,0.8948288586771129,0.35546679198691855,False,1.6,0.98,2018-01-01,2020-12-31,756,0.23331492211399943,False
2022,expanding,sv_jump,1.4848228583876435,2.494576784766609,2.0836383459343883,4.029594692735867,0.043614358543975974,0.07812269007205794,2.682453833481133,5.564612600705126,1.9459563468014789,False,1.4,0.98,2017-01-01,2021-12-31,1258,0.1923686721294862,False
2022,expanding,sv_only,2.2827955171615884,4.368374597698326,2.4223345967759387,4.874050752027097,0.04355182824929254,0.0939599140232448,2.561873676390289,5.3797269063558675,2.4517161552511584,False,1.4,0.98,2017-01-01,2021-12-31,1258,0.1923686721294862,False
2022,rolling3y,sv_jump,1.5124879927089123,2.9493214874488514,1.5261070366711373,4.29358386317062,0.030911579272024883,0.09560680815739517,1.5397260806333624,5.637846238892389,2.767476826499483,False,1.6,0.98,2019-01-01,2021-12-31,757,0.2244403317858161,False
2022,rolling3y,sv_only,2.307189516293484,4.139815695719159,1.824580850795169,3.9577409117632865,0.03574738221100724,0.06311352924254021,1.3419721852968542,3.7756661278074137,2.1331600609681174,False,1.4,0.98,2019-01-01,2021-12-31,757,0.2244403317858161,False
2023,expanding,sv_jump,0.31728488994442594,0.7037179715225077,0.613701057365402,0.9728761233582552,0.020618811673132263,0.027312981692126776,0.9101172247863781,1.2420342751940028,0.3591750659928532,False,1.4,0.98,2017-01-01,2022-12-31,1509,0.20150379648559902,False
2023,expanding,sv_only,0.5807987500158,1.6090034495283259,0.6844693944627346,1.2188594326588689,0.021877068555923664,0.03770125979081234,0.7881400389096692,0.8287154157894117,0.5343900381961343,False,1.4,0.98,2017-01-01,2022-12-31,1509,0.20150379648559902,False
2023,rolling3y,sv_jump,0.29884040236052006,0.6843919715748678,1.3610441642346591,1.2566567156285737,0.030505221162488973,0.03249285007500408,2.423247926108798,1.8289214596822798,-0.1043874486060854,True,1.4,0.98,2020-01-01,2022-12-31,756,0.2545126126076897,False
2023,rolling3y,sv_only,0.5876751315957428,1.6127120872091982,1.375777881720743,1.565330481040327,0.03265855799367397,0.04032225589832718,2.163880631845743,1.5179488748714558,0.18955259931958413,False,1.4,0.98,2020-01-01,2022-12-31,756,0.2545126126076897,False
