eval_year,rule,branch,method,statistic,real,sim_median,sim_p2.5,sim_p97.5
2020,rolling3y,sv_jump,fixed_baseline,acf_ret_lag1,-0.3530845972629322,-0.0028850704375406214,-0.15760177662102173,0.14656859071973752
2020,rolling3y,sv_jump,fixed_baseline,acf_ret_lag5,0.15352132809560168,-0.004255615840902128,-0.1457652229882527,0.13714230379775214
2020,rolling3y,sv_jump,fixed_baseline,acf_sqret_lag1,0.5189618523614875,0.051085940997210144,-0.024527051245997338,0.3286068852269354
2020,rolling3y,sv_jump,fixed_baseline,acf_sqret_lag5,0.3070037455135595,0.04191844380438182,-0.03529316551777743,0.3042947661769593
2020,rolling3y,sv_jump,fixed_baseline,leadlag_ret_vs_future_sq_lag1,-0.09234598538757922,-0.0013196681457005122,-0.1532754039285512,0.1685942409221169
2020,rolling3y,sv_jump,fixed_baseline,leadlag_ret_vs_future_sq_lag5,-0.08216822923904046,0.00046668559407504604,-0.15597506568969727,0.15844703611229682
2020,rolling3y,sv_jump,fixed_baseline,concentration_max_exceed_63d,6.0,2.0,1.0,6.0
2020,expanding,sv_only,recalibrated,skewness,-0.5501807512353083,-0.00512738344647061,-1.5217153092124085,1.4839975589597494
2020,expanding,sv_only,recalibrated,excess_kurtosis,7.849403534837148,3.3625505901406725,0.8636084005470763,15.603403973310105
2020,expanding,sv_only,recalibrated,tail_below_m2_count,9.0,7.0,3.0,11.0
2020,expanding,sv_only,recalibrated,tail_above_p2_count,7.0,7.0,3.0,11.0
2020,expanding,sv_only,recalibrated,tail_below_m3_count,3.0,2.0,0.0,5.0
2020,expanding,sv_only,recalibrated,tail_above_p3_count,3.0,2.0,0.0,5.0
2020,expanding,sv_only,recalibrated,acf_ret_lag1,-0.3530845972629322,-0.006290757913862654,-0.19564686199293113,0.17236960887740516
2020,expanding,sv_only,recalibrated,acf_ret_lag5,0.15352132809560168,-0.00507041630467933,-0.16666035764671983,0.16111681609789913
2020,expanding,sv_only,recalibrated,acf_sqret_lag1,0.5189618523614875,0.18303941374650312,0.009327661023806508,0.4582912238177728
2020,expanding,sv_only,recalibrated,acf_sqret_lag5,0.3070037455135595,0.10841808697297728,-0.024162729084551225,0.36653369243146067
2020,expanding,sv_only,recalibrated,leadlag_ret_vs_future_sq_lag1,-0.09234598538757922,0.004155523680054836,-0.2136438584396744,0.21260957039443049
2020,expanding,sv_only,recalibrated,leadlag_ret_vs_future_sq_lag5,-0.08216822923904046,0.0005295320940039146,-0.18315470102043496,0.18778034430635762
2020,expanding,sv_only,recalibrated,concentration_max_exceed_63d,6.0,3.0,1.0,7.0
2020,expanding,sv_only,fixed_baseline,skewness,-0.5501807512353083,0.008200847656761007,-0.7769576086667384,0.7174636300611261
2020,expanding,sv_only,fixed_baseline,excess_kurtosis,7.849403534837148,1.4763520938908083,0.09601423569808352,6.285848590606373
2020,expanding,sv_only,fixed_baseline,tail_below_m2_count,9.0,7.0,3.0,11.0
2020,expanding,sv_only,fixed_baseline,tail_above_p2_count,7.0,7.0,3.0,11.0
2020,expanding,sv_only,fixed_baseline,tail_below_m3_count,3.0,1.0,0.0,4.0
2020,expanding,sv_only,fixed_baseline,tail_above_p3_count,3.0,1.0,0.0,4.0
2020,expanding,sv_only,fixed_baseline,acf_ret_lag1,-0.3530845972629322,-0.006884556226302043,-0.1526439858738608,0.15502626670024428
2020,expanding,sv_only,fixed_baseline,acf_ret_lag5,0.15352132809560168,-0.0032846178114540343,-0.16184078670577995,0.15142221705670153
2020,expanding,sv_only,fixed_baseline,acf_sqret_lag1,0.5189618523614875,0.13357300964432522,-0.021834372479821472,0.3955614395010869
2020,expanding,sv_only,fixed_baseline,acf_sqret_lag5,0.3070037455135595,0.10497128365562719,-0.03742020621110414,0.3549351669755522
2020,expanding,sv_only,fixed_baseline,leadlag_ret_vs_future_sq_lag1,-0.09234598538757922,0.0026185284305462186,-0.16765075751078584,0.17322487373544973
2020,expanding,sv_only,fixed_baseline,leadlag_ret_vs_future_sq_lag5,-0.08216822923904046,-0.004259415188335803,-0.16270804009362452,0.16346351064832645
2020,expanding,sv_only,fixed_baseline,concentration_max_exceed_63d,6.0,2.0,0.0,6.0
2020,expanding,sv_jump,recalibrated,skewness,-0.5501807512353083,-0.00019093291603838766,-4.234425409868338,3.826487921478771
2020,expanding,sv_jump,recalibrated,excess_kurtosis,7.849403534837148,6.0891455414969595,0.9801701646544282,54.07978136394727
2020,expanding,sv_jump,recalibrated,tail_below_m2_count,9.0,6.0,2.0,11.0
2020,expanding,sv_jump,recalibrated,tail_above_p2_count,7.0,6.0,2.0,11.0
2020,expanding,sv_jump,recalibrated,tail_below_m3_count,3.0,2.0,0.0,5.0
2020,expanding,sv_jump,recalibrated,tail_above_p3_count,3.0,2.0,0.0,5.0
2020,expanding,sv_jump,recalibrated,acf_ret_lag1,-0.3530845972629322,-0.003116861568905387,-0.1738635612888923,0.16111966084651444
2020,expanding,sv_jump,recalibrated,acf_ret_lag5,0.15352132809560168,-0.003419809269450605,-0.15369262359190078,0.15947910390116804
2020,expanding,sv_jump,recalibrated,acf_sqret_lag1,0.5189618523614875,0.08769328017661149,-0.015888935109389723,0.40686116368317676
2020,expanding,sv_jump,recalibrated,acf_sqret_lag5,0.3070037455135595,0.05162013446271352,-0.02555843345632328,0.332790121399767
2020,expanding,sv_jump,recalibrated,leadlag_ret_vs_future_sq_lag1,-0.09234598538757922,0.0012272648001463978,-0.17551117302708863,0.18707776836818504
2020,expanding,sv_jump,recalibrated,leadlag_ret_vs_future_sq_lag5,-0.08216822923904046,0.0007988358991894875,-0.16680757205792263,0.1654678379289792
2020,expanding,sv_jump,recalibrated,concentration_max_exceed_63d,6.0,3.0,1.0,6.024999999999864
2020,expanding,sv_jump,fixed_baseline,skewness,-0.5501807512353083,0.03537191607172336,-4.425505693819533,3.6238570939430788
2020,expanding,sv_jump,fixed_baseline,excess_kurtosis,7.849403534837148,4.268297618926826,0.37793056463900104,53.166501087607365
2020,expanding,sv_jump,fixed_baseline,tail_below_m2_count,9.0,6.0,1.0,10.024999999999864
2020,expanding,sv_jump,fixed_baseline,tail_above_p2_count,7.0,6.0,2.0,10.0
2020,expanding,sv_jump,fixed_baseline,tail_below_m3_count,3.0,1.0,0.0,4.0
2020,expanding,sv_jump,fixed_baseline,tail_above_p3_count,3.0,1.0,0.0,4.0
2020,expanding,sv_jump,fixed_baseline,acf_ret_lag1,-0.3530845972629322,-0.005518971481749903,-0.15474324378942364,0.14945243044065817
2020,expanding,sv_jump,fixed_baseline,acf_ret_lag5,0.15352132809560168,-0.0028550666723462514,-0.1476765697144905,0.14069087192100463
2020,expanding,sv_jump,fixed_baseline,acf_sqret_lag1,0.5189618523614875,0.05341482711386572,-0.027059691838269857,0.3581379987154408
2020,expanding,sv_jump,fixed_baseline,acf_sqret_lag5,0.3070037455135595,0.03525820040402146,-0.03802680623525349,0.3124375071263432
2020,expanding,sv_jump,fixed_baseline,leadlag_ret_vs_future_sq_lag1,-0.09234598538757922,0.0034058293581152362,-0.1510408102105263,0.16294354258926638
