eval_year,rule,branch,A,rho,loss,loss_mc_se,rv21_component,acf_abs_component,is_baseline
2020,rolling3y,sv_only,1.2,0.94,0.26789377409408677,0.0072052482686632375,0.3960310000676503,0.1397565481205232,False
2020,rolling3y,sv_only,1.0,0.96,0.344915605778744,0.007400890417867375,0.480688923704266,0.2091422878532221,False
2020,rolling3y,sv_only,1.2,0.96,0.3575660279107082,0.012784663022737402,0.5184880208544373,0.19664403496697905,False
2020,rolling3y,sv_only,1.0,0.98,0.44192345849694464,0.010657894736268424,0.4280064836197579,0.4558404333741314,True
2020,rolling3y,sv_jump,1.2,0.96,0.42274500485594674,0.013616266343734041,0.55861129669545,0.2868787130164435,False
2020,rolling3y,sv_jump,1.2,0.94,0.4368270230567878,0.013423277661911232,0.44524389170149076,0.42841015441208485,False
2020,rolling3y,sv_jump,1.0,0.96,0.5374416826791131,0.016829885111594653,0.365996123614905,0.7088872417433212,False
2020,rolling3y,sv_jump,1.0,0.98,0.617943353381092,0.015117093184495167,0.357221905530984,0.8786648012311999,True
2020,expanding,sv_only,1.2,0.94,0.2749864029025967,0.007057733475822532,0.4173528780897904,0.132619927715403,False
2020,expanding,sv_only,1.2,0.96,0.32484691873363797,0.009780375049343436,0.4642250634302454,0.18546877403703058,False
2020,expanding,sv_only,1.0,0.96,0.3311768607700916,0.008622067837677253,0.46390577183731896,0.19844794970286425,False
2020,expanding,sv_only,1.0,0.98,0.47275116641071396,0.010264798122814422,0.46635142284724385,0.4791509099741841,True
2020,expanding,sv_jump,1.2,0.96,0.41198097189130456,0.015918506299731332,0.5571211427060805,0.2668408010765287,False
2020,expanding,sv_jump,1.2,0.94,0.43851902346337424,0.011375239507101169,0.4779805353728473,0.39905751155390123,False
2020,expanding,sv_jump,1.0,0.96,0.5452689902228567,0.015840941309975133,0.3929313188620429,0.6976066615836704,False
2020,expanding,sv_jump,1.0,0.98,0.6407631904034545,0.01477893273799809,0.41641643515048304,0.8651099456564261,True
2021,rolling3y,sv_only,1.6,0.98,1.105818786815366,0.027198819925173943,0.9113168821160782,1.3003206915146535,False
