eval_year,rule,branch,A,rho,loss,rv21_component,acf_abs_component
2020,rolling3y,sv_only,0.6,0.9,2.3874107041849046,2.329814709816148,2.4450066985536614
2020,rolling3y,sv_only,0.6,0.94,2.041460670284307,2.0865525913978957,1.9963687491707183
2020,rolling3y,sv_only,0.6,0.96,1.868598439902125,1.9197001135001972,1.8174967663040527
2020,rolling3y,sv_only,0.6,0.98,1.8458746060219078,1.7945945974582764,1.8971546145855391
2020,rolling3y,sv_only,0.6,0.99,2.0268129698440336,1.8121148667665536,2.2415110729215133
2020,rolling3y,sv_only,0.8,0.9,1.3736745809810131,1.440597640788903,1.3067515211731233
2020,rolling3y,sv_only,0.8,0.94,0.9930519975438481,1.1571387908432016,0.8289652042444947
2020,rolling3y,sv_only,0.8,0.96,0.8223776643676315,0.9752280641787827,0.6695272645564804
2020,rolling3y,sv_only,0.8,0.98,0.8302806750324814,0.8448671156924982,0.8156942343724645
2020,rolling3y,sv_only,0.8,0.99,1.074028313772081,0.8779641046435899,1.2700925229005722
2020,rolling3y,sv_only,1.0,0.9,0.6960943380899973,0.7465913796219622,0.6455972965580326
2020,rolling3y,sv_only,1.0,0.94,0.3794886780750709,0.5268861367216672,0.23209121942847472
2020,rolling3y,sv_only,1.0,0.96,0.3026204928070201,0.425999167887323,0.1792418177267172
2020,rolling3y,sv_only,1.0,0.98,0.4319920405098473,0.378690292473933,0.48529378854576155
2020,rolling3y,sv_only,1.0,0.99,0.6768463359983565,0.39971097034264397,0.953981701654069
2020,rolling3y,sv_only,1.2,0.9,0.4062212044805342,0.40746923970154497,0.4049731692595234
2020,rolling3y,sv_only,1.2,0.94,0.2528012729909025,0.3680705783389706,0.1375319676428344
2020,rolling3y,sv_only,1.2,0.96,0.34735937901853436,0.45754431274758006,0.2371744452894887
2020,rolling3y,sv_only,1.2,0.98,0.655072630056664,0.5430020188683069,0.7671432412450213
2020,rolling3y,sv_only,1.2,0.99,0.9613715299427117,0.6052041224610378,1.3175389374243855
2020,rolling3y,sv_only,1.4,0.9,0.49969636340791407,0.552133907826465,0.44725881898936315
2020,rolling3y,sv_only,1.4,0.94,0.6260170884595804,0.8945643160542683,0.35746986086489235
2020,rolling3y,sv_only,1.4,0.96,0.9602472413960419,1.2857019616785734,0.6347925211135104
2020,rolling3y,sv_only,1.4,0.98,1.5525323147831371,1.651620469496125,1.453444160070149
2020,rolling3y,sv_only,1.4,0.99,1.915944957102945,1.7478061347014393,2.084083779504451
2020,rolling3y,sv_only,1.6,0.9,1.005354208129273,1.3735219535073677,0.6371864627511783
2020,rolling3y,sv_only,1.6,0.94,1.5264700167473204,2.3183701250066364,0.7345699084880045
2020,rolling3y,sv_only,1.6,0.96,2.174458511022256,3.188959826373893,1.1599571956706187
2020,rolling3y,sv_only,1.6,0.98,3.1318370943385636,3.975488319400004,2.2881858692771235
2020,rolling3y,sv_only,1.6,0.99,3.680217065291929,4.273740089326577,3.0866940412572808
2020,rolling3y,sv_only,1.8,0.9,2.0190174093544644,3.1473539845664007,0.8906808341425279
2020,rolling3y,sv_only,1.8,0.94,3.0173185939210247,4.936272757330825,1.0983644305112246
2020,rolling3y,sv_only,1.8,0.96,4.034986328051314,6.392782833638857,1.6771898224637707
2020,rolling3y,sv_only,1.8,0.98,5.509784353352454,7.907852450989527,3.111716255715381
2020,rolling3y,sv_only,1.8,0.99,6.236656041829579,8.33126043246772,4.142051651191437
2020,rolling3y,sv_only,2.0,0.9,3.577154016453007,6.066946047192772,1.0873619857132426
2020,rolling3y,sv_only,2.0,0.94,5.206131670390567,8.978121011676057,1.4341423291050774
2020,rolling3y,sv_only,2.0,0.96,6.705171294877679,11.245731896581724,2.1646106931736337
2020,rolling3y,sv_only,2.0,0.98,8.801242728257197,13.779717691352438,3.822767765161956
2020,rolling3y,sv_only,2.0,0.99,9.95263828015496,14.755804362935203,5.149472197374718
2020,rolling3y,sv_jump,0.6,0.9,2.5305682184524745,1.662015952085078,3.3991204848198713
2020,rolling3y,sv_jump,0.6,0.94,2.2638785715149115,1.507490444852318,3.020266698177505
2020,rolling3y,sv_jump,0.6,0.96,2.092043188735024,1.3693467583969967,2.814739619073051
2020,rolling3y,sv_jump,0.6,0.98,2.0927876389054485,1.2980115874169282,2.8875636903939688
2020,rolling3y,sv_jump,0.6,0.99,2.2633147368594355,1.300017442924126,3.2266120307947452
2020,rolling3y,sv_jump,0.8,0.9,1.6343098340794309,0.9659502941128384,2.3026693740460233
2020,rolling3y,sv_jump,0.8,0.94,1.27285964426903,0.7743993591080311,1.7713199294300288
2020,rolling3y,sv_jump,0.8,0.96,1.1415206215379627,0.6953639776224212,1.5876772654535045
2020,rolling3y,sv_jump,0.8,0.98,1.1618110611809755,0.6128104473133913,1.7108116750485596
2020,rolling3y,sv_jump,0.8,0.99,1.3987631457738632,0.6302181197459173,2.167308171801809
2020,rolling3y,sv_jump,1.0,0.9,0.9961983603006668,0.48848570398123775,1.5039110166200957
2020,rolling3y,sv_jump,1.0,0.94,0.6417040221395373,0.3680563384741466,0.915351705804928
2020,rolling3y,sv_jump,1.0,0.96,0.5558268181518323,0.3488165359391493,0.7628371003645154
2020,rolling3y,sv_jump,1.0,0.98,0.6374152021104145,0.3795866495629759,0.895243754657853
2020,rolling3y,sv_jump,1.0,0.99,0.9533879746777891,0.4442036192410785,1.4625723301144997
2020,rolling3y,sv_jump,1.2,0.9,0.6421830787634727,0.3239021134390829,0.9604640440878626
2020,rolling3y,sv_jump,1.2,0.94,0.4324276260811366,0.4395731082197543,0.42528214394251884
2020,rolling3y,sv_jump,1.2,0.96,0.413676224341755,0.5474580746911485,0.27989437399236144
2020,rolling3y,sv_jump,1.2,0.98,0.6268599404655495,0.7379519892690213,0.5157678916620776
2020,rolling3y,sv_jump,1.2,0.99,0.9522619545237138,0.8501788333163223,1.0543450757311053
2020,rolling3y,sv_jump,1.4,0.9,0.6713802899432071,0.6406175088284294,0.7021430710579847
