year,n_pairs,sum_of_products,share_of_total,share_of_absolute_contribution
2017,249,-0.0005756673725250613,0.012784251789244801,0.01752922251303653
2018,251,0.00011239013359785693,-0.002495927049399197,0.1438894687149858
2019,252,-0.0013666613679699444,0.0303504139241466,0.07263422558146249
2020,253,-0.04182078616451906,0.9287437257495454,0.6733878031549526
2021,252,-0.0013786897000166644,0.030617535586462484,0.09255928003556252
