series,lag_days,n_pairs,correlation
return,1,1257,-0.24396953335811852
return,5,1253,0.07865234975544884
return,10,1248,-0.07868045072246495
return,21,1237,0.06479069799423913
return,63,1195,0.06187167625917288
centred_abs_return,1,1257,0.5007227427362632
centred_abs_return,5,1253,0.4146461452146088
centred_abs_return,10,1248,0.36595904625641834
centred_abs_return,21,1237,0.15840447240997158
centred_abs_return,63,1195,0.03997469633705009
centred_squared_return,1,1257,0.5332894519731964
centred_squared_return,5,1253,0.33648374197445385
centred_squared_return,10,1248,0.25860000769071284
centred_squared_return,21,1237,0.04858286728322988
centred_squared_return,63,1195,0.037394822586824354
