object,model,period,group,statistics,inside,coverage,w1_to_market,w1_reference,w1_ratio
nasdaq100,sv_jump,describe,return vs future variance,3,3.0,1.0,,,
nasdaq100,sv_jump,describe,W1 / sim-sim reference,1,,,0.0954957508099865,0.0698713135872302,1.3667375909680832
nikkei225,gaussian,contrast,volatility range,3,2.0,0.6666666666666666,,,
nikkei225,gaussian,contrast,tails (counts),6,6.0,1.0,,,
nikkei225,gaussian,contrast,persistence,5,5.0,1.0,,,
nikkei225,gaussian,contrast,concentration,1,1.0,1.0,,,
nikkei225,gaussian,contrast,return vs future variance,3,3.0,1.0,,,
nikkei225,gaussian,contrast,W1 / sim-sim reference,1,,,0.0640577650595502,0.0502879328445375,1.2738198099647764
nikkei225,gaussian,describe,volatility range,3,0.0,0.0,,,
nikkei225,gaussian,describe,tails (counts),6,2.0,0.3333333333333333,,,
nikkei225,gaussian,describe,persistence,5,1.0,0.2,,,
nikkei225,gaussian,describe,concentration,1,0.0,0.0,,,
nikkei225,gaussian,describe,return vs future variance,3,3.0,1.0,,,
nikkei225,gaussian,describe,W1 / sim-sim reference,1,,,0.1505836838537159,0.0329884223748078,4.564743416426966
nikkei225,stoch_vol,contrast,volatility range,3,3.0,1.0,,,
nikkei225,stoch_vol,contrast,tails (counts),6,6.0,1.0,,,
nikkei225,stoch_vol,contrast,persistence,5,3.0,0.6,,,
nikkei225,stoch_vol,contrast,concentration,1,1.0,1.0,,,
nikkei225,stoch_vol,contrast,return vs future variance,3,3.0,1.0,,,
nikkei225,stoch_vol,contrast,W1 / sim-sim reference,1,,,0.1014411236584643,0.0778060687273959,1.3037687845902743
nikkei225,stoch_vol,describe,volatility range,3,3.0,1.0,,,
nikkei225,stoch_vol,describe,tails (counts),6,6.0,1.0,,,
nikkei225,stoch_vol,describe,persistence,5,5.0,1.0,,,
nikkei225,stoch_vol,describe,concentration,1,1.0,1.0,,,
nikkei225,stoch_vol,describe,return vs future variance,3,3.0,1.0,,,
nikkei225,stoch_vol,describe,W1 / sim-sim reference,1,,,0.0550967699281262,0.0545388182202709,1.0102303593305202
nikkei225,sv_jump,contrast,volatility range,3,3.0,1.0,,,
nikkei225,sv_jump,contrast,tails (counts),6,5.0,0.8333333333333334,,,
nikkei225,sv_jump,contrast,persistence,5,4.0,0.8,,,
nikkei225,sv_jump,contrast,concentration,1,1.0,1.0,,,
nikkei225,sv_jump,contrast,return vs future variance,3,3.0,1.0,,,
nikkei225,sv_jump,contrast,W1 / sim-sim reference,1,,,0.150904470225741,0.0994439198809168,1.517483124221649
nikkei225,sv_jump,describe,volatility range,3,3.0,1.0,,,
