scenario,parameter,truth,n,mean_error,mean_error_mc_se,median_error,rmse,empirical_p2.5,empirical_p97.5
A1.0_rho0.98,A,1.0,20,-0.04999999999999999,0.0380442955126341,0.0,0.1732050807568877,0.6950000000000001,1.3049999999999997
A1.0_rho0.98,rho,0.98,20,-0.012500000000000011,0.003469794472906219,-0.010000000000000009,0.0196214168703486,0.94,0.98525
A1.0_rho0.98,sigma_annual,0.192,20,-0.011678827623066605,0.0057288514358731476,-0.007796060184938405,0.027567554323173364,0.13535852220682346,0.2191305120633396
A1.0_rho0.98,grid_boundary_selection_rate,,20,0.1,,,,,
A1.4_rho0.96,A,1.4,20,-0.03999999999999996,0.031119464208619968,0.0,0.14142135623730953,1.2,1.6
A1.4_rho0.96,rho,0.96,20,-0.0040000000000000036,0.0034335803011158114,0.0,0.015491933384829683,0.94,0.98
A1.4_rho0.96,sigma_annual,0.192,20,-0.008082909079602033,0.0059510487232125745,-0.0071164120409903525,0.02717016850157657,0.14395500022609364,0.2193840950134274
A1.4_rho0.96,grid_boundary_selection_rate,,20,0.0,,,,,
