period,n_days,level_units,level_p10,level_median,level_p90,level_max,daily_change_units,daily_change_sd,daily_change_p01,daily_change_p99,daily_relative_change_sd,relative_change_note
describe,1259,"percent, annualised implied volatility; 20 means ~20% annualised, NOT a 20% return",10.716000000000001,16.28,27.95,82.69,"VIX POINTS per day, a change in an annualised volatility, not a return on anything",2.201174330325873,-5.540300000000002,6.992900000000003,0.09301985125332748,a percentage change in VIX is NOT an equity return and is never treated as one
contrast,513,"percent, annualised implied volatility; 20 means ~20% annualised, NOT a 20% return",13.708,20.58,29.916,36.45,"VIX POINTS per day, a change in an annualised volatility, not a return on anything",1.410608716715085,-2.8999999999999986,4.550099999999998,0.061748816786022044,a percentage change in VIX is NOT an equity return and is never treated as one
