A,rho,loss,loss_mc_se,is_baseline,scenario,replicate
1.0,0.98,0.17067727149144743,0.008140494799082259,True,A1.0_rho0.98,0
1.0,0.99,0.29275780686945674,0.011767463795808817,False,A1.0_rho0.98,0
1.0,0.96,0.35260265954630954,0.009330503988639216,False,A1.0_rho0.98,0
1.0,0.94,0.0898247020272876,0.003993352300463945,False,A1.0_rho0.98,1
1.0,0.9,0.14598347538901202,0.004841913680770795,False,A1.0_rho0.98,1
1.0,0.96,0.2633025887061936,0.010507589875120594,False,A1.0_rho0.98,1
1.0,0.98,0.7472204932586777,0.024298250281413823,True,A1.0_rho0.98,1
1.0,0.98,0.2500595360528269,0.007908522054107598,True,A1.0_rho0.98,2
1.0,0.96,0.30555311558683534,0.009273994446056963,False,A1.0_rho0.98,2
1.0,0.99,0.4227490805289212,0.016135290216139783,False,A1.0_rho0.98,2
0.8,0.94,0.16340912410011654,0.004520834551817804,False,A1.0_rho0.98,3
0.8,0.9,0.1988555433239011,0.004251994929013272,False,A1.0_rho0.98,3
0.8,0.96,0.2705201002146608,0.007671799672650091,False,A1.0_rho0.98,3
1.0,0.98,1.7144267683038423,0.03846379030526021,True,A1.0_rho0.98,3
0.8,0.96,0.2704473054015046,0.008242645741548647,False,A1.0_rho0.98,4
0.8,0.98,0.3743450907265032,0.009558573703177635,False,A1.0_rho0.98,4
0.8,0.94,0.40458049962460685,0.00853842818282032,False,A1.0_rho0.98,4
1.0,0.98,0.9217851595900943,0.02573728526784013,True,A1.0_rho0.98,4
0.6,0.96,0.06082864151063536,0.002540772118225063,False,A1.0_rho0.98,5
0.6,0.94,0.10312056679890909,0.003735641219963029,False,A1.0_rho0.98,5
0.6,0.98,0.10664913403358754,0.004132936419946275,False,A1.0_rho0.98,5
1.0,0.98,2.2153970680985977,0.04321560816412166,True,A1.0_rho0.98,5
0.8,0.96,0.17636860059044362,0.004599377788934128,False,A1.0_rho0.98,6
0.8,0.94,0.1870177906561508,0.004678110873476605,False,A1.0_rho0.98,6
1.0,0.9,0.2658933810514984,0.005742942389173887,False,A1.0_rho0.98,6
1.0,0.98,1.0460161329786342,0.031962126747900686,True,A1.0_rho0.98,6
1.0,0.96,0.19191774942254786,0.007366556294350586,False,A1.0_rho0.98,7
1.0,0.98,0.19849819495695217,0.0090866013389867,True,A1.0_rho0.98,7
1.0,0.94,0.3651860102149814,0.01010291364593871,False,A1.0_rho0.98,7
1.0,0.94,0.2476892803149513,0.006548021229482975,False,A1.0_rho0.98,8
1.0,0.9,0.30965090002693896,0.0066683627156253365,False,A1.0_rho0.98,8
0.8,0.96,0.430400763449752,0.009456513857406987,False,A1.0_rho0.98,8
1.0,0.98,1.055595753990183,0.026418282012207035,True,A1.0_rho0.98,8
1.0,0.96,0.15153390506900888,0.007116277193614698,False,A1.0_rho0.98,9
