config,role,p_still_high_median,p_still_high_p2.5,p_still_high_p97.5,state_frequency_median,n_high_days_median
sv_only A=1.4 rho=0.98,screened finalist,0.8763066202090593,0.7540983606557377,0.940003745318352,0.2689822294022617,332.5
sv_only A=1.6 rho=0.98,screened finalist,0.8753427813408046,0.7456057596822244,0.9387770704612121,0.23747980613893377,293.0
sv_only A=1.4 rho=0.99,screened finalist,0.8880597014925373,0.6901611694152924,0.9618503066251131,0.25807754442649433,318.5
sv_only A=1.0 rho=0.98,stage-2 baseline,0.8775702371344019,0.7618629908103592,0.9351162108406518,0.34975767366720517,430.5
sv_jump A=1.4 rho=0.98,screened finalist,0.8561235916926836,0.7404936708860759,0.9243859580743022,0.2867528271405493,354.0
sv_jump A=1.6 rho=0.98,screened finalist,0.8537215668382976,0.743574297188755,0.9242487024945588,0.2560581583198708,316.0
sv_jump A=1.6 rho=0.96,screened finalist,0.8358397406904869,0.7509948979591837,0.8956256881612332,0.2681744749596123,331.0
sv_jump A=1.0 rho=0.98,stage-2 baseline,0.8561397457376565,0.7511707375051999,0.9211539938556067,0.3344103392568659,412.5
S&P 500 training,market,0.8664495114006515,,,0.25040387722132473,307.0
