scenario,replicate,version,A,rho,sigma_used,true_A,true_rho,sigma_true,sigma_hat,sigma_hat_error,eval_loss,eval_rv21_component,eval_acf_component,eval_loss_mc_se,energy_score,selected_A,selected_rho,training_loss,training_loss_mc_se,n_within_one_mc_se,on_grid_boundary,true_screen_rank,true_would_be_finalist,selected_is_true,gap_rv21_q10,real_rv21_q10,gap_rv21_q50,real_rv21_q50,gap_rv21_q90,real_rv21_q90,gap_acf_absret_lag1,real_acf_absret_lag1,gap_acf_absret_lag5,real_acf_absret_lag5,gap_acf_absret_lag10,real_acf_absret_lag10,gap_acf_absret_lag21,real_acf_absret_lag21,gap_acf_absret_lag63,real_acf_absret_lag63,heldout_tail_below_m3_count_sim_median,heldout_tail_below_m3_count_real,heldout_tail_below_m3_count_inside,heldout_tail_above_p3_count_sim_median,heldout_tail_above_p3_count_real,heldout_tail_above_p3_count_inside,heldout_acf_sqret_lag1_sim_median,heldout_acf_sqret_lag1_real,heldout_acf_sqret_lag1_inside,heldout_acf_sqret_lag5_sim_median,heldout_acf_sqret_lag5_real,heldout_acf_sqret_lag5_inside,heldout_acf_sqret_lag21_sim_median,heldout_acf_sqret_lag21_real,heldout_acf_sqret_lag21_inside
A1.0_rho0.98,0,fixed_baseline,1.0,0.98,0.1838949699011025,1.0,0.98,0.192,0.1838949699011025,-0.008105030098897514,0.5309013407385744,0.6194400887972429,0.442362592679906,0.021482428172662986,1.4232745547729957,1.0,0.98,0.17067727149144743,0.008140494799082259,1,False,1,True,True,-0.01577772993666171,0.09361044809007538,-0.01815024330389317,0.1618027566154077,-0.014084118441376858,0.28045718430253275,0.021074763787389983,0.2233353870312964,0.059416491785626524,0.16137808054386302,0.01271369381887208,0.18192197385043826,0.023767774517944082,0.11919953285662398,0.05417927895531564,-0.010296013313101782,9.0,7.0,True,9.0,11.0,True,0.1946240852321908,0.15855299800775435,True,0.16944308718512877,0.11968495168810493,True,0.09627907410865401,0.08040004172717077,True
A1.0_rho0.98,0,selected,1.0,0.98,0.1838949699011025,1.0,0.98,0.192,0.1838949699011025,-0.008105030098897514,0.5309013407385744,0.6194400887972429,0.442362592679906,0.021482428172662986,1.4232745547729957,1.0,0.98,0.17067727149144743,0.008140494799082259,1,False,1,True,True,-0.01577772993666171,0.09361044809007538,-0.01815024330389317,0.1618027566154077,-0.014084118441376858,0.28045718430253275,0.021074763787389983,0.2233353870312964,0.059416491785626524,0.16137808054386302,0.01271369381887208,0.18192197385043826,0.023767774517944082,0.11919953285662398,0.05417927895531564,-0.010296013313101782,9.0,7.0,True,9.0,11.0,True,0.1946240852321908,0.15855299800775435,True,0.16944308718512877,0.11968495168810493,True,0.09627907410865401,0.08040004172717077,True
A1.0_rho0.98,0,true_shape,1.0,0.98,0.1838949699011025,1.0,0.98,0.192,0.1838949699011025,-0.008105030098897514,0.5309013407385744,0.6194400887972429,0.442362592679906,0.021482428172662986,1.4232745547729957,1.0,0.98,0.17067727149144743,0.008140494799082259,1,False,1,True,True,-0.01577772993666171,0.09361044809007538,-0.01815024330389317,0.1618027566154077,-0.014084118441376858,0.28045718430253275,0.021074763787389983,0.2233353870312964,0.059416491785626524,0.16137808054386302,0.01271369381887208,0.18192197385043826,0.023767774517944082,0.11919953285662398,0.05417927895531564,-0.010296013313101782,9.0,7.0,True,9.0,11.0,True,0.1946240852321908,0.15855299800775435,True,0.16944308718512877,0.11968495168810493,True,0.09627907410865401,0.08040004172717077,True
A1.0_rho0.98,0,true_everything,1.0,0.98,0.192,1.0,0.98,0.192,0.1838949699011025,-0.008105030098897514,0.3751998507429324,0.30803710880595864,0.4423625926799062,0.017571656552172698,1.28629456862626,1.0,0.98,0.17067727149144743,0.008140494799082259,1,False,1,True,True,-0.012347312434477259,0.09361044809007538,-0.01181886868936044,0.1618027566154077,-0.0023439293676824624,0.28045718430253275,0.021074763787389927,0.2233353870312964,0.05941649178562655,0.16137808054386302,0.01271369381887208,0.18192197385043826,0.02376777451794411,0.11919953285662398,0.05417927895531564,-0.010296013313101782,9.0,7.0,True,9.0,11.0,True,0.19462408523219077,0.15855299800775435,True,0.1694430871851288,0.11968495168810493,True,0.09627907410865402,0.08040004172717077,True
A1.0_rho0.98,1,fixed_baseline,1.0,0.98,0.1362679397944911,1.0,0.98,0.192,0.1362679397944911,-0.055732060205508915,3.7808421280340445,6.907508551506442,0.6541757045616463,0.05602128688707318,3.590724866825689,1.0,0.94,0.0898247020272876,0.003993352300463945,1,False,10,False,False,-0.03503515703951328,0.09331874545643874,-0.061445363728752395,0.1680987965192104,-0.08516047396100057,0.28034880329518946,0.07232309263093156,0.1710413938467661,0.053812710460141605,0.16408081465355845,0.017223660135232632,0.1729959615577755,0.06099958343883012,0.08161209257349812,-0.00389531147739193,0.04560237375012975,9.0,6.0,True,9.0,7.0,True,0.19177919084527534,0.12713996431264726,True,0.16720982541906665,0.11580949674755758,True,0.0946876388477903,0.052532837627753064,True
A1.0_rho0.98,1,selected,1.0,0.94,0.1362679397944911,1.0,0.98,0.192,0.1362679397944911,-0.055732060205508915,3.1367083056032534,5.6213691676384725,0.6520474435680345,0.030356552453781577,3.4536296365837984,1.0,0.94,0.0898247020272876,0.003993352300463945,1,False,10,False,False,-0.030216397570562478,0.09331874545643874,-0.057128410866925536,0.1680987965192104,-0.08412877790338202,0.28034880329518946,0.07667882181018387,0.1710413938467661,0.021181871682807885,0.16408081465355845,-0.045477121163428086,0.1729959615577755,-0.024622021244719433,0.08161209257349812,-0.05096120431816093,0.04560237375012975,9.0,6.0,True,9.0,7.0,True,0.19515367851620152,0.12713996431264726,True,0.13092421795990322,0.11580949674755758,True,0.029583371594784143,0.052532837627753064,True
A1.0_rho0.98,1,true_shape,1.0,0.98,0.1362679397944911,1.0,0.98,0.192,0.1362679397944911,-0.055732060205508915,3.7808421280340445,6.907508551506442,0.6541757045616463,0.05602128688707318,3.590724866825689,1.0,0.94,0.0898247020272876,0.003993352300463945,1,False,10,False,False,-0.03503515703951328,0.09331874545643874,-0.061445363728752395,0.1680987965192104,-0.08516047396100057,0.28034880329518946,0.07232309263093156,0.1710413938467661,0.053812710460141605,0.16408081465355845,0.017223660135232632,0.1729959615577755,0.06099958343883012,0.08161209257349812,-0.00389531147739193,0.04560237375012975,9.0,6.0,True,9.0,7.0,True,0.19177919084527534,0.12713996431264726,True,0.16720982541906665,0.11580949674755758,True,0.0946876388477903,0.052532837627753064,True
A1.0_rho0.98,1,true_everything,1.0,0.98,0.192,1.0,0.98,0.192,0.1362679397944911,-0.055732060205508915,0.5098409610961558,0.3655062176306651,0.6541757045616465,0.020729203826963336,1.3553025040934124,1.0,0.94,0.0898247020272876,0.003993352300463945,1,False,10,False,False,-0.011197822567854135,0.09331874545643874,-0.01782530499471477,0.1680987965192104,-0.005330634761321895,0.28034880329518946,0.07232309263093159,0.1710413938467661,0.05381271046014158,0.16408081465355845,0.01722366013523266,0.1729959615577755,0.06099958343883012,0.08161209257349812,-0.00389531147739193,0.04560237375012975,9.0,6.0,True,9.0,7.0,True,0.1917791908452754,0.12713996431264726,True,0.16720982541906665,0.11580949674755758,True,0.0946876388477903,0.052532837627753064,True
A1.0_rho0.98,2,fixed_baseline,1.0,0.98,0.14861969975351164,1.0,0.98,0.192,0.14861969975351164,-0.04338030024648837,0.2875972381957434,0.2529838315691436,0.3222106448223432,0.01294679910657804,1.1219297448942085,1.0,0.98,0.2500595360528269,0.007908522054107598,1,False,1,True,True,0.001159190327737862,0.06168265483092981,-0.0068484691914115214,0.12334797386684374,0.027671753878128008,0.1854669629556924,0.045885384569004234,0.1972059263676839,0.025261867520880277,0.1953462322761932,0.04887768039105561,0.1432614802488185,0.010911180366481282,0.13252404502391812,-0.025159027050923585,0.06563975177757701,9.0,5.0,True,9.0,8.0,True,0.18975041616371102,0.14837079927989394,True,0.16871248695730998,0.15622465947792097,True,0.09576841863755804,0.08976187640503533,True
A1.0_rho0.98,2,selected,1.0,0.98,0.14861969975351164,1.0,0.98,0.192,0.14861969975351164,-0.04338030024648837,0.2875972381957434,0.2529838315691436,0.3222106448223432,0.01294679910657804,1.1219297448942085,1.0,0.98,0.2500595360528269,0.007908522054107598,1,False,1,True,True,0.001159190327737862,0.06168265483092981,-0.0068484691914115214,0.12334797386684374,0.027671753878128008,0.1854669629556924,0.045885384569004234,0.1972059263676839,0.025261867520880277,0.1953462322761932,0.04887768039105561,0.1432614802488185,0.010911180366481282,0.13252404502391812,-0.025159027050923585,0.06563975177757701,9.0,5.0,True,9.0,8.0,True,0.18975041616371102,0.14837079927989394,True,0.16871248695730998,0.15622465947792097,True,0.09576841863755804,0.08976187640503533,True
