object,model,period,statistic,real,sim_median,sim_p2.5,sim_p97.5,real_inside_sim_range,n_days,sigma_annual,category,comparison
ff_momentum,gaussian,describe,rv21_q10,0.0728491436567256,0.14899297188283034,0.1397808631423405,0.15820740863564953,False,1259,0.18857887055227532,return,level (both sides at the frozen sigma_annual)
ff_momentum,gaussian,describe,rv21_q50,0.1140344684733524,0.18527298631015499,0.17692203349408753,0.1935131778542251,False,1259,0.18857887055227532,return,level (both sides at the frozen sigma_annual)
ff_momentum,gaussian,describe,rv21_q90,0.3051095179174075,0.22441706349587992,0.2134135333052893,0.2363704273193866,False,1259,0.18857887055227532,return,level (both sides at the frozen sigma_annual)
ff_momentum,gaussian,describe,rv21_q10_over_own_sd,0.3863059707769929,0.7907054737276351,0.7518324866018663,0.8247741936666649,False,1259,0.18857887055227532,return,"shape (each series divided by its own annualised sd, inside the path)"
ff_momentum,gaussian,describe,rv21_q50_over_own_sd,0.6047043772156928,0.9839568321460644,0.9628882739710781,1.0022899037926456,False,1259,0.18857887055227532,return,"shape (each series divided by its own annualised sd, inside the path)"
ff_momentum,gaussian,describe,rv21_q90_over_own_sd,1.6179411671300103,1.1905700978044422,1.1570193360312346,1.229512728780046,False,1259,0.18857887055227532,return,"shape (each series divided by its own annualised sd, inside the path)"
ff_momentum,gaussian,describe,w1_vs_market_standardised,,0.23086565315257065,0.2105857107451563,0.2500828300335187,,1259,0.18857887055227532,return,scale-free
ff_momentum,gaussian,describe,w1_sim_vs_sim_reference,,0.03248118888868469,0.02074867727649999,0.05213276241243218,,1259,0.18857887055227532,return,scale-free
ff_momentum,gaussian,describe,tail_below_m2_count,39.0,28.0,20.0,37.0,False,1259,0.18857887055227532,return,scale-free
ff_momentum,gaussian,describe,tail_below_m3_count,13.0,2.0,0.0,4.0,False,1259,0.18857887055227532,return,scale-free
ff_momentum,gaussian,describe,tail_below_m5_count,2.0,0.0,0.0,0.0,False,1259,0.18857887055227532,return,scale-free
ff_momentum,gaussian,describe,tail_above_p2_count,25.0,28.0,20.0,37.0,True,1259,0.18857887055227532,return,scale-free
ff_momentum,gaussian,describe,tail_above_p3_count,7.0,2.0,0.0,4.0,False,1259,0.18857887055227532,return,scale-free
ff_momentum,gaussian,describe,tail_above_p5_count,1.0,0.0,0.0,0.0,False,1259,0.18857887055227532,return,scale-free
ff_momentum,gaussian,describe,acf_absret_lag1,0.3348397479395649,-0.001026338221712336,-0.05329383174398852,0.05236227010112427,False,1259,0.18857887055227532,return,scale-free
ff_momentum,gaussian,describe,acf_absret_lag5,0.33611244378513266,-0.0009674136422153016,-0.057958179030821864,0.05452817652935644,False,1259,0.18857887055227532,return,scale-free
ff_momentum,gaussian,describe,acf_absret_lag10,0.27713024028341554,0.0005879314509283163,-0.05463852474437908,0.05999841062508541,False,1259,0.18857887055227532,return,scale-free
ff_momentum,gaussian,describe,acf_absret_lag21,0.24853315465816603,-0.0008223254269143125,-0.05959364816229121,0.05473861746183815,False,1259,0.18857887055227532,return,scale-free
ff_momentum,gaussian,describe,acf_absret_lag63,0.16403229747774883,-0.0013836402009546915,-0.056418081303671645,0.05570628275460565,False,1259,0.18857887055227532,return,scale-free
ff_momentum,gaussian,describe,acf_ret_lag1,0.07830265156455762,-0.00035092634819110366,-0.05444551052123296,0.054574612476874,False,1259,0.18857887055227532,return,scale-free
ff_momentum,gaussian,describe,acf_ret_lag5,-0.014285660164666857,-0.0015582741855927344,-0.05929472847990793,0.0514723551162311,True,1259,0.18857887055227532,return,scale-free
ff_momentum,gaussian,describe,acf_ret_lag21,-0.03730275413265044,-0.0007700447489038405,-0.05790279482957825,0.05170932283256291,True,1259,0.18857887055227532,return,scale-free
ff_momentum,gaussian,describe,concentration_max_exceed_63d,12.0,1.0,0.0,3.0,False,1259,0.18857887055227532,return,scale-free
ff_momentum,gaussian,describe,leadlag_ret_vs_future_sq_lag1,0.004745445962850883,-0.0003980002921910846,-0.05770602635685879,0.053025648454674716,True,1259,0.18857887055227532,return,scale-free
ff_momentum,gaussian,describe,leadlag_ret_vs_future_sq_lag5,-0.07602323720775105,-0.0015286655686950815,-0.05747421602637156,0.055278819504326344,False,1259,0.18857887055227532,return,scale-free
ff_momentum,gaussian,describe,leadlag_ret_vs_future_sq_lag21,0.0359817168546363,-0.00216582809308573,-0.05857302419182884,0.054675612071265076,True,1259,0.18857887055227532,return,scale-free
ff_momentum,gaussian,describe,sd_daily,0.011879352238161002,0.011864717112834267,0.011417573670032446,0.012358677862549747,True,1259,0.18857887055227532,return,scale-free
ff_momentum,gaussian,describe,excess_kurtosis,20.251566196012654,-0.012020155304172775,-0.24425194617765636,0.2931933959450086,False,1259,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,describe,rv21_q10,0.0728491436567256,0.08052945037173462,0.0563618315823195,0.11085759243557079,True,1259,0.18857887055227532,return,level (both sides at the frozen sigma_annual)
ff_momentum,stoch_vol,describe,rv21_q50,0.1140344684733524,0.14790019660226367,0.11021857894062549,0.19330494476477975,True,1259,0.18857887055227532,return,level (both sides at the frozen sigma_annual)
ff_momentum,stoch_vol,describe,rv21_q90,0.3051095179174075,0.2715496631286769,0.19387877581545535,0.38922347286055137,True,1259,0.18857887055227532,return,level (both sides at the frozen sigma_annual)
ff_momentum,stoch_vol,describe,rv21_q10_over_own_sd,0.3863059707769929,0.440253081405101,0.3047794767420543,0.5642965987468651,True,1259,0.18857887055227532,return,"shape (each series divided by its own annualised sd, inside the path)"
ff_momentum,stoch_vol,describe,rv21_q50_over_own_sd,0.6047043772156928,0.8122535528105239,0.6347242786502176,0.9193232479343076,False,1259,0.18857887055227532,return,"shape (each series divided by its own annualised sd, inside the path)"
ff_momentum,stoch_vol,describe,rv21_q90_over_own_sd,1.6179411671300103,1.4745950919411428,1.3063739586606595,1.6744090319324636,True,1259,0.18857887055227532,return,"shape (each series divided by its own annualised sd, inside the path)"
ff_momentum,stoch_vol,describe,w1_vs_market_standardised,,0.12136014451084998,0.07067664154288854,0.16789765039849006,,1259,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,describe,w1_sim_vs_sim_reference,,0.055812558467529236,0.02966009405701097,0.14101866441481478,,1259,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,describe,tail_below_m2_count,39.0,35.0,26.0,43.524999999999864,True,1259,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,describe,tail_below_m3_count,13.0,9.0,4.0,15.0,True,1259,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,describe,tail_below_m5_count,2.0,1.0,0.0,3.0,True,1259,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,describe,tail_above_p2_count,25.0,35.0,26.0,44.0,False,1259,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,describe,tail_above_p3_count,7.0,9.0,4.0,15.0,True,1259,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,describe,tail_above_p5_count,1.0,1.0,0.0,3.0,True,1259,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,describe,acf_absret_lag1,0.3348397479395649,0.24312314347337177,0.13748880221983809,0.3709132648784352,True,1259,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,describe,acf_absret_lag5,0.33611244378513266,0.21769299096434638,0.10802430757087408,0.3514010479811975,True,1259,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,describe,acf_absret_lag10,0.27713024028341554,0.18871152005121894,0.0835639617881521,0.3278525746729291,True,1259,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,describe,acf_absret_lag21,0.24853315465816603,0.14175539241716992,0.04277209989776052,0.27930875152854007,True,1259,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,describe,acf_absret_lag63,0.16403229747774883,0.0427938940609863,-0.04179800844387476,0.1658530880720022,True,1259,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,describe,acf_ret_lag1,0.07830265156455762,0.00041913710665393024,-0.08308683089996154,0.08060593006804379,True,1259,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,describe,acf_ret_lag5,-0.014285660164666857,-0.0028979204133312373,-0.08414793815677339,0.0788102370298745,True,1259,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,describe,acf_ret_lag21,-0.03730275413265044,6.990943333912268e-05,-0.07307334855868809,0.0690494093790999,True,1259,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,describe,concentration_max_exceed_63d,12.0,7.0,3.0,16.524999999999864,True,1259,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,describe,leadlag_ret_vs_future_sq_lag1,0.004745445962850883,-0.0007297119306828054,-0.10159063578386794,0.10562629560391204,True,1259,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,describe,leadlag_ret_vs_future_sq_lag5,-0.07602323720775105,0.0012023640349803954,-0.093314452293499,0.09922027992873726,True,1259,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,describe,leadlag_ret_vs_future_sq_lag21,0.0359817168546363,0.0005485153619912697,-0.08061584650867033,0.07765298958462642,True,1259,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,describe,sd_daily,0.011879352238161002,0.011561002285182392,0.008626260498927804,0.01566820116446391,True,1259,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,describe,excess_kurtosis,20.251566196012654,3.1102891674500004,1.2466329988898648,11.310201373707292,False,1259,0.18857887055227532,return,scale-free
ff_momentum,sv_jump,describe,rv21_q10,0.0728491436567256,0.07561023471686361,0.052391400437297085,0.1044785295074259,True,1259,0.18857887055227532,return,level (both sides at the frozen sigma_annual)
ff_momentum,sv_jump,describe,rv21_q50,0.1140344684733524,0.14464147937369015,0.10854232907583446,0.18663694149939802,True,1259,0.18857887055227532,return,level (both sides at the frozen sigma_annual)
ff_momentum,sv_jump,describe,rv21_q90,0.3051095179174075,0.2763596225284052,0.20283047182797773,0.3896283359028976,True,1259,0.18857887055227532,return,level (both sides at the frozen sigma_annual)
ff_momentum,sv_jump,describe,rv21_q10_over_own_sd,0.3863059707769929,0.4156446468650524,0.2910984142376552,0.5327759546551759,True,1259,0.18857887055227532,return,"shape (each series divided by its own annualised sd, inside the path)"
ff_momentum,sv_jump,describe,rv21_q50_over_own_sd,0.6047043772156928,0.7870055957286906,0.6339928525601816,0.8928931879354309,False,1259,0.18857887055227532,return,"shape (each series divided by its own annualised sd, inside the path)"
ff_momentum,sv_jump,describe,rv21_q90_over_own_sd,1.6179411671300103,1.5016436018109953,1.3228580817163607,1.6982000917907003,True,1259,0.18857887055227532,return,"shape (each series divided by its own annualised sd, inside the path)"
ff_momentum,sv_jump,describe,w1_vs_market_standardised,,0.0964908102192969,0.055635105902041675,0.14427395907944304,,1259,0.18857887055227532,return,scale-free
ff_momentum,sv_jump,describe,w1_sim_vs_sim_reference,,0.06739955282548137,0.034983385679828075,0.15437741750987397,,1259,0.18857887055227532,return,scale-free
ff_momentum,sv_jump,describe,tail_below_m2_count,39.0,30.0,18.0,40.0,True,1259,0.18857887055227532,return,scale-free
ff_momentum,sv_jump,describe,tail_below_m3_count,13.0,9.0,4.0,15.0,True,1259,0.18857887055227532,return,scale-free
ff_momentum,sv_jump,describe,tail_below_m5_count,2.0,2.0,0.0,5.0,True,1259,0.18857887055227532,return,scale-free
ff_momentum,sv_jump,describe,tail_above_p2_count,25.0,30.0,19.0,41.0,True,1259,0.18857887055227532,return,scale-free
ff_momentum,sv_jump,describe,tail_above_p3_count,7.0,9.0,4.0,15.0,True,1259,0.18857887055227532,return,scale-free
ff_momentum,sv_jump,describe,tail_above_p5_count,1.0,2.0,0.0,5.0,True,1259,0.18857887055227532,return,scale-free
ff_momentum,sv_jump,describe,acf_absret_lag1,0.3348397479395649,0.1807984504455179,0.07663716717863149,0.3338404955741733,False,1259,0.18857887055227532,return,scale-free
ff_momentum,sv_jump,describe,acf_absret_lag5,0.33611244378513266,0.16318357693020363,0.05829295604172142,0.30808946207764265,False,1259,0.18857887055227532,return,scale-free
ff_momentum,sv_jump,describe,acf_absret_lag10,0.27713024028341554,0.14530382219799204,0.043934703677364864,0.28118330703281197,True,1259,0.18857887055227532,return,scale-free
ff_momentum,sv_jump,describe,acf_absret_lag21,0.24853315465816603,0.10637475584175876,0.017975505837813276,0.23650010658255707,False,1259,0.18857887055227532,return,scale-free
ff_momentum,sv_jump,describe,acf_absret_lag63,0.16403229747774883,0.03183917043750939,-0.044254111918942705,0.13728428558126504,False,1259,0.18857887055227532,return,scale-free
ff_momentum,sv_jump,describe,acf_ret_lag1,0.07830265156455762,-0.00213555069585838,-0.07258460418896942,0.06706379356898605,False,1259,0.18857887055227532,return,scale-free
ff_momentum,sv_jump,describe,acf_ret_lag5,-0.014285660164666857,-0.0006973715899648955,-0.07142254450667355,0.06950584498746763,True,1259,0.18857887055227532,return,scale-free
ff_momentum,sv_jump,describe,acf_ret_lag21,-0.03730275413265044,-0.0017023789922882315,-0.06909741802207688,0.06404463197058222,True,1259,0.18857887055227532,return,scale-free
ff_momentum,sv_jump,describe,concentration_max_exceed_63d,12.0,6.0,2.0,15.0,True,1259,0.18857887055227532,return,scale-free
ff_momentum,sv_jump,describe,leadlag_ret_vs_future_sq_lag1,0.004745445962850883,0.0008013683463960108,-0.07354269565141848,0.08406282518979095,True,1259,0.18857887055227532,return,scale-free
ff_momentum,sv_jump,describe,leadlag_ret_vs_future_sq_lag5,-0.07602323720775105,0.0010321498003750154,-0.07089314055932353,0.07292703552472854,False,1259,0.18857887055227532,return,scale-free
ff_momentum,sv_jump,describe,leadlag_ret_vs_future_sq_lag21,0.0359817168546363,-0.0017045985770416149,-0.0657051013412798,0.06541377705206258,True,1259,0.18857887055227532,return,scale-free
ff_momentum,sv_jump,describe,sd_daily,0.011879352238161002,0.01161436049701913,0.008914428706870571,0.015305656611170596,True,1259,0.18857887055227532,return,scale-free
ff_momentum,sv_jump,describe,excess_kurtosis,20.251566196012654,9.872799295613003,2.741341172018817,40.651671642466425,True,1259,0.18857887055227532,return,scale-free
ff_momentum,gaussian,contrast,rv21_q10,0.1092641569774828,0.14950882563135348,0.13511199875788998,0.16354330467524014,False,501,0.18857887055227532,return,level (both sides at the frozen sigma_annual)
ff_momentum,gaussian,contrast,rv21_q50,0.17446689084178693,0.18541720176739362,0.1733784790954274,0.1985429543863583,True,501,0.18857887055227532,return,level (both sides at the frozen sigma_annual)
ff_momentum,gaussian,contrast,rv21_q90,0.28485526851367876,0.22419748359319303,0.2077406575161707,0.2418162827207016,False,501,0.18857887055227532,return,level (both sides at the frozen sigma_annual)
ff_momentum,gaussian,contrast,rv21_q10_over_own_sd,0.5588064838758352,0.7939206629842734,0.7288847395349127,0.847449961413952,False,501,0.18857887055227532,return,"shape (each series divided by its own annualised sd, inside the path)"
ff_momentum,gaussian,contrast,rv21_q50_over_own_sd,0.8922709195856383,0.9840590083800944,0.9480407267925568,1.01514635385243,False,501,0.18857887055227532,return,"shape (each series divided by its own annualised sd, inside the path)"
ff_momentum,gaussian,contrast,rv21_q90_over_own_sd,1.4568269724941858,1.1879064142169709,1.1352003341836823,1.2493891986208971,False,501,0.18857887055227532,return,"shape (each series divided by its own annualised sd, inside the path)"
ff_momentum,gaussian,contrast,w1_vs_market_standardised,,0.10471330594059927,0.07564570467139049,0.13806148405573318,,501,0.18857887055227532,return,scale-free
ff_momentum,gaussian,contrast,w1_sim_vs_sim_reference,,0.04917223559520109,0.03317596070541202,0.08221124728941746,,501,0.18857887055227532,return,scale-free
ff_momentum,gaussian,contrast,tail_below_m2_count,16.0,11.0,7.0,16.0,True,501,0.18857887055227532,return,scale-free
ff_momentum,gaussian,contrast,tail_below_m3_count,5.0,0.0,0.0,2.0,False,501,0.18857887055227532,return,scale-free
ff_momentum,gaussian,contrast,tail_below_m5_count,1.0,0.0,0.0,0.0,False,501,0.18857887055227532,return,scale-free
ff_momentum,gaussian,contrast,tail_above_p2_count,5.0,11.0,6.0,17.0,False,501,0.18857887055227532,return,scale-free
ff_momentum,gaussian,contrast,tail_above_p3_count,0.0,1.0,0.0,3.0,True,501,0.18857887055227532,return,scale-free
ff_momentum,gaussian,contrast,tail_above_p5_count,0.0,0.0,0.0,0.0,True,501,0.18857887055227532,return,scale-free
ff_momentum,gaussian,contrast,acf_absret_lag1,0.1997537697950924,-0.001803751200126848,-0.08878340122943477,0.08620212685235254,False,501,0.18857887055227532,return,scale-free
ff_momentum,gaussian,contrast,acf_absret_lag5,0.14070058754756407,0.00010991964189563211,-0.08915458009803985,0.08624761119064935,False,501,0.18857887055227532,return,scale-free
ff_momentum,gaussian,contrast,acf_absret_lag10,0.07982754104426194,-0.0023814576031252173,-0.08699593476244229,0.08782890236379949,True,501,0.18857887055227532,return,scale-free
ff_momentum,gaussian,contrast,acf_absret_lag21,0.09688219596930059,-0.0012906633580172854,-0.08844461712411682,0.09043091472441303,False,501,0.18857887055227532,return,scale-free
ff_momentum,gaussian,contrast,acf_absret_lag63,-0.012604929394060395,-0.0038037165256488373,-0.09313914198059262,0.0897905022587413,True,501,0.18857887055227532,return,scale-free
ff_momentum,gaussian,contrast,acf_ret_lag1,0.0516482889843772,-0.0011208524876796999,-0.08760522612478946,0.08179585345461009,True,501,0.18857887055227532,return,scale-free
ff_momentum,gaussian,contrast,acf_ret_lag5,-0.02522431992934759,-0.001664936671456045,-0.09196061322247946,0.08208342457162988,True,501,0.18857887055227532,return,scale-free
ff_momentum,gaussian,contrast,acf_ret_lag21,-0.022262365837967434,-0.0030430256210107615,-0.09412880422789167,0.0812722800235835,True,501,0.18857887055227532,return,scale-free
ff_momentum,gaussian,contrast,concentration_max_exceed_63d,3.0,1.0,0.0,2.0,False,501,0.18857887055227532,return,scale-free
ff_momentum,gaussian,contrast,leadlag_ret_vs_future_sq_lag1,-0.052412424804304754,-0.0013543981684418394,-0.08932437069220237,0.08389283313662273,True,501,0.18857887055227532,return,scale-free
ff_momentum,gaussian,contrast,leadlag_ret_vs_future_sq_lag5,-0.029079317345864532,0.0013510019389504895,-0.09127545727868741,0.08670401178224886,True,501,0.18857887055227532,return,scale-free
ff_momentum,gaussian,contrast,leadlag_ret_vs_future_sq_lag21,-0.08736820449740522,0.0016321457143730848,-0.0861133920025701,0.08895426993869135,False,501,0.18857887055227532,return,scale-free
ff_momentum,gaussian,contrast,sd_daily,0.012317313984486032,0.011875739329457095,0.011165326386219435,0.012602337261699958,True,501,0.18857887055227532,return,scale-free
ff_momentum,gaussian,contrast,excess_kurtosis,2.363255199382367,-0.02052558512444702,-0.3793165484732291,0.4722017909136763,False,501,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,contrast,rv21_q10,0.1092641569774828,0.08359413842079105,0.04930721893482728,0.13753218341511514,True,501,0.18857887055227532,return,level (both sides at the frozen sigma_annual)
ff_momentum,stoch_vol,contrast,rv21_q50,0.17446689084178693,0.14777389940250646,0.0916205455703496,0.23570730583284524,True,501,0.18857887055227532,return,level (both sides at the frozen sigma_annual)
ff_momentum,stoch_vol,contrast,rv21_q90,0.28485526851367876,0.26194386429413863,0.15772889147026092,0.47073743278132546,True,501,0.18857887055227532,return,level (both sides at the frozen sigma_annual)
ff_momentum,stoch_vol,contrast,rv21_q10_over_own_sd,0.5588064838758352,0.47814451659030766,0.26654106646923265,0.6536395357523771,True,501,0.18857887055227532,return,"shape (each series divided by its own annualised sd, inside the path)"
ff_momentum,stoch_vol,contrast,rv21_q50_over_own_sd,0.8922709195856383,0.8471041532101243,0.5935078602169126,0.9783126989466026,True,501,0.18857887055227532,return,"shape (each series divided by its own annualised sd, inside the path)"
ff_momentum,stoch_vol,contrast,rv21_q90_over_own_sd,1.4568269724941858,1.4634219391034864,1.2507786627958204,1.7721878200974452,True,501,0.18857887055227532,return,"shape (each series divided by its own annualised sd, inside the path)"
ff_momentum,stoch_vol,contrast,w1_vs_market_standardised,,0.10214656305868189,0.05908684672067251,0.19806991582787695,,501,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,contrast,w1_sim_vs_sim_reference,,0.07720460027001295,0.04224670382949187,0.17397264584035538,,501,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,contrast,tail_below_m2_count,16.0,14.0,9.0,20.0,True,501,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,contrast,tail_below_m3_count,5.0,3.0,0.0,7.0,True,501,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,contrast,tail_below_m5_count,1.0,0.0,0.0,2.0,True,501,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,contrast,tail_above_p2_count,5.0,14.0,9.0,20.0,False,501,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,contrast,tail_above_p3_count,0.0,3.0,0.0,7.0,True,501,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,contrast,tail_above_p5_count,0.0,0.0,0.0,2.0,True,501,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,contrast,acf_absret_lag1,0.1997537697950924,0.20911969956057025,0.06641066608474154,0.3992118086236229,True,501,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,contrast,acf_absret_lag5,0.14070058754756407,0.18408094392595384,0.03788678063881608,0.3855992896343187,True,501,0.18857887055227532,return,scale-free
ff_momentum,stoch_vol,contrast,acf_absret_lag10,0.07982754104426194,0.15575745357387227,0.01784646644329851,0.3493536536426447,True,501,0.18857887055227532,return,scale-free
