eval_year,rule,branch,target,standardising_scale,floored
2022,expanding,sv_only,acf_absret_lag1,0.06145966008160174,False
2022,expanding,sv_only,acf_absret_lag5,0.06217493820742759,False
2022,expanding,sv_only,acf_absret_lag10,0.06212912952526722,False
2022,expanding,sv_only,acf_absret_lag21,0.05889429916486747,False
2022,expanding,sv_only,acf_absret_lag63,0.053405392768015175,False
2022,expanding,sv_jump,rv21_q10,0.17275440612887966,False
2022,expanding,sv_jump,rv21_q50,0.14536602863243225,False
2022,expanding,sv_jump,rv21_q90,0.16314240272051947,False
2022,expanding,sv_jump,acf_absret_lag1,0.06442136520072449,False
2022,expanding,sv_jump,acf_absret_lag5,0.06174811889896188,False
2022,expanding,sv_jump,acf_absret_lag10,0.05979389122182912,False
2022,expanding,sv_jump,acf_absret_lag21,0.05468974643010148,False
2022,expanding,sv_jump,acf_absret_lag63,0.0451872415722606,False
2023,rolling3y,sv_only,rv21_q10,0.22284792364910283,False
2023,rolling3y,sv_only,rv21_q50,0.18773539167777567,False
2023,rolling3y,sv_only,rv21_q90,0.22265242864107096,False
2023,rolling3y,sv_only,acf_absret_lag1,0.07726912935311807,False
2023,rolling3y,sv_only,acf_absret_lag5,0.07711267096049718,False
2023,rolling3y,sv_only,acf_absret_lag10,0.07393073472262174,False
2023,rolling3y,sv_only,acf_absret_lag21,0.07039217868469992,False
2023,rolling3y,sv_only,acf_absret_lag63,0.06395599137358718,False
2023,rolling3y,sv_jump,rv21_q10,0.21808205271538222,False
2023,rolling3y,sv_jump,rv21_q50,0.18484455489164925,False
2023,rolling3y,sv_jump,rv21_q90,0.20727325202853528,False
2023,rolling3y,sv_jump,acf_absret_lag1,0.07911645640937268,False
2023,rolling3y,sv_jump,acf_absret_lag5,0.07696580552982173,False
2023,rolling3y,sv_jump,acf_absret_lag10,0.07319955656012388,False
2023,rolling3y,sv_jump,acf_absret_lag21,0.06773926541052405,False
2023,rolling3y,sv_jump,acf_absret_lag63,0.05705839171694847,False
2023,expanding,sv_only,rv21_q10,0.1609783336119078,False
2023,expanding,sv_only,rv21_q50,0.1364116201548583,False
2023,expanding,sv_only,rv21_q90,0.16207416398309277,False
2023,expanding,sv_only,acf_absret_lag1,0.05818800414311586,False
2023,expanding,sv_only,acf_absret_lag5,0.057405477622863334,False
2023,expanding,sv_only,acf_absret_lag10,0.05761627717767221,False
2023,expanding,sv_only,acf_absret_lag21,0.055443851000522786,False
2023,expanding,sv_only,acf_absret_lag63,0.05181867362284066,False
2023,expanding,sv_jump,rv21_q10,0.15930873332437756,False
2023,expanding,sv_jump,rv21_q50,0.1325558278617514,False
2023,expanding,sv_jump,rv21_q90,0.14768519552939402,False
2023,expanding,sv_jump,acf_absret_lag1,0.06236686791769977,False
2023,expanding,sv_jump,acf_absret_lag5,0.05834553255461964,False
2023,expanding,sv_jump,acf_absret_lag10,0.05659122774735449,False
2023,expanding,sv_jump,acf_absret_lag21,0.05154762851581677,False
2023,expanding,sv_jump,acf_absret_lag63,0.04180917431626528,False
