lag_days,sv_theory_acf_abs_eps,monte_carlo_pooled_population_acf,market_acf_centred_abs_return
1,0.272996101852769,0.2737512316322097,0.5007227427362638
5,0.24932664988421852,0.25027467548538973,0.414646145214609
10,0.22285145259838973,0.2237620738371887,0.36595904625641856
21,0.17474015141721422,0.1752776565926097,0.1584044724099717
63,0.0713145902518905,0.07243591981571929,0.03997469633704984
