eval_year,rule,branch,acf_abs_component_fixed_baseline,acf_abs_component_recalibrated,loss_fixed_baseline,loss_recalibrated,loss_mc_se_fixed_baseline,loss_mc_se_recalibrated,rv21_component_fixed_baseline,rv21_component_recalibrated,loss_difference,recalibration_helped,A,rho,window_start,window_end,window_n_returns,sigma_annual,on_grid_boundary
2020,expanding,sv_jump,7.1577898887987335,5.601350377606532,8.031174517439492,7.502562672461018,0.07756347113164713,0.08042511915285955,8.904559146080251,9.403774967315504,-0.5286118449784745,True,1.2,0.96,2017-01-01,2019-12-31,753,0.12800611779874022,False
2020,expanding,sv_only,5.2384114042371195,4.084826739422691,6.588178280858905,6.2172908420145045,0.07486503913757857,0.05885923249907131,7.937945157480691,8.349754944606318,-0.37088743884440056,True,1.2,0.94,2017-01-01,2019-12-31,753,0.12800611779874022,False
2020,rolling3y,sv_jump,7.041274347153005,5.61361639377452,8.003223669198249,7.60598971584624,0.0807087899829992,0.0826630046603778,8.965172991243493,9.598363037917961,-0.39723395335200884,True,1.2,0.96,2017-01-01,2019-12-31,753,0.12800611779874022,False
2020,rolling3y,sv_only,5.24624602543524,4.10969804676577,6.576714301476348,6.087852030399182,0.07680901020621467,0.05374699953889817,7.907182577517456,8.066006014032594,-0.4888622710771662,True,1.2,0.94,2017-01-01,2019-12-31,753,0.12800611779874022,False
2021,expanding,sv_jump,1.1379974095263243,1.7255224288395858,1.018808808868754,1.4416647293449443,0.0253576486423811,0.039039257859568535,0.8996202082111834,1.1578070298503027,0.42285592047619036,False,1.6,0.98,2017-01-01,2020-12-31,1006,0.20491959836521506,False
2021,expanding,sv_only,1.2681633341611327,2.7423176458577947,1.0775822004780182,1.8398863208090872,0.02829817308552789,0.051224652163968584,0.8870010667949039,0.9374549957603797,0.762304120331069,False,1.6,0.98,2017-01-01,2020-12-31,1006,0.20491959836521506,False
2021,rolling3y,sv_jump,1.1326246642864728,1.606760670659331,1.4175939116812981,1.4043452170113007,0.02669752654218815,0.03861316267885156,1.7025631590761234,1.2019297633632702,-0.013248694669997452,True,1.6,0.98,2018-01-01,2020-12-31,756,0.23331492211399943,False
2021,rolling3y,sv_only,1.3191621156824933,2.6609500661225587,1.5934924502321621,1.7488675829030649,0.03913440175499695,0.04728498862062447,1.867822784781831,0.8367850996835711,0.15537513267090275,False,1.6,0.98,2018-01-01,2020-12-31,756,0.23331492211399943,False
2022,expanding,sv_jump,1.6452479027757896,2.8907388242330216,2.284821268969517,4.406611335674045,0.04724816402553554,0.08863166671887877,2.924394635163244,5.9224838471150685,2.121790066704528,False,1.4,0.98,2017-01-01,2021-12-31,1258,0.1923686721294862,False
2022,expanding,sv_only,2.2490913340505885,3.999191237087282,2.3343321804453265,4.817532996586374,0.047965512883011124,0.08833095557158585,2.4195730268400646,5.635874756085467,2.4832008161410477,False,1.4,0.98,2017-01-01,2021-12-31,1258,0.1923686721294862,False
2022,rolling3y,sv_jump,1.707309438481548,3.0849515145080986,1.6902889552459561,4.7621022071078905,0.035496277233954945,0.09257197962444258,1.6732684720103643,6.439252899707682,3.0718132518619345,False,1.6,0.98,2019-01-01,2021-12-31,757,0.2244403317858161,False
2022,rolling3y,sv_only,2.1549995618044937,5.283087353675683,1.7343064744918202,5.525277266761995,0.032316711853155614,0.08373387586328151,1.3136133871791469,5.767467179848308,3.7909707922701745,False,1.6,0.98,2019-01-01,2021-12-31,757,0.2244403317858161,False
2023,expanding,sv_jump,0.3788223059595648,0.7852381506427755,0.6572974924231638,1.0105241057684982,0.021067447530783254,0.02889408821067004,0.9357726788867629,1.2358100608942209,0.35322661334533434,False,1.4,0.98,2017-01-01,2022-12-31,1509,0.20150379648559902,False
2023,expanding,sv_only,0.614833788200655,1.613340339412271,0.722767206629374,1.2482561950872895,0.02256450957856358,0.0319790598799134,0.830700625058093,0.8831720507623079,0.5254889884579155,False,1.4,0.98,2017-01-01,2022-12-31,1509,0.20150379648559902,False
2023,rolling3y,sv_jump,0.3394247907401614,0.524382121302142,1.4254125670292084,1.3581053080478003,0.03583450666219746,0.037724004335695685,2.5114003433182552,2.1918284947934583,-0.0673072589814081,True,1.2,0.98,2020-01-01,2022-12-31,756,0.2545126126076897,False
2023,rolling3y,sv_only,0.5666114966648751,1.0825074544188293,1.4510114931914195,1.4263115503004125,0.0358941629098983,0.0400161412210603,2.335411489717964,1.7701156461819958,-0.024699942891007076,True,1.2,0.98,2020-01-01,2022-12-31,756,0.2545126126076897,False
