branch,A,rho,n_paths,loss,rv21_component,acf_abs_component,term_rv21_q10,term_rv21_q50,term_rv21_q90,term_acf_absret_lag1,term_acf_absret_lag5,term_acf_absret_lag10,term_acf_absret_lag21,term_acf_absret_lag63
sv_only,0.6,0.9,400,14.965730755278571,8.821489952562834,21.109971557994307,15.568599769637885,10.811915042690156,0.08395504536046161,36.207685113152635,31.618174601848917,29.54921738129681,7.2226349996168135,0.9521456940563505
sv_only,0.6,0.94,400,13.640792517592129,8.140256015247333,19.141329019936926,14.010406504013046,10.283311835329759,0.12704970639919985,35.27734608378344,28.554623946088018,25.474852991028918,5.503375617107641,0.8964464616766165
sv_only,0.6,0.96,400,12.843553055613627,7.69341803407405,17.993688077153205,12.936552252997764,9.979653591445604,0.16404825777878027,34.957957430018475,27.091130495349454,23.068849407821638,4.044815354947103,0.8056876976293651
sv_only,0.6,0.98,400,12.303622408944246,7.43576047141712,17.171484346471374,12.499189452583154,9.657516125295983,0.15057583637222136,35.97951724951616,26.010033252319474,21.092619764882397,2.538270431498475,0.23698103414036978
sv_only,0.6,0.99,400,12.368378891180798,7.289017193781965,17.44774058857963,12.271802881149751,9.509223656838428,0.08602504335771459,38.00079226129259,26.62691849488215,20.521477606976298,2.0800352676567906,0.009479312090318952
sv_only,0.8,0.9,400,11.619718934051976,6.549780897417986,16.689656970685967,10.394992353977617,8.945721750131764,0.30862858814457955,25.01265458067354,24.84955363185838,25.87032960411337,6.733161751203397,0.9825852855811567
sv_only,0.8,0.94,400,9.872483099387418,5.673304603221786,14.07166159555305,8.490827722743962,8.144626743770848,0.38445934315055014,23.97818368061854,20.867308046006407,20.115067332104587,4.391884253276797,1.0058646657589243
sv_only,0.8,0.96,400,8.89380445367134,5.154725836024337,12.632883071318343,7.507110729258635,7.535094199031267,0.4219725797831085,24.18298319281965,18.911306735757066,16.686511573449824,2.5925165253511273,0.791097329214049
sv_only,0.8,0.98,400,8.05944208096846,4.7062348330022985,11.412649328934618,6.638935413732392,7.060340833548011,0.4194282517264914,24.947023703397353,17.156475830691164,13.96253082011245,0.8885302582065819,0.10868603226555255
sv_only,0.8,0.99,400,8.117539123038705,4.414161592129388,11.820916653948021,6.47420424191767,6.517531715106899,0.2507488193635955,27.136718871987963,18.012874945432497,13.46022254100994,0.3542655879960351,0.1405013233136795
sv_only,1.0,0.9,400,8.747696420386351,4.284977151277139,13.210415689495562,5.694404804131346,6.615541567225991,0.5449850824740794,16.54823849008928,19.390464015062353,22.521247598522788,6.442086804648384,1.1500415391550165
sv_only,1.0,0.94,400,6.7191784204563385,3.417384751607138,10.02097208930554,3.892927229839433,5.676347166887937,0.682879858094045,15.240826391017498,14.571001486192694,15.691922650333902,3.4696461369509057,1.1314637820326965
sv_only,1.0,0.96,400,5.614804335399161,2.932738843717629,8.296869827080693,3.0018685562781577,5.1110465826155345,0.6853013922591947,15.207866676644917,12.442562467972422,11.619025341699832,1.4813543545141097,0.7335402945721805
sv_only,1.0,0.98,400,4.717257710501039,2.432954452500095,7.001560968501984,2.1897245905486264,4.424497985450374,0.6846407815012835,16.047079205137308,10.545419042333924,8.313515033110042,0.09351464893514704,0.008276912993495988
sv_only,1.0,0.99,400,4.796565432801927,2.04447405685922,7.548656808744634,2.0547079369671826,3.788166802273327,0.2905474313371507,18.078114905107306,11.113560605270507,7.897417398793518,0.03042267470631083,0.6237684598455342
sv_only,1.2,0.9,400,6.537085410633025,2.4559130350995884,10.618257786166462,2.160352979408649,4.41121002600104,0.7961760998890758,10.352979982725962,15.175180574849106,20.025826337437472,6.322640765815429,1.2146612700043369
sv_only,1.2,0.94,400,4.407337643695061,1.666079427243037,7.1485958601470845,0.8665227386904334,3.228743812610937,0.9029717304277405,9.279331157522213,9.898097474390827,12.481082705863887,2.881772565125744,1.2026953978327501
sv_only,1.2,0.96,400,3.296291933316129,1.3145147952839566,5.278069071348301,0.3818852905181575,2.6679320979823578,0.8937269973513542,8.951447056437674,7.543180028168741,8.233734769063094,0.8921859909074654,0.7697975121645342
sv_only,1.2,0.98,400,2.5110297303440423,0.971033758930025,4.05102570175806,0.0705304883370145,2.0336190167722163,0.808951771680844,9.620623779896139,5.842316832882007,4.760778179014415,0.03130287587451608,0.0001068411232238135
sv_only,1.2,0.99,400,2.702942647164674,0.5874836823626378,4.81840161196671,0.030457443165821094,1.4435153183841076,0.2884782855379849,11.667076394791975,6.277041663084395,4.040103108071545,0.7541436999582737,1.3536431939273612
sv_only,1.4,0.9,400,5.060388484099905,1.1638437662605459,8.956933201939263,0.19733555114723164,2.2878491572289006,1.0063465904055053,6.406252582704401,12.380494398933056,18.6115660075486,6.159599253514526,1.2267537669957365
sv_only,1.4,0.94,400,3.0294219489864487,0.7731506143660182,5.2856932836068795,0.03945526671681072,1.2813804731979475,0.9986161031832964,5.315603379405349,6.783045817204842,10.399158419808664,2.6692979255780616,1.2613608760374841
