scenario,scale,statistic,sim_median,sim_p2.5,sim_p97.5,sim_median_mc_se,n_paths,real,real_inside_sim_range
student_t,native,acf_absret_lag21,-0.0012771418521374434,-0.05446641850651886,0.05772970864156478,0.000788728247009927,2000,0.15840447240997177,False
student_t,native,acf_absret_lag63,-0.003083722283681767,-0.05624891318030335,0.05543899711658469,0.0007977333870723812,2000,0.039974696337049836,True
student_t,native,acf_sqret_lag1,-0.004592038096191574,-0.04202653687795344,0.06492152326544974,0.0007664822223710803,2000,0.5332894519731963,False
student_t,native,acf_sqret_lag5,-0.0055656149077286535,-0.04029023633915089,0.060850500009993154,0.0007365424286762891,2000,0.33648374197445374,False
student_t,native,acf_sqret_lag10,-0.004931478081668194,-0.0409215198124554,0.05915093395612592,0.000739389484106757,2000,0.25860000769071245,False
student_t,native,acf_sqret_lag21,-0.004472197410631148,-0.040643681960904246,0.06288670400168672,0.0007719717164644,2000,0.04858286728322976,True
student_t,native,acf_sqret_lag63,-0.005482963447023672,-0.041630114758128785,0.061830293460895976,0.0007546172093371133,2000,0.037394822586824354,True
student_t,native,leadlag_ret_vs_future_sq_lag1,-0.000245981834782151,-0.05251415601852794,0.05686259582193004,0.0007827196981466286,2000,-0.09471016076162476,False
student_t,native,leadlag_ret_vs_future_sq_lag5,-0.0004587344863163376,-0.056117291233772404,0.05316043814931811,0.0007812323164226974,2000,-0.06824443785000317,False
student_t,native,leadlag_ret_vs_future_sq_lag21,-0.00018825767302675867,-0.0580779186751814,0.05533394422360572,0.0008130062657578282,2000,-0.05072095039065012,True
student_t,native,agg1d_sd,0.006276382859456368,0.005879315172946052,0.0068037226622373265,6.636548321134979e-06,2000,0.012118087297484344,False
student_t,native,agg1d_skewness,-0.0018051608768803375,-0.7936970963379468,0.8934179878576681,0.014616368657812578,2000,-0.7389961323250143,True
student_t,native,agg1d_excess_kurtosis,3.044499997715791,1.3216577954265374,15.142618787815799,0.19083770794630622,2000,20.367350270538573,False
student_t,native,agg1d_n_blocks,1258.0,1258.0,1258.0,0.0,2000,1258.0,True
student_t,native,agg5d_sd,0.013999013381940036,0.012661877059346094,0.01564976805895709,2.15403109065231e-05,2000,0.020960471928423846,False
student_t,native,agg5d_skewness,0.03149222564346524,-0.5116412022407295,0.6174877091172666,0.008732762188761744,2000,-1.0487041835443138,False
student_t,native,agg5d_excess_kurtosis,0.529929463632008,-0.21599874519494383,4.486387546563134,0.04116193657756365,2000,5.931460248671447,False
student_t,native,agg5d_n_blocks,251.0,251.0,251.0,0.0,2000,251.0,True
student_t,native,agg21d_sd,0.028555466379166103,0.023173428200606246,0.03456819822512233,8.085318710779132e-05,2000,0.04209813495638222,False
student_t,native,agg21d_skewness,0.07098742061775942,-0.6191029590472206,0.8127727210971226,0.010002018401525993,2000,-0.59184386699657,True
student_t,native,agg21d_excess_kurtosis,-0.0828140186414128,-0.8577141910077827,1.9971456232902822,0.022134529481096215,2000,1.5622695674048126,True
student_t,native,agg21d_n_blocks,59.0,59.0,59.0,0.0,2000,59.0,True
student_t,native,w1_vs_market_standardised,0.207623857212356,0.16638262526597566,0.24042004563373012,0.0005363247066993385,2000,,
student_t,native,w1_sim_vs_sim_reference,0.045804387056925244,0.027696869120760415,0.08056101310425266,0.0005946018577337301,1000,,
student_t,matched,sd_daily,0.012072209956711495,0.011331137307217933,0.013063743892126948,1.3013940560548224e-05,2000,0.012118087297484344,True
student_t,matched,skewness,0.0024437298841396057,-0.948744885253864,0.8842112502004452,0.01713194509556303,2000,-0.7389961323250143,True
student_t,matched,excess_kurtosis,3.063704533760905,1.324491613815184,18.004287458313193,0.2715360700106648,2000,20.367350270538573,False
student_t,matched,rv21_q10,0.13670007809821283,0.12696627468713298,0.14663578548314207,0.0001417654677870104,2000,0.06272305159358481,False
student_t,matched,rv21_q50,0.1805378945341799,0.17003998132394557,0.19209976456910297,0.00015917515265411914,2000,0.11036933306935255,False
student_t,matched,rv21_q90,0.24176009151285244,0.2209847654628413,0.2682622561893665,0.0003403003034202007,2000,0.24178335481744329,True
student_t,matched,concentration_max_exceed_63d,3.0,2.0,5.0,0.022221443112275946,2000,16.0,False
student_t,matched,tail_below_m2_count,31.0,22.0,40.0,0.12829900366836575,2000,37.0,True
student_t,matched,tail_above_p2_count,31.0,22.0,40.0,0.1250793079293689,2000,18.0,False
