threshold_in_sd,n,count_below_minus_c,freq_below_minus_c,count_above_plus_c,freq_above_plus_c,count_either_side,freq_either_side
2.0,1258,37,0.029411764705882353,18,0.014308426073131956,55,0.04372019077901431
3.0,1258,11,0.008744038155802861,9,0.007154213036565978,20,0.01589825119236884
4.0,1258,6,0.0047694753577106515,7,0.005564387917329093,13,0.010333863275039745
5.0,1258,3,0.0023847376788553257,4,0.003179650238473768,7,0.005564387917329093
