segment,start,end,n_returns,sd_daily,skewness,excess_kurtosis,acf_ret_lag1,acf_ret_lag5,acf_absret_lag1,acf_absret_lag21,rv21_median
2017-2019,2017-01-01,2019-12-31,753,0.00806362747595965,-0.6191128851655939,5.424943130858086,-0.03785370844931977,-0.050271586391313225,0.28139867846213956,0.06928457219006262,0.08787489722523484
2020,2020-01-01,2020-12-31,253,0.02168971456046317,-0.5501807512353083,7.849403534837148,-0.3530845972629322,0.15352132809560165,0.5238275535516991,0.046704633980763494,0.21558990048354643
2021,2021-01-01,2021-12-31,252,0.008251315951290708,-0.3375554467009126,0.6622367077581108,-0.07785742670381526,-0.07639339781561054,0.2380592344390747,-0.031616159563841756,0.1181289922242215
full training,2017-01-01,2021-12-31,1258,0.012118087297484344,-0.7389961323250143,20.367350270538573,-0.24396953335811916,0.07865234975544913,0.5007227427362638,0.1584044724099717,0.11036933306935255
