eval_year,rule,branch,method,A,rho,sigma_annual,eval_n_days,loss,loss_mc_se,rv21_component,acf_abs_component,calibration_window,calibration_n_returns,on_grid_boundary,n_within_one_mc_se
2020,rolling3y,sv_only,recalibrated,1.2,0.94,0.12800611779874022,253,6.087852030399182,0.05374699953889817,8.066006014032594,4.10969804676577,2017-01-01..2019-12-31,753,False,1
2020,rolling3y,sv_only,fixed_baseline,1.0,0.98,0.12800611779874022,253,6.576714301476348,0.07680901020621467,7.907182577517456,5.24624602543524,2017-01-01..2019-12-31,753,False,1
2020,rolling3y,sv_jump,recalibrated,1.2,0.96,0.12800611779874022,253,7.60598971584624,0.0826630046603778,9.598363037917961,5.61361639377452,2017-01-01..2019-12-31,753,False,1
2020,rolling3y,sv_jump,fixed_baseline,1.0,0.98,0.12800611779874022,253,8.003223669198249,0.0807087899829992,8.965172991243493,7.041274347153005,2017-01-01..2019-12-31,753,False,1
2020,expanding,sv_only,recalibrated,1.2,0.94,0.12800611779874022,253,6.2172908420145045,0.05885923249907131,8.349754944606318,4.084826739422691,2017-01-01..2019-12-31,753,False,1
2020,expanding,sv_only,fixed_baseline,1.0,0.98,0.12800611779874022,253,6.588178280858905,0.07486503913757857,7.937945157480691,5.2384114042371195,2017-01-01..2019-12-31,753,False,1
2020,expanding,sv_jump,recalibrated,1.2,0.96,0.12800611779874022,253,7.502562672461018,0.08042511915285955,9.403774967315504,5.601350377606532,2017-01-01..2019-12-31,753,False,1
2020,expanding,sv_jump,fixed_baseline,1.0,0.98,0.12800611779874022,253,8.031174517439492,0.07756347113164713,8.904559146080251,7.1577898887987335,2017-01-01..2019-12-31,753,False,1
2021,rolling3y,sv_only,recalibrated,1.6,0.98,0.23331492211399943,252,1.7488675829030649,0.04728498862062447,0.8367850996835711,2.6609500661225587,2018-01-01..2020-12-31,756,False,2
2021,rolling3y,sv_only,fixed_baseline,1.0,0.98,0.23331492211399943,252,1.5934924502321621,0.03913440175499695,1.867822784781831,1.3191621156824933,2018-01-01..2020-12-31,756,False,2
2021,rolling3y,sv_jump,recalibrated,1.6,0.98,0.23331492211399943,252,1.4043452170113007,0.03861316267885156,1.2019297633632702,1.606760670659331,2018-01-01..2020-12-31,756,False,2
2021,rolling3y,sv_jump,fixed_baseline,1.0,0.98,0.23331492211399943,252,1.4175939116812981,0.02669752654218815,1.7025631590761234,1.1326246642864728,2018-01-01..2020-12-31,756,False,2
2021,expanding,sv_only,recalibrated,1.6,0.98,0.20491959836521506,252,1.8398863208090872,0.051224652163968584,0.9374549957603797,2.7423176458577947,2017-01-01..2020-12-31,1006,False,1
2021,expanding,sv_only,fixed_baseline,1.0,0.98,0.20491959836521506,252,1.0775822004780182,0.02829817308552789,0.8870010667949039,1.2681633341611327,2017-01-01..2020-12-31,1006,False,1
2021,expanding,sv_jump,recalibrated,1.6,0.98,0.20491959836521506,252,1.4416647293449443,0.039039257859568535,1.1578070298503027,1.7255224288395858,2017-01-01..2020-12-31,1006,False,1
2021,expanding,sv_jump,fixed_baseline,1.0,0.98,0.20491959836521506,252,1.018808808868754,0.0253576486423811,0.8996202082111834,1.1379974095263243,2017-01-01..2020-12-31,1006,False,1
2022,rolling3y,sv_only,recalibrated,1.6,0.98,0.2244403317858161,251,5.525277266761995,0.08373387586328151,5.767467179848308,5.283087353675683,2019-01-01..2021-12-31,757,False,1
2022,rolling3y,sv_only,fixed_baseline,1.0,0.98,0.2244403317858161,251,1.7343064744918202,0.032316711853155614,1.3136133871791469,2.1549995618044937,2019-01-01..2021-12-31,757,False,1
2022,rolling3y,sv_jump,recalibrated,1.6,0.98,0.2244403317858161,251,4.7621022071078905,0.09257197962444258,6.439252899707682,3.0849515145080986,2019-01-01..2021-12-31,757,False,1
2022,rolling3y,sv_jump,fixed_baseline,1.0,0.98,0.2244403317858161,251,1.6902889552459561,0.035496277233954945,1.6732684720103643,1.707309438481548,2019-01-01..2021-12-31,757,False,1
2022,expanding,sv_only,recalibrated,1.4,0.98,0.1923686721294862,251,4.817532996586374,0.08833095557158585,5.635874756085467,3.999191237087282,2017-01-01..2021-12-31,1258,False,1
2022,expanding,sv_only,fixed_baseline,1.0,0.98,0.1923686721294862,251,2.3343321804453265,0.047965512883011124,2.4195730268400646,2.2490913340505885,2017-01-01..2021-12-31,1258,False,1
2022,expanding,sv_jump,recalibrated,1.4,0.98,0.1923686721294862,251,4.406611335674045,0.08863166671887877,5.9224838471150685,2.8907388242330216,2017-01-01..2021-12-31,1258,False,1
2022,expanding,sv_jump,fixed_baseline,1.0,0.98,0.1923686721294862,251,2.284821268969517,0.04724816402553554,2.924394635163244,1.6452479027757896,2017-01-01..2021-12-31,1258,False,1
2023,rolling3y,sv_only,recalibrated,1.2,0.98,0.2545126126076897,250,1.4263115503004125,0.0400161412210603,1.7701156461819958,1.0825074544188293,2020-01-01..2022-12-31,756,False,2
2023,rolling3y,sv_only,fixed_baseline,1.0,0.98,0.2545126126076897,250,1.4510114931914195,0.0358941629098983,2.335411489717964,0.5666114966648751,2020-01-01..2022-12-31,756,False,2
2023,rolling3y,sv_jump,recalibrated,1.2,0.98,0.2545126126076897,250,1.3581053080478003,0.037724004335695685,2.1918284947934583,0.524382121302142,2020-01-01..2022-12-31,756,False,3
2023,rolling3y,sv_jump,fixed_baseline,1.0,0.98,0.2545126126076897,250,1.4254125670292084,0.03583450666219746,2.5114003433182552,0.3394247907401614,2020-01-01..2022-12-31,756,False,3
2023,expanding,sv_only,recalibrated,1.4,0.98,0.20150379648559902,250,1.2482561950872895,0.0319790598799134,0.8831720507623079,1.613340339412271,2017-01-01..2022-12-31,1509,False,1
2023,expanding,sv_only,fixed_baseline,1.0,0.98,0.20150379648559902,250,0.722767206629374,0.02256450957856358,0.830700625058093,0.614833788200655,2017-01-01..2022-12-31,1509,False,1
2023,expanding,sv_jump,recalibrated,1.4,0.98,0.20150379648559902,250,1.0105241057684982,0.02889408821067004,1.2358100608942209,0.7852381506427755,2017-01-01..2022-12-31,1509,False,1
2023,expanding,sv_jump,fixed_baseline,1.0,0.98,0.20150379648559902,250,0.6572974924231638,0.021067447530783254,0.9357726788867629,0.3788223059595648,2017-01-01..2022-12-31,1509,False,1
