branch,A,rho,role,screen_loss,final_paths,loss,loss_mc_se,rv21_component,acf_abs_component,label,term_rv21_q10,term_rv21_q50,term_rv21_q90,term_acf_absret_lag1,term_acf_absret_lag5,term_acf_absret_lag10,term_acf_absret_lag21,term_acf_absret_lag63
sv_only,1.4,0.98,screened finalist,1.466522288197877,2000,1.5458159287865838,0.028664056802647216,0.7908739946235168,2.300757862949651,sv_only A=1.4 rho=0.98,1.0767188032885078,0.45075548849730035,0.8451476920847422,5.315267562876861,2.9061180755458764,2.7170356386037686,0.4859287368374014,0.07943930088434485
sv_only,1.6,0.98,screened finalist,1.6853522060326944,2000,1.71943929379152,0.029853727112861057,2.1340698889963234,1.3048086985867167,sv_only A=1.6 rho=0.98,5.557077494365998,0.089279710408611,0.7558524622143604,2.86286572050147,1.3322007625710692,1.266526097228253,0.9789925435085352,0.08345836912425644
sv_only,1.4,0.99,screened finalist,1.8878821353363953,2000,1.9844205981530076,0.03025913138969537,0.6158403466461121,3.353000849659903,sv_only A=1.4 rho=0.99,1.244565172353249,0.20278637431332017,0.4001694932717671,7.06627372778614,3.1755964251689237,2.0636106075330174,1.9403176117184358,2.519205876093
sv_only,1.0,0.98,stage-2 baseline,4.717257710501039,2000,4.761609094035136,0.06202799054647063,2.4749777773006976,7.048240410769575,sv_only A=1.0 rho=0.98,2.187784818934393,4.470072267437126,0.7670762455305739,16.189600791184656,10.628782856780424,8.335183579704674,0.08574598869748867,0.001888837480625376
sv_jump,1.4,0.98,screened finalist,3.5876146978711296,2000,3.611213214784512,0.06055507577580913,1.129587428589531,6.0928390009794935,sv_jump A=1.4 rho=0.98,1.4199495483174374,0.5252080354371698,1.443604702013986,13.625218714662736,9.11667935602056,7.672656688806137,0.04815244870476152,0.0014877967032715083
sv_jump,1.6,0.98,screened finalist,3.664845865652085,2000,3.458999540082428,0.06763980119647099,2.577360999261169,4.340638080903687,sv_jump A=1.6 rho=0.98,6.515466978954058,0.022057756528864252,1.1945582623005842,9.921652067599904,6.411716200349207,5.368070416579032,0.00027382612973029374,0.0014778938605613681
sv_jump,1.6,0.96,screened finalist,3.9963703554943812,2000,3.846538284795272,0.06060084881293735,1.8875053766969836,5.80557119289356,sv_jump A=1.6 rho=0.96,4.148695109664135,0.03476091055067398,1.4790601098761416,9.222205734521038,8.533647267684561,9.326659185850271,1.2895684179445057,0.6557753584674261
sv_jump,1.0,0.98,stage-2 baseline,6.807696839058916,2000,6.851712936469373,0.07043735611318526,2.0397806244539853,11.66364524848476,sv_jump A=1.0 rho=0.98,1.4991806074518905,3.641667463677071,0.9784938022329952,25.0606656465883,17.681291138190844,14.498392890833173,1.0093013607264631,0.06857520608502432
