object,model,period,statistic,real,sim_median,sim_p2.5,sim_p97.5,real_inside_sim_range,n_days,sigma_annual,comparison
sp500,gaussian,describe,rv21_q10,0.0627230515935854,0.15215757878555847,0.1428525406003516,0.16132593848150095,False,1258,0.19236867212948663,level (both sides at the frozen sigma_annual)
sp500,gaussian,describe,rv21_q50,0.11036933306935298,0.1891784907667189,0.18054310426708162,0.1977034177855437,False,1258,0.19236867212948663,level (both sides at the frozen sigma_annual)
sp500,gaussian,describe,rv21_q90,0.2417833548174438,0.2285905188689159,0.21741709956246194,0.24101176961164442,False,1258,0.19236867212948663,level (both sides at the frozen sigma_annual)
sp500,gaussian,describe,rv21_q10_over_own_sd,0.32605647738403815,0.7913709548506652,0.7520966546589829,0.8253596940828605,False,1258,0.19236867212948663,"shape (each series divided by its own annualised sd, inside the path)"
sp500,gaussian,describe,rv21_q50_over_own_sd,0.5737386022764741,0.9839036044443608,0.963768039545813,1.001389623513248,False,1258,0.19236867212948663,"shape (each series divided by its own annualised sd, inside the path)"
sp500,gaussian,describe,rv21_q90_over_own_sd,1.2568748962133258,1.1888056697077367,1.1580768913863655,1.2267783717331961,False,1258,0.19236867212948663,"shape (each series divided by its own annualised sd, inside the path)"
sp500,gaussian,describe,w1_vs_market_standardised,,0.30177783512266343,0.281612356377695,0.3198825629171753,,1258,0.19236867212948663,scale-free
sp500,gaussian,describe,w1_sim_vs_sim_reference,,0.03153609156212667,0.020632436003466086,0.04978513892859483,,1258,0.19236867212948663,scale-free
sp500,gaussian,describe,tail_below_m2_count,37.0,28.0,21.0,37.0,True,1258,0.19236867212948663,scale-free
sp500,gaussian,describe,tail_below_m3_count,11.0,2.0,0.0,4.0,False,1258,0.19236867212948663,scale-free
sp500,gaussian,describe,tail_below_m5_count,3.0,0.0,0.0,0.0,False,1258,0.19236867212948663,scale-free
sp500,gaussian,describe,tail_above_p2_count,18.0,28.0,20.975,36.0,False,1258,0.19236867212948663,scale-free
sp500,gaussian,describe,tail_above_p3_count,9.0,1.0,0.0,4.0,False,1258,0.19236867212948663,scale-free
sp500,gaussian,describe,tail_above_p5_count,4.0,0.0,0.0,0.0,False,1258,0.19236867212948663,scale-free
sp500,gaussian,describe,tail_below_m2_freq,0.029411764705882353,0.022257551669316374,0.016693163751987282,0.029411764705882353,True,1258,0.19236867212948663,scale-free
