config,statistic,real,sim_median,sim_p2.5,sim_p97.5,real_inside_sim_range
baseline: sv_only A=1.0 rho=0.98,acf_sqret_lag1,0.5332894519731963,0.19401668165019817,0.08635869321811013,0.36667156485593644,False
baseline: sv_only A=1.0 rho=0.98,acf_sqret_lag5,0.33648374197445374,0.16611161234970687,0.06572841136449334,0.318125971613563,False
baseline: sv_only A=1.0 rho=0.98,acf_sqret_lag21,0.04858286728322976,0.09610011504598251,0.015149282407482683,0.2310490561360213,True
baseline: sv_only A=1.0 rho=0.98,leadlag_ret_vs_future_sq_lag1,-0.09471016076162476,0.0004157136794599439,-0.10425033875297071,0.10587054853424992,True
baseline: sv_only A=1.0 rho=0.98,leadlag_ret_vs_future_sq_lag5,-0.06824443785000317,-6.840293012178359e-06,-0.10373084863460692,0.09736415883823653,True
baseline: sv_only A=1.0 rho=0.98,leadlag_ret_vs_future_sq_lag21,-0.05072095039065012,-0.002549610375153017,-0.0799718001252079,0.07930288965884441,True
baseline: sv_only A=1.0 rho=0.98,agg5d_sd,0.020960471928423846,0.026230123356391574,0.01894884378540373,0.03709934572323771,True
baseline: sv_only A=1.0 rho=0.98,agg5d_skewness,-1.0487041835443138,0.09181406784670564,-0.9094656442271327,1.3015104363792813,False
baseline: sv_only A=1.0 rho=0.98,agg5d_excess_kurtosis,5.931460248671447,2.3834592300848185,0.4889069143867853,11.768804844335865,True
baseline: sv_only A=1.0 rho=0.98,agg21d_sd,0.04209813495638222,0.0525818290837632,0.03562227755370863,0.08227872831363159,True
baseline: sv_only A=1.0 rho=0.98,agg21d_skewness,-0.59184386699657,0.15407097493200161,-1.3049122207140875,1.8403382698893656,True
baseline: sv_only A=1.0 rho=0.98,agg21d_excess_kurtosis,1.5622695674048126,1.2335057061786783,-0.3925049899946801,8.516535750578296,True
baseline: sv_only A=1.0 rho=0.98,concentration_max_exceed_63d,16.0,7.0,3.0,17.0,True
baseline: sv_only A=1.0 rho=0.98,rv21_q10,0.06272305159358481,0.08101350787756707,0.05646057334552121,0.11458801021194193,True
baseline: sv_only A=1.0 rho=0.98,rv21_q50,0.11036933306935255,0.15007299962807594,0.11189689094282136,0.20272021749681718,False
baseline: sv_only A=1.0 rho=0.98,rv21_q90,0.24178335481744329,0.27751483436631874,0.1974376496876196,0.39517184716581,True
baseline: sv_only A=1.0 rho=0.98,acf_absret_lag1,0.5007227427362637,0.24211209322273136,0.1385307525763264,0.3870468604182109,False
baseline: sv_only A=1.0 rho=0.98,acf_absret_lag5,0.4146461452146091,0.2171670379335276,0.11273439316944375,0.3612176197675124,False
baseline: sv_only A=1.0 rho=0.98,acf_absret_lag10,0.3659590462564185,0.19286062834247136,0.08457981317985387,0.3277427545985449,False
